,classical_samp,alpha,repetition,error
0,100,0.001,0,146.5530514795696
1,200,0.001,0,146.50570429276283
2,500,0.001,0,146.47051834729763
3,100,0.01,0,146.58684457134385
4,200,0.01,0,146.55253418506464
5,500,0.01,0,146.48716938334644
6,100,0.1,0,146.59920112398407
7,200,0.1,0,146.5485126050523
8,500,0.1,0,146.49021944296047
9,100,1.0,0,146.58020004603256
10,200,1.0,0,146.5654897950779
11,500,1.0,0,146.51182462502493
12,100,10.0,0,146.6678670914057
13,200,10.0,0,146.69766125085397
14,500,10.0,0,146.68347071534345
15,100,100.0,0,146.7322732053177
16,200,100.0,0,146.7322732053177
17,500,100.0,0,146.7322732053177
18,100,1000.0,0,146.7322732053177
19,200,1000.0,0,146.7322732053177
20,500,1000.0,0,146.7322732053177
21,100,0.001,1,146.56511724371214
22,200,0.001,1,146.52791041067624
23,500,0.001,1,146.4720265124438
24,100,0.01,1,146.55520477438898
25,200,0.01,1,146.53115159594802
26,500,0.01,1,146.4823622169878
27,100,0.1,1,146.59400860313997
28,200,0.1,1,146.53667177293235
29,500,0.1,1,146.47693796241373
30,100,1.0,1,146.62121786451445
31,200,1.0,1,146.55541871068874
32,500,1.0,1,146.5225584684377
33,100,10.0,1,146.68575999826604
34,200,10.0,1,146.66578201762988
35,500,10.0,1,146.68218737814874
36,100,100.0,1,146.7322732053177
37,200,100.0,1,146.7322732053177
38,500,100.0,1,146.7322732053177
39,100,1000.0,1,146.7322732053177
40,200,1000.0,1,146.7322732053177
41,500,1000.0,1,146.7322732053177
42,100,0.001,2,146.53635588862207
43,200,0.001,2,146.5332189737851
44,500,0.001,2,146.4741745007951
45,100,0.01,2,146.6040270306916
46,200,0.01,2,146.53777846023098
47,500,0.01,2,146.4796317844874
48,100,0.1,2,146.57985072607
49,200,0.1,2,146.555647091954
50,500,0.1,2,146.48260255511
51,100,1.0,2,146.64588794308858
52,200,1.0,2,146.57624469151034
53,500,1.0,2,146.52238442943536
54,100,10.0,2,146.69877198890558
55,200,10.0,2,146.66371498700465
56,500,10.0,2,146.68095147401087
57,100,100.0,2,146.7322732053177
58,200,100.0,2,146.7322732053177
59,500,100.0,2,146.7322732053177
60,100,1000.0,2,146.7322732053177
61,200,1000.0,2,146.7322732053177
62,500,1000.0,2,146.7322732053177
63,100,0.001,3,146.53392105540996
64,200,0.001,3,146.4749461000565
65,500,0.001,3,146.46111387548245
66,100,0.01,3,146.59856619543726
67,200,0.01,3,146.5455092236713
68,500,0.01,3,146.46848350447902
69,100,0.1,3,146.58682656799218
70,200,0.1,3,146.55308492687945
71,500,0.1,3,146.476532323686
72,100,1.0,3,146.61526407429056
73,200,1.0,3,146.5776240518048
74,500,1.0,3,146.52366158140774
75,100,10.0,3,146.66665334401918
76,200,10.0,3,146.69379804498962
77,500,10.0,3,146.67176517480485
78,100,100.0,3,146.7322732053177
79,200,100.0,3,146.7322732053177
80,500,100.0,3,146.7322732053177
81,100,1000.0,3,146.7322732053177
82,200,1000.0,3,146.7322732053177
83,500,1000.0,3,146.7322732053177
84,100,0.001,4,146.53667639383656
85,200,0.001,4,146.5216019258059
86,500,0.001,4,146.4787009540996
87,100,0.01,4,146.59098136314057
88,200,0.01,4,146.52891057445083
89,500,0.01,4,146.47874104016665
90,100,0.1,4,146.5959088238756
91,200,0.1,4,146.55016832273776
92,500,0.1,4,146.4887531865719
93,100,1.0,4,146.6002141797018
94,200,1.0,4,146.56674728156884
95,500,1.0,4,146.51369217544905
96,100,10.0,4,146.669859939782
97,200,10.0,4,146.68922773003038
98,500,10.0,4,146.696005666783
99,100,100.0,4,146.7322732053177
100,200,100.0,4,146.7322732053177
101,500,100.0,4,146.7322732053177
102,100,1000.0,4,146.7322732053177
103,200,1000.0,4,146.7322732053177
104,500,1000.0,4,146.7322732053177
105,100,0.001,5,146.5413353125055
106,200,0.001,5,146.52195958394185
107,500,0.001,5,146.46775262033893
108,100,0.01,5,146.56943100736285
109,200,0.01,5,146.5445860461273
110,500,0.01,5,146.47456056179772
111,100,0.1,5,146.61631769138273
112,200,0.1,5,146.55822127174025
113,500,0.1,5,146.4863783919456
114,100,1.0,5,146.59150269732345
115,200,1.0,5,146.56515395313411
116,500,1.0,5,146.50817973058085
117,100,10.0,5,146.67340081336866
118,200,10.0,5,146.64867832150966
119,500,10.0,5,146.6715472735464
120,100,100.0,5,146.7322732053177
121,200,100.0,5,146.7322732053177
122,500,100.0,5,146.7322732053177
123,100,1000.0,5,146.7322732053177
124,200,1000.0,5,146.7322732053177
125,500,1000.0,5,146.7322732053177
126,100,0.001,6,146.55341650300386
127,200,0.001,6,146.49005792661765
128,500,0.001,6,146.47259163894265
129,100,0.01,6,146.57668914822594
130,200,0.01,6,146.54973907927058
131,500,0.01,6,146.4771056607507
132,100,0.1,6,146.5965189158513
133,200,0.1,6,146.5420942314496
134,500,0.1,6,146.4745075158717
135,100,1.0,6,146.58646429078811
136,200,1.0,6,146.5502586013285
137,500,1.0,6,146.51830395183242
138,100,10.0,6,146.65693842094097
139,200,10.0,6,146.68581901897215
140,500,10.0,6,146.67069810223936
141,100,100.0,6,146.7322732053177
142,200,100.0,6,146.7322732053177
143,500,100.0,6,146.7322732053177
144,100,1000.0,6,146.7322732053177
145,200,1000.0,6,146.7322732053177
146,500,1000.0,6,146.7322732053177
147,100,0.001,7,146.54448328684623
148,200,0.001,7,146.48712138727018
149,500,0.001,7,146.46094715127404
150,100,0.01,7,146.57353498232732
151,200,0.01,7,146.53493311186276
152,500,0.01,7,146.49312579252214
153,100,0.1,7,146.6140770828997
154,200,0.1,7,146.55226738075166
155,500,0.1,7,146.48682723016543
156,100,1.0,7,146.62390690399
157,200,1.0,7,146.55753863644108
158,500,1.0,7,146.525727684458
159,100,10.0,7,146.66685385921693
160,200,10.0,7,146.66964687977185
161,500,10.0,7,146.68010909614028
162,100,100.0,7,146.7322732053177
163,200,100.0,7,146.7322732053177
164,500,100.0,7,146.7322732053177
165,100,1000.0,7,146.7322732053177
166,200,1000.0,7,146.7322732053177
167,500,1000.0,7,146.7322732053177
168,100,0.001,8,146.57047187117823
169,200,0.001,8,146.50175842832948
170,500,0.001,8,146.47459493519716
171,100,0.01,8,146.5485036661075
172,200,0.01,8,146.57192117880578
173,500,0.01,8,146.4778365182386
174,100,0.1,8,146.6189421600916
175,200,0.1,8,146.58242324436156
176,500,0.1,8,146.47784788290258
177,100,1.0,8,146.63737402864797
178,200,1.0,8,146.56856134307537
179,500,1.0,8,146.52191639736625
180,100,10.0,8,146.67334247399725
181,200,10.0,8,146.6792070227508
182,500,10.0,8,146.68103294248573
183,100,100.0,8,146.7322732053177
184,200,100.0,8,146.7322732053177
185,500,100.0,8,146.7322732053177
186,100,1000.0,8,146.7322732053177
187,200,1000.0,8,146.7322732053177
188,500,1000.0,8,146.7322732053177
189,100,0.001,9,146.56183357242983
190,200,0.001,9,146.51190093631988
191,500,0.001,9,146.4760411495226
192,100,0.01,9,146.5920451399772
193,200,0.01,9,146.53966701931938
194,500,0.01,9,146.47787514493834
195,100,0.1,9,146.64593695757932
196,200,0.1,9,146.54642976125936
197,500,0.1,9,146.48258945050532
198,100,1.0,9,146.59436501106464
199,200,1.0,9,146.5644698255231
200,500,1.0,9,146.52539157345836
201,100,10.0,9,146.69256976566814
202,200,10.0,9,146.67601216376013
203,500,10.0,9,146.68364216181985
204,100,100.0,9,146.7322732053177
205,200,100.0,9,146.7322732053177
206,500,100.0,9,146.7322732053177
207,100,1000.0,9,146.7322732053177
208,200,1000.0,9,146.7322732053177
209,500,1000.0,9,146.7322732053177
