,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,74.14992896747636
1,0,100,2,2,0.001,771.7072701335009
2,0,100,2,5,0.001,1546.886803459394
3,0,100,5,1,0.001,73.5757531671371
4,0,100,5,2,0.001,859.3625373778123
5,0,100,5,5,0.001,3641.3197782262387
6,0,100,7,1,0.001,85.41529759662033
7,0,100,7,2,0.001,955.2659008306765
8,0,100,7,5,0.001,2925.9092779583325
9,0,200,2,1,0.001,73.84878926462999
10,0,200,2,2,0.001,541.7468611578394
11,0,200,2,5,0.001,1044.2957585675056
12,0,200,5,1,0.001,72.6828812258502
13,0,200,5,2,0.001,1129.9571986921542
14,0,200,5,5,0.001,3239.921166994085
15,0,200,7,1,0.001,64.86010486834539
16,0,200,7,2,0.001,486.74673483103595
17,0,200,7,5,0.001,2324.9227151646196
18,0,500,2,1,0.001,82.87927268701343
19,0,500,2,2,0.001,416.0728842510298
20,0,500,2,5,0.001,783.5004587063546
21,0,500,5,1,0.001,73.73325882691191
22,0,500,5,2,0.001,297.1017818712535
23,0,500,5,5,0.001,1419.6754091709338
24,0,500,7,1,0.001,82.55623628616732
25,0,500,7,2,0.001,523.6611178313242
26,0,500,7,5,0.001,1317.4664478878747
27,0,100,2,1,0.01,60.785407355140286
28,0,100,2,2,0.01,157.5205014828394
29,0,100,2,5,0.01,323.82980154756115
30,0,100,5,1,0.01,71.0654356189148
31,0,100,5,2,0.01,147.88803702601382
32,0,100,5,5,0.01,180.25924164203246
33,0,100,7,1,0.01,61.06766065727241
34,0,100,7,2,0.01,262.75769574522536
35,0,100,7,5,0.01,925.6883155838389
36,0,200,2,1,0.01,53.57977284541315
37,0,200,2,2,0.01,115.11606978073723
38,0,200,2,5,0.01,167.71738073102878
39,0,200,5,1,0.01,60.84600779573637
40,0,200,5,2,0.01,101.3993009538246
41,0,200,5,5,0.01,15.218945908963427
42,0,200,7,1,0.01,66.00664360742003
43,0,200,7,2,0.01,111.48879757443306
44,0,200,7,5,0.01,252.71472743804205
45,0,500,2,1,0.01,28.923153526114934
46,0,500,2,2,0.01,10.873927920391536
47,0,500,2,5,0.01,10.268224603526685
48,0,500,5,1,0.01,27.132384368844278
49,0,500,5,2,0.01,8.494080623519206
50,0,500,5,5,0.01,14.55267325141332
51,0,500,7,1,0.01,26.080738030129883
52,0,500,7,2,0.01,8.354269097020268
53,0,500,7,5,0.01,12.309450524684564
54,0,100,2,1,0.1,35.80369886249602
55,0,100,2,2,0.1,50.73876312281585
56,0,100,2,5,0.1,84.82125880566292
57,0,100,5,1,0.1,33.423934934407995
58,0,100,5,2,0.1,25.54893355574455
59,0,100,5,5,0.1,19.091165046115545
60,0,100,7,1,0.1,27.65600259270249
61,0,100,7,2,0.1,35.957363715448984
62,0,100,7,5,0.1,17.259636423165492
63,0,200,2,1,0.1,23.168432545142803
64,0,200,2,2,0.1,28.57859999361926
65,0,200,2,5,0.1,15.084142563838869
66,0,200,5,1,0.1,20.430553639729087
67,0,200,5,2,0.1,15.33165703756896
68,0,200,5,5,0.1,16.20432721569971
69,0,200,7,1,0.1,24.5892754246392
70,0,200,7,2,0.1,13.154483511473153
71,0,200,7,5,0.1,16.125750726123808
72,0,500,2,1,0.1,12.270139748993422
73,0,500,2,2,0.1,9.116852368900618
74,0,500,2,5,0.1,12.656816564965432
75,0,500,5,1,0.1,9.125800568940809
76,0,500,5,2,0.1,10.154788440266517
77,0,500,5,5,0.1,16.016998847898115
78,0,500,7,1,0.1,9.331076816930835
79,0,500,7,2,0.1,10.086456779176057
80,0,500,7,5,0.1,15.40049014215763
81,0,100,2,1,1.0,21.132021128325086
82,0,100,2,2,1.0,22.197616784397795
83,0,100,2,5,1.0,18.09171198499075
84,0,100,5,1,1.0,24.18092235448534
85,0,100,5,2,1.0,19.23326670737414
86,0,100,5,5,1.0,17.47882840570551
87,0,100,7,1,1.0,21.812417211856985
88,0,100,7,2,1.0,18.135529755180944
89,0,100,7,5,1.0,18.07076282956649
90,0,200,2,1,1.0,16.759140230072386
91,0,200,2,2,1.0,14.445720266291422
92,0,200,2,5,1.0,15.447087787039417
93,0,200,5,1,1.0,16.909589689559848
94,0,200,5,2,1.0,14.434048396643654
95,0,200,5,5,1.0,17.294174652253265
96,0,200,7,1,1.0,17.12883054011256
97,0,200,7,2,1.0,14.015137395644054
98,0,200,7,5,1.0,17.534809506271916
99,0,500,2,1,1.0,8.972348711023136
100,0,500,2,2,1.0,10.912017060961814
101,0,500,2,5,1.0,13.739953881827972
102,0,500,5,1,1.0,8.942849818680601
