,classical_samp,alpha,repetition,error
0,50,0.001,0,61.319278209420325
1,100,0.001,0,49.17231558772769
2,200,0.001,0,44.87696367580236
3,500,0.001,0,34.9544320407018
4,50,0.01,0,60.27401170935748
5,100,0.01,0,50.12239656123014
6,200,0.01,0,42.34011585502603
7,500,0.01,0,35.103754356396436
8,50,0.1,0,53.73760461819059
9,100,0.1,0,47.22553112087865
10,200,0.1,0,39.72857270441605
11,500,0.1,0,27.7593534311163
12,50,1.0,0,48.97727720282083
13,100,1.0,0,43.402972234538844
14,200,1.0,0,40.201737452281
15,500,1.0,0,28.226583849160033
16,50,10.0,0,52.93003385077949
17,100,10.0,0,46.672444308227576
18,200,10.0,0,41.38422709617617
19,500,10.0,0,28.79505436990781
20,50,100.0,0,56.25930683677318
21,100,100.0,0,46.34121435156705
22,200,100.0,0,40.40894801094752
23,500,100.0,0,35.15927455320325
24,50,1000.0,0,52.3035438215834
25,100,1000.0,0,61.657713464169476
26,200,1000.0,0,60.403442039218135
27,500,1000.0,0,57.54928070857249
28,50,0.001,1,56.36781677260547
29,100,0.001,1,47.37286444180388
30,200,0.001,1,44.623378368480914
31,500,0.001,1,32.68270973338316
32,50,0.01,1,58.26185691856441
33,100,0.01,1,49.7163315633024
34,200,0.01,1,45.68141705867335
35,500,0.01,1,32.23724390836746
36,50,0.1,1,58.46218477119803
37,100,0.1,1,43.581862521599895
38,200,0.1,1,38.777244378153384
39,500,0.1,1,29.418654326683203
40,50,1.0,1,52.600668445943285
41,100,1.0,1,48.90407147223184
42,200,1.0,1,40.23296268711796
43,500,1.0,1,29.383410758306898
44,50,10.0,1,51.86888411788038
45,100,10.0,1,50.06827592333706
46,200,10.0,1,41.81903922217065
47,500,10.0,1,28.46742205698968
48,50,100.0,1,51.14476641491142
49,100,100.0,1,45.99244091081093
50,200,100.0,1,40.51525940284439
51,500,100.0,1,35.06001950024754
52,50,1000.0,1,55.55009337592578
53,100,1000.0,1,56.40022918261812
54,200,1000.0,1,58.37737717421655
55,500,1000.0,1,57.35512436920877
56,50,0.001,2,59.88635894852747
57,100,0.001,2,51.92081539067083
58,200,0.001,2,47.59342893357259
59,500,0.001,2,33.66419808876493
60,50,0.01,2,53.92634367052214
61,100,0.01,2,48.993265171108625
62,200,0.01,2,47.87856272814092
63,500,0.01,2,32.57855964205783
64,50,0.1,2,59.13735706095134
65,100,0.1,2,49.27005165437093
66,200,0.1,2,40.232558486036005
67,500,0.1,2,28.986964043445116
68,50,1.0,2,45.70934427811976
69,100,1.0,2,41.10885816813622
70,200,1.0,2,36.29704645751648
71,500,1.0,2,28.712096891332124
72,50,10.0,2,52.9454025848767
73,100,10.0,2,46.065177369651465
74,200,10.0,2,39.25409810281898
75,500,10.0,2,29.71106079319184
76,50,100.0,2,53.41374650008509
77,100,100.0,2,46.85115600967028
78,200,100.0,2,42.291241715408994
79,500,100.0,2,35.97328975941061
80,50,1000.0,2,57.62595929947876
81,100,1000.0,2,57.821477331012034
82,200,1000.0,2,60.46781558231035
83,500,1000.0,2,60.10613339998085
84,50,0.001,3,55.21827840271096
85,100,0.001,3,51.18565439959913
86,200,0.001,3,44.39645688256788
87,500,0.001,3,33.97332344895414
88,50,0.01,3,58.37978415016356
89,100,0.01,3,51.48467289479298
90,200,0.01,3,45.786340792668604
91,500,0.01,3,33.808487394041855
92,50,0.1,3,55.927810760548375
93,100,0.1,3,49.81478105937361
94,200,0.1,3,39.60419121881615
95,500,0.1,3,27.24617882112754
96,50,1.0,3,51.88622555693629
97,100,1.0,3,46.46296292162413
98,200,1.0,3,41.13549862263069
99,500,1.0,3,29.792434187383257
100,50,10.0,3,60.62780607778587
101,100,10.0,3,49.89743316107091
102,200,10.0,3,41.569705505751145
103,500,10.0,3,28.493526353437495
104,50,100.0,3,54.00472447803593
105,100,100.0,3,50.09497055645944
106,200,100.0,3,40.66244721123722
107,500,100.0,3,34.648358513871905
108,50,1000.0,3,54.13392022123021
109,100,1000.0,3,57.65228063973672
110,200,1000.0,3,60.626379747567775
111,500,1000.0,3,59.01855185416668
112,50,0.001,4,61.28661056711541
113,100,0.001,4,51.11025316041234
114,200,0.001,4,43.27843942675845
115,500,0.001,4,32.429371772925975
116,50,0.01,4,52.79754172984658
117,100,0.01,4,46.83573524996775
118,200,0.01,4,45.58678298751514
119,500,0.01,4,31.014446616732176
120,50,0.1,4,53.3008865899664
121,100,0.1,4,46.19690323245068
122,200,0.1,4,39.55516958704224
123,500,0.1,4,29.197926804358982
124,50,1.0,4,49.81499012901643
125,100,1.0,4,42.43189861129155
126,200,1.0,4,39.25418438712999
127,500,1.0,4,26.911680672829334
128,50,10.0,4,59.80557882627867
129,100,10.0,4,51.27598789781413
130,200,10.0,4,41.5991283257516
131,500,10.0,4,28.770492353842194
132,50,100.0,4,51.04214771436748
133,100,100.0,4,49.24269656632937
134,200,100.0,4,38.96777677753708
135,500,100.0,4,35.253741240318305
136,50,1000.0,4,62.80388015849787
137,100,1000.0,4,56.81565156682585
138,200,1000.0,4,59.60149652452497
139,500,1000.0,4,60.78277156002773
140,50,0.001,5,56.44465822680562
141,100,0.001,5,49.88938386566647
142,200,0.001,5,41.22079816263623
143,500,0.001,5,35.08214816465961
144,50,0.01,5,58.65660480043669
145,100,0.01,5,52.77150131262324
146,200,0.01,5,48.34327213292279
147,500,0.01,5,33.62995493990951
148,50,0.1,5,56.65171104004519
149,100,0.1,5,44.50494911629857
150,200,0.1,5,39.93893056782037
151,500,0.1,5,27.97858220452668
152,50,1.0,5,48.671374756502956
153,100,1.0,5,48.43636152024176
154,200,1.0,5,40.79207935834867
155,500,1.0,5,26.435507160466962
156,50,10.0,5,52.97015703153092
157,100,10.0,5,51.194280756804154
158,200,10.0,5,40.38681657852204
159,500,10.0,5,30.95264460441674
160,50,100.0,5,55.62066430243075
161,100,100.0,5,45.02523391384472
162,200,100.0,5,41.17689169028491
163,500,100.0,5,35.1858917689898
164,50,1000.0,5,62.57936531288057
165,100,1000.0,5,56.90185767975775
166,200,1000.0,5,57.247847404137445
167,500,1000.0,5,59.553158948461665
168,50,0.001,6,57.221655241865385
169,100,0.001,6,51.869635137792486
170,200,0.001,6,46.01530889129599
171,500,0.001,6,33.28682332653265
172,50,0.01,6,54.46516558217925
173,100,0.01,6,56.71917854882885
174,200,0.01,6,46.18635043133598
175,500,0.01,6,32.18653431256676
176,50,0.1,6,54.822984419932354
177,100,0.1,6,50.07645621527299
178,200,0.1,6,41.6715276914789
179,500,0.1,6,27.35888663470332
180,50,1.0,6,54.33227255855061
181,100,1.0,6,46.83141192513225
182,200,1.0,6,38.66082881264611
183,500,1.0,6,30.12145403010301
184,50,10.0,6,59.60340848143891
185,100,10.0,6,52.938063470005964
186,200,10.0,6,40.46367369442279
187,500,10.0,6,27.03824044156664
188,50,100.0,6,49.467368751806006
189,100,100.0,6,52.450978422595675
190,200,100.0,6,40.29431721215057
191,500,100.0,6,35.107363370360936
192,50,1000.0,6,53.29140713167624
193,100,1000.0,6,55.71100217159049
194,200,1000.0,6,60.438538562067464
195,500,1000.0,6,59.93062829144548
196,50,0.001,7,54.89005540654418
197,100,0.001,7,49.306981183052294
198,200,0.001,7,43.145385180023055
199,500,0.001,7,30.188706496132053
200,50,0.01,7,57.01350148244905
201,100,0.01,7,53.536762741556274
202,200,0.01,7,45.54335823502189
203,500,0.01,7,31.022139176609635
204,50,0.1,7,58.95525989990149
205,100,0.1,7,44.730244519457514
206,200,0.1,7,39.8100996821327
207,500,0.1,7,28.744233293273872
208,50,1.0,7,53.639162301920166
209,100,1.0,7,45.765603372439735
210,200,1.0,7,36.43924567647989
211,500,1.0,7,26.88514446860285
212,50,10.0,7,54.605316478205964
213,100,10.0,7,47.76802450761808
214,200,10.0,7,38.25840776296624
