,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,103.26867701372089
1,0,100,2,2,0.001,1186.842511811156
2,0,100,2,5,0.001,2319.3058110931283
3,0,100,5,1,0.001,101.24129901211775
4,0,100,5,2,0.001,1693.1527444094932
5,0,100,5,5,0.001,4294.030304120137
6,0,100,7,1,0.001,97.7162895197012
7,0,100,7,2,0.001,1128.807150515095
8,0,100,7,5,0.001,2645.5628849809623
9,0,200,2,1,0.001,90.79738257325837
10,0,200,2,2,0.001,882.4755246053522
11,0,200,2,5,0.001,1454.4794251752842
12,0,200,5,1,0.001,111.85203028451113
13,0,200,5,2,0.001,1340.1040703996764
14,0,200,5,5,0.001,3003.6259692830713
15,0,200,7,1,0.001,116.44093814928765
16,0,200,7,2,0.001,937.574095299246
17,0,200,7,5,0.001,3222.9849730016194
18,0,500,2,1,0.001,116.39821294319277
19,0,500,2,2,0.001,688.1029116829103
20,0,500,2,5,0.001,1260.9870052274184
21,0,500,5,1,0.001,110.4519980648841
22,0,500,5,2,0.001,908.9698925849377
23,0,500,5,5,0.001,761.8011764012837
24,0,500,7,1,0.001,134.31029695588944
25,0,500,7,2,0.001,796.8410881841511
26,0,500,7,5,0.001,3520.088805858393
27,0,100,2,1,0.01,75.52949688725077
28,0,100,2,2,0.01,199.2886950870552
29,0,100,2,5,0.01,882.2355388870734
30,0,100,5,1,0.01,112.90799720820732
31,0,100,5,2,0.01,268.58776488405687
32,0,100,5,5,0.01,558.9018017568266
33,0,100,7,1,0.01,91.46527426141239
34,0,100,7,2,0.01,563.6546418879979
35,0,100,7,5,0.01,858.0588533415562
36,0,200,2,1,0.01,95.38499781511284
37,0,200,2,2,0.01,148.1984480768075
38,0,200,2,5,0.01,527.4815968745999
39,0,200,5,1,0.01,80.9861196204218
40,0,200,5,2,0.01,254.5203479637658
41,0,200,5,5,0.01,463.44233301123
42,0,200,7,1,0.01,76.7478978234729
43,0,200,7,2,0.01,281.4297596475114
44,0,200,7,5,0.01,501.38559270453845
45,0,500,2,1,0.01,58.460821328013346
46,0,500,2,2,0.01,23.35694594914525
47,0,500,2,5,0.01,22.618570727746228
48,0,500,5,1,0.01,38.97730760528211
49,0,500,5,2,0.01,16.42712242598183
50,0,500,5,5,0.01,24.598739804815168
51,0,500,7,1,0.01,44.95994263286584
52,0,500,7,2,0.01,15.084561197163595
53,0,500,7,5,0.01,20.52612886189898
54,0,100,2,1,0.1,47.71167370989937
55,0,100,2,2,0.1,61.573386696688694
56,0,100,2,5,0.1,82.43823974205263
57,0,100,5,1,0.1,45.230689870435526
58,0,100,5,2,0.1,59.01887891946085
59,0,100,5,5,0.1,30.247351598005032
60,0,100,7,1,0.1,48.857926413567256
61,0,100,7,2,0.1,42.25375364680594
62,0,100,7,5,0.1,29.12879842243502
63,0,200,2,1,0.1,34.87216923173094
64,0,200,2,2,0.1,35.72087274170402
65,0,200,2,5,0.1,27.624080834202637
66,0,200,5,1,0.1,31.017762428253683
67,0,200,5,2,0.1,26.262663776220645
68,0,200,5,5,0.1,27.56944441216296
69,0,200,7,1,0.1,33.61360425089877
70,0,200,7,2,0.1,24.925612964296363
71,0,200,7,5,0.1,26.16564126088531
72,0,500,2,1,0.1,22.040824149150286
73,0,500,2,2,0.1,16.64359130834656
74,0,500,2,5,0.1,21.94428515670925
75,0,500,5,1,0.1,19.079343703516727
76,0,500,5,2,0.1,18.756509508720004
77,0,500,5,5,0.1,27.261218256121303
78,0,500,7,1,0.1,16.368431990698912
79,0,500,7,2,0.1,18.50327828070882
80,0,500,7,5,0.1,24.402691435697545
81,0,100,2,1,1.0,37.498041373880476
82,0,100,2,2,1.0,38.1904882152244
83,0,100,2,5,1.0,30.608920991176362
84,0,100,5,1,1.0,36.83560684097331
85,0,100,5,2,1.0,30.530113729205194
86,0,100,5,5,1.0,29.423026909981452
87,0,100,7,1,1.0,38.77401727954016
88,0,100,7,2,1.0,33.742175508588176
89,0,100,7,5,1.0,30.175187588673275
90,0,200,2,1,1.0,28.629966907301696
91,0,200,2,2,1.0,25.338942359205436
92,0,200,2,5,1.0,25.41822835920849
93,0,200,5,1,1.0,27.732261661802536
94,0,200,5,2,1.0,23.865708667250267
95,0,200,5,5,1.0,29.396808136032757
96,0,200,7,1,1.0,29.06307896029206
97,0,200,7,2,1.0,25.35002156674985
98,0,200,7,5,1.0,29.54582739650612
99,0,500,2,1,1.0,17.33038348911267
100,0,500,2,2,1.0,19.820969497382688
101,0,500,2,5,1.0,24.306558406463342
102,0,500,5,1,1.0,15.91797233495446
103,0,500,5,2,1.0,21.36027221859336
104,0,500,5,5,1.0,28.963034103457527
105,0,500,7,1,1.0,15.97465058996187
106,0,500,7,2,1.0,21.455249625095078
107,0,500,7,5,1.0,29.477146523549507
108,0,100,2,1,10.0,37.369250892500666
109,0,100,2,2,10.0,32.94317820885943
110,0,100,2,5,10.0,31.57284415014583
111,0,100,5,1,10.0,39.76524030983433
112,0,100,5,2,10.0,31.395410627128133
113,0,100,5,5,10.0,31.02658363010752
