,alpha,repetition,error
0,0.001,0,137.01619207462892
1,0.01,0,136.9123869685097
2,0.1,0,137.95578441233906
3,1.0,0,144.19639531284096
4,10.0,0,145.78164036210686
5,100.0,0,145.78164036210686
6,1000.0,0,145.78164036210686
7,0.001,1,137.00982580494974
8,0.01,1,136.94236992656388
9,0.1,1,138.0065335105655
10,1.0,1,144.0712952328533
11,10.0,1,145.78164036210686
12,100.0,1,145.78164036210686
13,1000.0,1,145.78164036210686
14,0.001,2,137.13554485881895
15,0.01,2,137.1280493311843
16,0.1,2,137.88563354401805
17,1.0,2,144.04619185416593
18,10.0,2,145.78164036210686
19,100.0,2,145.78164036210686
20,1000.0,2,145.78164036210686
21,0.001,3,136.8766691183884
22,0.01,3,136.8582783595013
23,0.1,3,137.94883595572028
24,1.0,3,144.13940684387572
25,10.0,3,145.78164036210686
26,100.0,3,145.78164036210686
27,1000.0,3,145.78164036210686
28,0.001,4,137.06360906984722
29,0.01,4,136.95871864066217
30,0.1,4,138.08651959855362
31,1.0,4,144.03231035541188
32,10.0,4,145.78164036210686
33,100.0,4,145.78164036210686
34,1000.0,4,145.78164036210686
35,0.001,5,136.83131622569357
36,0.01,5,136.827443950629
37,0.1,5,137.89723577620006
38,1.0,5,144.62716531890877
39,10.0,5,145.78164036210686
40,100.0,5,145.78164036210686
41,1000.0,5,145.78164036210686
42,0.001,6,137.22242210621658
43,0.01,6,136.88476769382652
44,0.1,6,137.84100853527727
45,1.0,6,143.68285728655243
46,10.0,6,145.78164036210686
47,100.0,6,145.78164036210686
48,1000.0,6,145.78164036210686
49,0.001,7,136.7562143518553
50,0.01,7,136.91687034073485
51,0.1,7,138.12347709484055
52,1.0,7,144.01854260943324
53,10.0,7,145.78164036210686
54,100.0,7,145.78164036210686
55,1000.0,7,145.78164036210686
56,0.001,8,136.70365396691125
57,0.01,8,137.24859954445438
58,0.1,8,138.11561144212158
59,1.0,8,143.47704030506696
60,10.0,8,145.78164036210686
61,100.0,8,145.78164036210686
62,1000.0,8,145.78164036210686
63,0.001,9,136.85966065327182
64,0.01,9,136.71401737028302
65,0.1,9,138.0429779581906
66,1.0,9,143.99974886191313
67,10.0,9,145.78164036210686
68,100.0,9,145.78164036210686
69,1000.0,9,145.78164036210686
