,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,2,2,152.3707336879991
1,0,0.01,50,2,4,163.0457745853536
2,0,0.01,50,2,8,174.46839543162562
3,0,0.01,50,4,2,153.3830616518153
4,0,0.01,50,4,4,159.5776200681964
5,0,0.01,50,4,8,180.47847561346344
6,0,0.01,50,8,2,167.78386059962997
7,0,0.01,50,8,4,190.57137597451595
8,0,0.01,50,8,8,194.8350498144519
9,0,0.01,100,2,2,140.24397169679003
10,0,0.01,100,2,4,155.33017009712287
11,0,0.01,100,2,8,170.34623182074245
12,0,0.01,100,4,2,141.2440526604812
13,0,0.01,100,4,4,153.727570065318
14,0,0.01,100,4,8,167.17709886372285
15,0,0.01,100,8,2,152.94433901468665
16,0,0.01,100,8,4,175.42430880006611
17,0,0.01,100,8,8,175.09305767499117
18,0,0.01,200,2,2,122.16781501351738
19,0,0.01,200,2,4,138.68854346619852
20,0,0.01,200,2,8,148.04324090608972
21,0,0.01,200,4,2,119.12333452275345
22,0,0.01,200,4,4,86.08578876441315
23,0,0.01,200,4,8,103.28882415746294
24,0,0.01,200,8,2,124.467053293841
25,0,0.01,200,8,4,113.29371175057732
26,0,0.01,200,8,8,102.92245199233737
27,0,0.01,500,2,2,28.231151673367624
28,0,0.01,500,2,4,25.973031142132893
29,0,0.01,500,2,8,34.36489797407457
30,0,0.01,500,4,2,19.829735704777757
31,0,0.01,500,4,4,28.88660042656632
32,0,0.01,500,4,8,35.54861801401425
33,0,0.01,500,8,2,19.10801051860198
34,0,0.01,500,8,4,24.967110323391264
35,0,0.01,500,8,8,29.90024869171111
36,0,0.1,50,2,2,73.88322361648896
37,0,0.1,50,2,4,83.28660484404293
38,0,0.1,50,2,8,93.27266808270839
39,0,0.1,50,4,2,77.21584399508491
40,0,0.1,50,4,4,90.01159177940964
41,0,0.1,50,4,8,96.16283651313131
42,0,0.1,50,8,2,75.85188700592504
43,0,0.1,50,8,4,94.66262746530573
44,0,0.1,50,8,8,104.05694726557644
45,0,0.1,100,2,2,61.990028133173645
46,0,0.1,100,2,4,69.30357612971841
47,0,0.1,100,2,8,74.2047927871442
48,0,0.1,100,4,2,60.7501619124904
49,0,0.1,100,4,4,57.12651714422167
50,0,0.1,100,4,8,47.88043213944869
51,0,0.1,100,8,2,56.014970311125744
52,0,0.1,100,8,4,50.93639551381167
53,0,0.1,100,8,8,47.67489041344341
