,rep,alp,num_cell,error
0,0,0.01,50,69.20378884543797
1,0,0.01,100,63.716215449012815
2,0,0.01,200,56.485136321913714
3,0,0.01,500,43.031019244825416
4,0,0.1,50,64.57195999249944
5,0,0.1,100,57.750784104874135
6,0,0.1,200,49.438328404484785
7,0,0.1,500,36.47143957946792
8,0,1.0,50,59.6151738097295
9,0,1.0,100,53.31303321419676
10,0,1.0,200,46.49466018370437
11,0,1.0,500,34.521794387310266
12,0,10.0,50,63.644779211160774
13,0,10.0,100,55.96132530153655
14,0,10.0,200,47.959989442354875
15,0,10.0,500,34.98698717445402
16,1,0.01,50,69.1579020665275
17,1,0.01,100,63.541000586181866
18,1,0.01,200,56.66340123286038
19,1,0.01,500,42.81281314930239
20,1,0.1,50,64.46864162774345
21,1,0.1,100,57.702882941301546
22,1,0.1,200,49.4866139586261
23,1,0.1,500,36.496765045619675
24,1,1.0,50,59.51533964513831
25,1,1.0,100,53.322650403759404
26,1,1.0,200,46.43932374887349
27,1,1.0,500,34.61862691350165
28,1,10.0,50,63.90206544788564
29,1,10.0,100,55.83633628095404
30,1,10.0,200,47.82370302682039
31,1,10.0,500,35.0321919759511
32,2,0.01,50,69.07416214326061
33,2,0.01,100,63.69901340026001
34,2,0.01,200,56.43645431546798
35,2,0.01,500,42.990882661023335
36,2,0.1,50,64.7296066572077
37,2,0.1,100,57.5561315470038
38,2,0.1,200,49.24873919736949
39,2,0.1,500,36.403112133834995
40,2,1.0,50,59.444366860660935
41,2,1.0,100,53.68587323567443
42,2,1.0,200,46.5659699036761
43,2,1.0,500,34.56982029796148
44,2,10.0,50,63.9723889872371
45,2,10.0,100,55.82750866622075
46,2,10.0,200,47.983631522040604
47,2,10.0,500,35.00409162310724
48,3,0.01,50,68.95627455235949
49,3,0.01,100,63.70604659625964
50,3,0.01,200,56.42003468650014
51,3,0.01,500,43.030491508497676
52,3,0.1,50,64.2840661603587
53,3,0.1,100,57.57254480782844
54,3,0.1,200,49.35164493652338
55,3,0.1,500,36.43754821041314
56,3,1.0,50,59.82241589217431
57,3,1.0,100,53.533441092326086
58,3,1.0,200,46.44974455994175
59,3,1.0,500,34.595608462316854
60,3,10.0,50,63.67762282937735
61,3,10.0,100,55.94738573063779
62,3,10.0,200,47.895157317968376
63,3,10.0,500,35.02353922965094
64,4,0.01,50,69.17552297799102
65,4,0.01,100,63.83470581943041
66,4,0.01,200,56.45403962459465
67,4,0.01,500,42.97558557134731
68,4,0.1,50,64.63293662117525
69,4,0.1,100,57.53296267204777
70,4,0.1,200,49.257759141401515
71,4,0.1,500,36.59394306030947
72,4,1.0,50,59.54282783602241
73,4,1.0,100,53.258104343406494
74,4,1.0,200,46.5705709336637
75,4,1.0,500,34.60160676389625
76,4,10.0,50,63.99584413982825
77,4,10.0,100,55.722364820807314
78,4,10.0,200,47.82061666769892
79,4,10.0,500,35.005722831430404
80,5,0.01,50,69.2036418331344
81,5,0.01,100,63.55307723187658
82,5,0.01,200,56.49693141470025
83,5,0.01,500,42.91210004096207
