,rep,alp,num_cell,error
0,0,0.001,50,69.23788505925081
1,0,0.001,100,63.485499370888576
2,0,0.001,200,56.6349901224557
3,0,0.001,500,43.33949779288183
4,0,0.01,50,69.08055501519422
5,0,0.01,100,63.72707472334981
6,0,0.01,200,56.63633803146187
7,0,0.01,500,42.84347042156683
8,0,0.1,50,64.48844489750914
9,0,0.1,100,57.891137725989395
10,0,0.1,200,49.43749332548499
11,0,0.1,500,36.590110122168824
12,0,1.0,50,59.910885722528434
13,0,1.0,100,53.43318146326888
14,0,1.0,200,46.357475239265156
15,0,1.0,500,34.70533917820665
16,0,10.0,50,63.71889101829471
17,0,10.0,100,55.68719704970511
18,0,10.0,200,47.889203467126286
19,0,10.0,500,34.985261756797684
20,0,100.0,50,62.76608322542273
21,0,100.0,100,54.30014585893406
22,0,100.0,200,48.391526388432844
23,0,100.0,500,45.526435299012334
24,0,1000.0,50,84.22987999347868
25,0,1000.0,100,84.20647836712399
26,0,1000.0,200,84.23366087092654
27,0,1000.0,500,84.05912089877228
28,1,0.001,50,69.0817151434226
29,1,0.001,100,63.79598967764506
30,1,0.001,200,56.65868381295153
31,1,0.001,500,43.3523357444077
32,1,0.01,50,68.95303606813782
33,1,0.01,100,63.571164421157306
34,1,0.01,200,56.678847656758144
35,1,0.01,500,42.92639562951848
36,1,0.1,50,64.259578124489
37,1,0.1,100,57.68126858896842
38,1,0.1,200,49.22468927303757
39,1,0.1,500,36.573093385992884
40,1,1.0,50,59.595277043558056
41,1,1.0,100,53.429277646327485
42,1,1.0,200,46.57299244066168
43,1,1.0,500,34.553847652667564
44,1,10.0,50,63.75305479621827
45,1,10.0,100,55.98251590947777
46,1,10.0,200,47.94504194352689
47,1,10.0,500,35.00111736148911
48,1,100.0,50,62.59596736825642
49,1,100.0,100,54.64638277107991
50,1,100.0,200,48.64891417370753
51,1,100.0,500,45.46857343816396
52,1,1000.0,50,84.1616075512339
53,1,1000.0,100,84.01150776737323
54,1,1000.0,200,84.2897134109243
55,1,1000.0,500,84.13549616774758
56,2,0.001,50,69.11401837330519
57,2,0.001,100,63.69597035572097
58,2,0.001,200,56.46692178676821
59,2,0.001,500,43.343917395303556
