,rep,alp,num_cell,error
0,0,0.01,50,68.71315421670327
1,0,0.01,100,63.86572216161124
2,0,0.01,200,56.609201682128415
3,0,0.01,500,43.04811429491592
4,0,0.1,50,64.41209054198988
5,0,0.1,100,57.753114228273134
6,0,0.1,200,49.29805428957903
7,0,0.1,500,36.57854778529425
8,0,1.0,50,59.88306348814003
9,0,1.0,100,53.59903545508154
10,0,1.0,200,46.48794657858643
11,0,1.0,500,34.668742343921686
12,0,10.0,50,63.88839590168071
13,0,10.0,100,55.523901870222005
14,0,10.0,200,47.85098425192709
15,0,10.0,500,34.96729947133629
16,1,0.01,50,69.17270246467076
17,1,0.01,100,63.71104482598448
18,1,0.01,200,56.44566396003254
19,1,0.01,500,42.97992188749675
20,1,0.1,50,64.59631310089802
21,1,0.1,100,57.566158745841854
22,1,0.1,200,49.446714215323695
23,1,0.1,500,36.542933361988474
24,1,1.0,50,59.650028054166015
25,1,1.0,100,53.58378414994713
26,1,1.0,200,46.49311523332375
27,1,1.0,500,34.67584808126586
28,1,10.0,50,64.03052808914094
29,1,10.0,100,56.01689965834207
30,1,10.0,200,47.89172895693087
31,1,10.0,500,35.03449015814086
32,2,0.01,50,69.21077931411119
33,2,0.01,100,63.80572811589231
34,2,0.01,200,56.5080862757241
35,2,0.01,500,42.89779221871436
36,2,0.1,50,64.29617843899536
37,2,0.1,100,57.71320931484356
38,2,0.1,200,49.55601353188987
39,2,0.1,500,36.55757063542598
40,2,1.0,50,59.41209849184415
41,2,1.0,100,53.41686059893765
42,2,1.0,200,46.449406449023144
43,2,1.0,500,34.57286647522124
44,2,10.0,50,64.00715787914368
45,2,10.0,100,55.88633496992668
46,2,10.0,200,47.686548825998365
47,2,10.0,500,34.987546230992955
48,3,0.01,50,69.14446159795902
49,3,0.01,100,63.57936912101226
50,3,0.01,200,56.56101132957677
51,3,0.01,500,42.84666917067179
52,3,0.1,50,64.3706612319254
53,3,0.1,100,57.708314027564974
54,3,0.1,200,49.35225518667306
55,3,0.1,500,36.53961409600424
56,3,1.0,50,59.713366399064995
57,3,1.0,100,53.46980945422649
58,3,1.0,200,46.457644707518476
59,3,1.0,500,34.57385172340425
60,3,10.0,50,64.27460563713768
61,3,10.0,100,55.73818711145819
62,3,10.0,200,47.95298729780754
63,3,10.0,500,34.924905707765184
64,4,0.01,50,69.082056402623
65,4,0.01,100,63.4351863044534
66,4,0.01,200,56.63581778495526
67,4,0.01,500,42.88950122688212
68,4,0.1,50,64.6000772080093
69,4,0.1,100,57.80679154539883
70,4,0.1,200,49.3368458184769
71,4,0.1,500,36.55771927837772
72,4,1.0,50,59.76336964060477
73,4,1.0,100,53.53214681378542
74,4,1.0,200,46.51296110921622
75,4,1.0,500,34.6568647490069
76,4,10.0,50,64.14638063206185
77,4,10.0,100,55.61626888716286
78,4,10.0,200,47.81316850980258
79,4,10.0,500,34.962845781980626
80,5,0.01,50,68.92133726309332
81,5,0.01,100,63.9097327889885
82,5,0.01,200,56.620895877004195
83,5,0.01,500,43.00935266493201
84,5,0.1,50,64.15668898783917
85,5,0.1,100,57.492866504846425
86,5,0.1,200,49.30299771308124
87,5,0.1,500,36.620569214993466
88,5,1.0,50,59.96083147766482
89,5,1.0,100,53.447934743664675
90,5,1.0,200,46.449474613433615
91,5,1.0,500,34.714193434819684
92,5,10.0,50,63.67922512575013
93,5,10.0,100,55.84906964188841
94,5,10.0,200,47.85930928204913
95,5,10.0,500,35.02471138660309
96,6,0.01,50,68.71523468477135
97,6,0.01,100,63.67554733825933
98,6,0.01,200,56.47327293940061
99,6,0.01,500,43.044218969359044
100,6,0.1,50,64.58692843695738
101,6,0.1,100,57.68039951455936
102,6,0.1,200,49.28794587969057
103,6,0.1,500,36.545205745600626
104,6,1.0,50,59.205902332471865
105,6,1.0,100,53.51931210923997
106,6,1.0,200,46.381232817049984
107,6,1.0,500,34.57618235609625
108,6,10.0,50,63.9300925102024
109,6,10.0,100,55.920867834110624
110,6,10.0,200,47.6971383010104
111,6,10.0,500,34.92025123593207
112,7,0.01,50,69.2929915138834
113,7,0.01,100,63.51029377202207
114,7,0.01,200,56.56158031748649
115,7,0.01,500,43.05425437082252
116,7,0.1,50,64.6959478344566
117,7,0.1,100,57.470074172163756
118,7,0.1,200,49.42379489755107
119,7,0.1,500,36.56511283732953
120,7,1.0,50,59.983429050960986
121,7,1.0,100,53.41827335807803
122,7,1.0,200,46.49169630337008
