,classical_samp,alpha,repetition,error
0,50,0.001,0,61.82383907865174
1,100,0.001,0,52.10080300224561
2,200,0.001,0,45.01976499561228
3,500,0.001,0,32.52249476355958
4,50,0.01,0,52.64220607787907
5,100,0.01,0,50.716020142336305
6,200,0.01,0,43.90767200522702
7,500,0.01,0,33.53723198216889
8,50,0.1,0,52.72581774589609
9,100,0.1,0,49.40455627381026
10,200,0.1,0,40.977885145982064
11,500,0.1,0,29.845274263312096
12,50,1.0,0,50.63136669617266
13,100,1.0,0,45.7254254495685
14,200,1.0,0,38.588411433269954
15,500,1.0,0,28.660531160703776
16,50,10.0,0,64.0213756460516
17,100,10.0,0,47.65526686740337
18,200,10.0,0,38.35500901490725
19,500,10.0,0,30.258626829413178
20,50,100.0,0,51.53990293983871
21,100,100.0,0,47.70260564358581
22,200,100.0,0,38.78256900995157
23,500,100.0,0,35.902828636801786
24,50,1000.0,0,60.901300721984825
25,100,1000.0,0,56.247425982258314
26,200,1000.0,0,57.62069879504784
27,500,1000.0,0,60.337450156659806
28,50,0.001,1,54.860568735248485
29,100,0.001,1,51.32472024086803
30,200,0.001,1,42.354462597242595
31,500,0.001,1,31.09177760829068
32,50,0.01,1,53.245466169445784
33,100,0.01,1,53.63160506126268
34,200,0.01,1,45.03785369278907
35,500,0.01,1,33.43028748556457
36,50,0.1,1,50.87039409266785
37,100,0.1,1,48.28465608582402
38,200,0.1,1,40.62324932767855
39,500,0.1,1,31.683919827106095
40,50,1.0,1,47.36577228266091
41,100,1.0,1,41.69600330550135
42,200,1.0,1,40.285893481432474
43,500,1.0,1,29.241827493759512
44,50,10.0,1,46.39332919495734
45,100,10.0,1,46.10313323164407
46,200,10.0,1,41.716627372064536
47,500,10.0,1,29.12957035108123
48,50,100.0,1,51.52397032608699
49,100,100.0,1,46.965974648099355
50,200,100.0,1,42.56133028833747
51,500,100.0,1,35.21977700550681
52,50,1000.0,1,58.12600285076727
53,100,1000.0,1,56.19841077890078
54,200,1000.0,1,60.75320601203479
55,500,1000.0,1,57.65122718426599
56,50,0.001,2,57.59299379769403
57,100,0.001,2,51.305629393786326
58,200,0.001,2,47.152314567098706
59,500,0.001,2,33.89707539228462
60,50,0.01,2,63.015826136057946
61,100,0.01,2,48.78575104493912
62,200,0.01,2,44.965883623057294
63,500,0.01,2,33.76723806878784
64,50,0.1,2,51.2451476717397
65,100,0.1,2,46.28593943015397
66,200,0.1,2,41.94060904374822
67,500,0.1,2,26.721212189151366
68,50,1.0,2,46.183320508117866
69,100,1.0,2,45.648248301375794
70,200,1.0,2,42.02593021139764
71,500,1.0,2,28.597817250612515
72,50,10.0,2,53.91181859905792
73,100,10.0,2,48.28426707651609
74,200,10.0,2,41.8775112549235
75,500,10.0,2,28.105830305544092
76,50,100.0,2,50.8846511681543
77,100,100.0,2,49.67819905372481
78,200,100.0,2,40.03906411987193
79,500,100.0,2,35.82011466632637
80,50,1000.0,2,58.968447181208376
81,100,1000.0,2,61.08586049039376
82,200,1000.0,2,58.298709978739524
83,500,1000.0,2,58.128153984361376
84,50,0.001,3,55.766032586699225
85,100,0.001,3,47.836684172864274
86,200,0.001,3,46.121547134514664
87,500,0.001,3,31.54613345389723
88,50,0.01,3,59.1565804582858
89,100,0.01,3,48.564686128579766
90,200,0.01,3,46.1964880693261
91,500,0.01,3,31.957653721304567
92,50,0.1,3,59.912377196144305
93,100,0.1,3,46.58502754308741
94,200,0.1,3,42.684924549005586
95,500,0.1,3,26.60453368947539
96,50,1.0,3,49.274903444933294
97,100,1.0,3,44.291032051710204
98,200,1.0,3,37.252534671978225
99,500,1.0,3,29.809664667777007
100,50,10.0,3,56.822269376422945
101,100,10.0,3,47.52432474956742
102,200,10.0,3,40.28600341175921
103,500,10.0,3,28.52616781491249
104,50,100.0,3,52.48274105568058
105,100,100.0,3,46.05605436195848
106,200,100.0,3,42.43963386356862
107,500,100.0,3,35.221004764290385
108,50,1000.0,3,59.804260593917405
109,100,1000.0,3,56.61931734219598
110,200,1000.0,3,55.75624956666955
111,500,1000.0,3,59.881165533326325
112,50,0.001,4,56.12972418009324
113,100,0.001,4,51.26578194763931
114,200,0.001,4,45.24961963064148
115,500,0.001,4,32.46443641476695
116,50,0.01,4,60.00621886732274
117,100,0.01,4,50.732773450544734
118,200,0.01,4,42.03566872222453
119,500,0.01,4,34.485563171740786
120,50,0.1,4,56.225285837265965
121,100,0.1,4,46.95871015480726
122,200,0.1,4,42.2927768429874
123,500,0.1,4,28.835620633987833
124,50,1.0,4,51.299799817392746
125,100,1.0,4,44.89623966719269
126,200,1.0,4,40.34103583491417
127,500,1.0,4,28.947485570516733
128,50,10.0,4,51.15053768764312
129,100,10.0,4,48.163229710117996
130,200,10.0,4,41.28236749435373
131,500,10.0,4,29.096318303137192
132,50,100.0,4,52.123043799855246
133,100,100.0,4,47.749126583179965
134,200,100.0,4,40.47430972583952
135,500,100.0,4,35.4953744265364
136,50,1000.0,4,61.524452109770195
137,100,1000.0,4,55.706246574396
138,200,1000.0,4,56.030349208329994
139,500,1000.0,4,62.12432446372413
140,50,0.001,5,58.455484552458316
141,100,0.001,5,52.04500063666463
142,200,0.001,5,45.505182314872286
143,500,0.001,5,29.98972560135178
144,50,0.01,5,56.01995145651865
145,100,0.01,5,51.34399172728989
146,200,0.01,5,45.66064652045224
147,500,0.01,5,34.89065005512188
148,50,0.1,5,52.73679323123547
149,100,0.1,5,44.64786145170441
150,200,0.1,5,39.795193037037535
151,500,0.1,5,27.31031567281499
152,50,1.0,5,46.70171076928684
153,100,1.0,5,45.80039754296263
154,200,1.0,5,37.60591023118874
155,500,1.0,5,29.522015184466852
156,50,10.0,5,55.76839257094635
157,100,10.0,5,52.8941787169125
158,200,10.0,5,43.763612729547724
159,500,10.0,5,30.344538743624533
160,50,100.0,5,56.498746511382826
161,100,100.0,5,46.2617114328711
162,200,100.0,5,39.95039666462682
163,500,100.0,5,36.15448273788755
164,50,1000.0,5,55.456196794974694
165,100,1000.0,5,57.604924815183644
166,200,1000.0,5,58.12869179832954
167,500,1000.0,5,59.91566572243824
168,50,0.001,6,55.2614691770697
169,100,0.001,6,48.83533394920187
170,200,0.001,6,47.179180091010295
171,500,0.001,6,33.0574800128879
172,50,0.01,6,56.390452613058024
173,100,0.01,6,55.27399510743
174,200,0.01,6,44.429629032931736
175,500,0.01,6,33.416835816552464
176,50,0.1,6,50.37703491929549
177,100,0.1,6,46.996193740287254
178,200,0.1,6,39.05356296217414
179,500,0.1,6,28.617612571789596
180,50,1.0,6,54.419418833701634
181,100,1.0,6,47.06835765804355
182,200,1.0,6,39.3579993004338
183,500,1.0,6,28.193861527082543
184,50,10.0,6,56.22232701357522
185,100,10.0,6,45.43464929121277
186,200,10.0,6,39.60560489012239
187,500,10.0,6,28.364772752269694
188,50,100.0,6,54.79378881314134
189,100,100.0,6,47.114039534590454
190,200,100.0,6,43.639014886478876
191,500,100.0,6,36.028537508305256
