,classical_samp,alpha,repetition,error
0,50,0.001,0,57.78903309730538
1,100,0.001,0,44.36491658161294
2,200,0.001,0,44.49094715614019
3,500,0.001,0,30.505991147274287
4,50,0.01,0,62.15628975993305
5,100,0.01,0,53.12399569106503
6,200,0.01,0,44.77090839843584
7,500,0.01,0,29.897693689254826
8,50,0.1,0,53.85053016011513
9,100,0.1,0,43.856928152057364
10,200,0.1,0,36.54253491182643
11,500,0.1,0,26.193844927445408
12,50,1.0,0,46.19245521552182
13,100,1.0,0,39.756537070246246
14,200,1.0,0,29.980423722349872
15,500,1.0,0,22.578110992608465
16,50,10.0,0,48.86970616967142
17,100,10.0,0,41.084310164092294
18,200,10.0,0,31.733141183497136
19,500,10.0,0,23.61783674962902
20,50,100.0,0,46.60936487867172
21,100,100.0,0,39.62547042398341
22,200,100.0,0,32.412937478034735
23,500,100.0,0,29.903213865751965
24,50,1000.0,0,53.9484177226841
25,100,1000.0,0,60.77334463777166
26,200,1000.0,0,69.05508517091961
27,500,1000.0,0,65.32095249679435
28,50,0.001,1,63.93196567304926
29,100,0.001,1,49.649972754000736
30,200,0.001,1,43.02610771157594
31,500,0.001,1,32.72902376386244
32,50,0.01,1,63.90598311966544
33,100,0.01,1,52.38145824988712
34,200,0.01,1,43.72545328714612
35,500,0.01,1,31.194494946829977
36,50,0.1,1,58.33480361225563
37,100,0.1,1,50.06024282775119
38,200,0.1,1,34.26410965468014
39,500,0.1,1,25.321722762975728
40,50,1.0,1,51.34827902427624
41,100,1.0,1,38.180542234229534
42,200,1.0,1,32.27380123840619
43,500,1.0,1,24.069311365753354
44,50,10.0,1,48.284949233658196
45,100,10.0,1,41.267449886869926
46,200,10.0,1,33.32234645047796
47,500,10.0,1,25.63720543642915
48,50,100.0,1,45.860271758617735
49,100,100.0,1,37.49520672320086
50,200,100.0,1,32.28464203618943
51,500,100.0,1,30.7594086434154
52,50,1000.0,1,62.84952306632227
53,100,1000.0,1,63.20604900619662
54,200,1000.0,1,58.99931994561919
55,500,1000.0,1,59.53115942258043
56,50,0.001,2,64.00812450528753
57,100,0.001,2,51.47175523862381
58,200,0.001,2,41.75245338406634
59,500,0.001,2,30.57748072406781
60,50,0.01,2,64.36253000992686
61,100,0.01,2,55.36360557699667
62,200,0.01,2,38.37917751954841
63,500,0.01,2,27.540522749961937
64,50,0.1,2,58.41673441956458
65,100,0.1,2,51.969465602961364
66,200,0.1,2,37.668317871761225
67,500,0.1,2,26.59634409403947
68,50,1.0,2,45.7596040318714
69,100,1.0,2,48.309810577460354
70,200,1.0,2,34.09008756097303
71,500,1.0,2,21.47136833724966
72,50,10.0,2,41.55258922759244
73,100,10.0,2,36.555102800072355
74,200,10.0,2,32.41223950727257
75,500,10.0,2,25.492180433323234
76,50,100.0,2,43.986694451368756
77,100,100.0,2,37.56334529892312
78,200,100.0,2,32.40562636469205
79,500,100.0,2,29.5310090629214
80,50,1000.0,2,60.599256250015365
81,100,1000.0,2,63.8743540664593
82,200,1000.0,2,62.65952590738299
83,500,1000.0,2,59.742376109059286
84,50,0.001,3,67.31830609727004
85,100,0.001,3,51.82358864427848
86,200,0.001,3,45.35638911947449
87,500,0.001,3,27.574294436166245
88,50,0.01,3,62.75588443577792
89,100,0.01,3,51.482759363878635
90,200,0.01,3,46.71413932067253
91,500,0.01,3,28.675904663912988
92,50,0.1,3,53.17314761040278
93,100,0.1,3,43.15104006807646
94,200,0.1,3,32.477404908266216
95,500,0.1,3,26.104339982944396
96,50,1.0,3,39.57685173252482
97,100,1.0,3,36.25563586471238
98,200,1.0,3,31.675688537803463
99,500,1.0,3,23.264884987371303
100,50,10.0,3,43.34782416178361
101,100,10.0,3,40.86688650738846
102,200,10.0,3,33.84571632763298
103,500,10.0,3,23.888031005279444
104,50,100.0,3,44.7008274362878
105,100,100.0,3,41.46680163714987
106,200,100.0,3,32.62283301372415
107,500,100.0,3,29.564692501652186
108,50,1000.0,3,53.9483747252823
109,100,1000.0,3,67.14230614205972
110,200,1000.0,3,62.94935375230274
111,500,1000.0,3,62.957579855011495
112,50,0.001,4,56.23980817814631
113,100,0.001,4,53.65587575448656
114,200,0.001,4,39.29992805294821
115,500,0.001,4,26.91007474387839
116,50,0.01,4,57.92309319101903
117,100,0.01,4,51.324573513418635
118,200,0.01,4,40.85893551253124
119,500,0.01,4,30.505348722646712
120,50,0.1,4,59.16365745508123
