,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,50,2,1,110.69460384153868
1,0,0.001,50,2,2,1526.9726121818087
2,0,0.001,50,2,5,3101.5034482655465
3,0,0.001,50,5,1,142.75691844362296
4,0,0.001,50,5,2,2961.24028031107
5,0,0.001,50,5,5,8156.402050523021
6,0,0.001,50,7,1,127.63681933792579
7,0,0.001,50,7,2,1473.650640228546
8,0,0.001,50,7,5,4282.833485207989
9,0,0.001,100,2,1,118.77632651085474
10,0,0.001,100,2,2,824.5969234569409
11,0,0.001,100,2,5,2439.693008811509
12,0,0.001,100,5,1,114.03238056119231
13,0,0.001,100,5,2,2131.566915342656
14,0,0.001,100,5,5,7289.048578372845
15,0,0.001,100,7,1,132.77831493366497
16,0,0.001,100,7,2,1302.83975729187
17,0,0.001,100,7,5,7678.610145610572
18,0,0.001,200,2,1,116.27467026161231
19,0,0.001,200,2,2,1192.724379146533
20,0,0.001,200,2,5,3131.310859587982
21,0,0.001,200,5,1,133.37128003065448
22,0,0.001,200,5,2,2072.7184701858646
23,0,0.001,200,5,5,7850.3226725572395
24,0,0.001,200,7,1,136.7460489281481
25,0,0.001,200,7,2,1692.925678079112
26,0,0.001,200,7,5,7085.902311231234
27,0,0.001,500,2,1,123.64891505267477
28,0,0.001,500,2,2,980.2837975405572
29,0,0.001,500,2,5,2164.94393221462
30,0,0.001,500,5,1,143.71370749399046
31,0,0.001,500,5,2,1042.0783790051375
32,0,0.001,500,5,5,4709.058323377671
33,0,0.001,500,7,1,159.93203105409935
34,0,0.001,500,7,2,910.0695886197223
35,0,0.001,500,7,5,5034.07939798253
36,0,0.01,50,2,1,108.09005080995985
37,0,0.01,50,2,2,475.11538578819466
38,0,0.01,50,2,5,896.9661943494551
39,0,0.01,50,5,1,104.83238436836125
40,0,0.01,50,5,2,1033.116040679454
41,0,0.01,50,5,5,4430.039388310713
42,0,0.01,50,7,1,110.11249028161245
43,0,0.01,50,7,2,1222.3502117597466
