,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,2,2,29.551698417070654
1,0,0.01,50,2,6,24.381535128422613
2,0,0.01,50,2,8,19.64228390142077
3,0,0.01,50,6,2,12.520042677980266
4,0,0.01,50,6,6,26.77065150178146
5,0,0.01,50,6,8,21.819906731536438
6,0,0.01,50,8,2,15.623690130642627
7,0,0.01,50,8,6,8.576362470482323
8,0,0.01,50,8,8,26.644969704486034
9,0,0.01,100,2,2,19.662833804760762
10,0,0.01,100,2,6,13.08764331232721
11,0,0.01,100,2,8,5.6685010895342325
12,0,0.01,100,6,2,29.89665069703278
13,0,0.01,100,6,6,21.902800501997962
14,0,0.01,100,6,8,13.772911542088384
15,0,0.01,100,8,2,6.565775026825155
16,0,0.01,100,8,6,29.6145462069892
17,0,0.01,100,8,8,24.69262657535527
18,0,0.01,200,2,2,19.70047092939882
19,0,0.01,200,2,6,12.832474634415606
20,0,0.01,200,2,8,27.34032030667226
21,0,0.01,200,6,2,21.22930987019355
22,0,0.01,200,6,6,15.461191754517849
23,0,0.01,200,6,8,8.295725712316804
24,0,0.01,200,8,2,26.496200936983733
25,0,0.01,200,8,6,19.46247598576764
26,0,0.01,200,8,8,13.184592554757273
27,0,0.01,500,2,2,5.7212462266739115
28,0,0.01,500,2,6,29.517602550360436
29,0,0.01,500,2,8,21.4299248749328
30,0,0.01,500,6,2,13.471205343735427
31,0,0.01,500,6,6,6.471260505064996
32,0,0.01,500,6,8,29.86759863432533
33,0,0.01,500,8,2,24.756678672340076
34,0,0.01,500,8,6,19.523743186288595
35,0,0.01,500,8,8,12.568593535357536
36,0,0.1,50,2,2,26.390130932227624
37,0,0.1,50,2,6,21.491562185616537
38,0,0.1,50,2,8,15.20632007110795
39,0,0.1,50,6,2,8.316906671622128
40,0,0.1,50,6,6,25.943869670388825
41,0,0.1,50,6,8,20.13361008603364
42,0,0.1,50,8,2,12.810131468146654
43,0,0.1,50,8,6,5.684257169721757
44,0,0.1,50,8,8,29.51830396313215
45,0,0.1,100,2,2,21.046703448371698
46,0,0.1,100,2,6,13.77695957099214
47,0,0.1,100,2,8,6.352899577226927
48,0,0.1,100,6,2,29.931557274557683
49,0,0.1,100,6,6,24.650162519495662
50,0,0.1,100,6,8,19.339586244277655
51,0,0.1,100,8,2,12.582361263766186
52,0,0.1,100,8,6,26.725896368169373
53,0,0.1,100,8,8,21.400664777323552
54,0,0.1,200,2,2,15.120566861259222
55,0,0.1,200,2,6,8.357467975743381
56,0,0.1,200,2,8,26.787498074672556
57,0,0.1,200,6,2,20.096429957576916
58,0,0.1,200,6,6,12.84659591293713
59,0,0.1,200,6,8,5.639446441864156
60,0,0.1,200,8,2,30.001744283194263
61,0,0.1,200,8,6,21.387570973317
62,0,0.1,200,8,8,13.675862839168575
63,0,0.1,500,2,2,6.528991600794275
64,0,0.1,500,2,6,29.449107349902047
65,0,0.1,500,2,8,24.825003829295007
66,0,0.1,500,6,2,19.615239820334303
