,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,2,2,72.83622791232796
1,0,0.01,50,2,4,79.22428484058533
2,0,0.01,50,2,8,83.05972230283857
3,0,0.01,50,4,2,72.90934496350802
4,0,0.01,50,4,4,79.38866855948771
5,0,0.01,50,4,8,86.1121598680955
6,0,0.01,50,8,2,79.57722443573452
7,0,0.01,50,8,4,88.54198901547863
8,0,0.01,50,8,8,89.99276515703433
9,0,0.01,100,2,2,68.75214737746343
10,0,0.01,100,2,4,76.30299874408664
11,0,0.01,100,2,8,81.41496291732014
12,0,0.01,100,4,2,69.33858052290863
13,0,0.01,100,4,4,77.454968961306
14,0,0.01,100,4,8,82.97094337452123
15,0,0.01,100,8,2,75.20310219899697
16,0,0.01,100,8,4,84.52102598175091
17,0,0.01,100,8,8,84.67660562745994
18,0,0.01,200,2,2,60.35790005786941
19,0,0.01,200,2,4,71.48348909756722
20,0,0.01,200,2,8,75.84578319538753
21,0,0.01,200,4,2,61.2091540166249
22,0,0.01,200,4,4,58.90223799179361
23,0,0.01,200,4,8,68.16316481209574
24,0,0.01,200,8,2,64.5133560014481
25,0,0.01,200,8,4,68.85863470757683
26,0,0.01,200,8,8,68.83849742382223
27,0,0.01,500,2,2,18.821436283547406
28,0,0.01,500,2,4,14.685825463468406
29,0,0.01,500,2,8,27.87289605518547
30,0,0.01,500,4,2,1.3490849537380305
31,0,0.01,500,4,4,3.7188730940761814
32,0,0.01,500,4,8,17.394102394956192
33,0,0.01,500,8,2,1.250793205361352
34,0,0.01,500,8,4,2.92565216879809
35,0,0.01,500,8,8,5.049700344750899
36,0,0.1,50,2,2,42.487259873836464
37,0,0.1,50,2,4,48.93530662171616
38,0,0.1,50,2,8,52.32802961083936
39,0,0.1,50,4,2,44.642550182922086
40,0,0.1,50,4,4,50.2354729373722
41,0,0.1,50,4,8,57.25417539204454
42,0,0.1,50,8,2,43.068221555066096
43,0,0.1,50,8,4,57.73415695789341
44,0,0.1,50,8,8,62.43031304802315
45,0,0.1,100,2,2,33.470875164132316
46,0,0.1,100,2,4,40.925849433151065
47,0,0.1,100,2,8,44.280405708184254
48,0,0.1,100,4,2,33.5996238505789
49,0,0.1,100,4,4,35.30034775387049
50,0,0.1,100,4,8,32.35764144903091
51,0,0.1,100,8,2,30.77730904538594
52,0,0.1,100,8,4,30.85837561425645
53,0,0.1,100,8,8,27.89313584253529
54,0,0.1,200,2,2,18.495940819886513
55,0,0.1,200,2,4,12.843941568769793
56,0,0.1,200,2,8,15.145222787562819
57,0,0.1,200,4,2,11.00731034551495
58,0,0.1,200,4,4,5.367141656804764
59,0,0.1,200,4,8,7.345829835552984
60,0,0.1,200,8,2,6.737670658476831
61,0,0.1,200,8,4,5.146658930270322
62,0,0.1,200,8,8,7.241904638994701
63,0,0.1,500,2,2,1.8926113822542336
64,0,0.1,500,2,4,3.3485324207118845
65,0,0.1,500,2,8,4.25836704387622
66,0,0.1,500,4,2,2.005225032059798
67,0,0.1,500,4,4,4.800881368463764
68,0,0.1,500,4,8,7.033316211167356
69,0,0.1,500,8,2,2.0463083662262394
70,0,0.1,500,8,4,4.451826153784043
71,0,0.1,500,8,8,6.682386493282581
72,0,1.0,50,2,2,22.073201207524285
73,0,1.0,50,2,4,22.308650862844946
74,0,1.0,50,2,8,25.324351910416528
75,0,1.0,50,4,2,20.058370955584746
76,0,1.0,50,4,4,19.06458818848786
77,0,1.0,50,4,8,17.404295231139805
78,0,1.0,50,8,2,18.150940425668903
79,0,1.0,50,8,4,14.734192993722782
80,0,1.0,50,8,8,13.176936253064822
81,0,1.0,100,2,2,12.26524027810258
82,0,1.0,100,2,4,10.67373109373783
83,0,1.0,100,2,8,10.663217006604135
84,0,1.0,100,4,2,9.994805321908554
85,0,1.0,100,4,4,7.6584693650322
86,0,1.0,100,4,8,9.326984789505763
87,0,1.0,100,8,2,8.811586373227115
88,0,1.0,100,8,4,7.605354390511558
89,0,1.0,100,8,8,10.126969699239089
90,0,1.0,200,2,2,5.807413151814596
91,0,1.0,200,2,4,5.7092620019948175
92,0,1.0,200,2,8,6.195723800186959
93,0,1.0,200,4,2,4.557293154761662
94,0,1.0,200,4,4,6.288971515258004
95,0,1.0,200,4,8,8.469539816649458
96,0,1.0,200,8,2,4.50960406001194
97,0,1.0,200,8,4,6.8195859122207825
98,0,1.0,200,8,8,9.524682956335143
99,0,1.0,500,2,2,2.790301392386056
100,0,1.0,500,2,4,4.384097857698766
101,0,1.0,500,2,8,5.068426736667004
102,0,1.0,500,4,2,3.288179763891866
103,0,1.0,500,4,4,5.927127169786085
104,0,1.0,500,4,8,8.261060294387155
105,0,1.0,500,8,2,3.5048304330946016
106,0,1.0,500,8,4,6.536765074403352
