,rep,alp,num_cell,error
0,0,0.001,50,29.448377280225078
1,0,0.001,100,24.793806668623795
2,0,0.001,200,19.843141273112902
3,0,0.001,500,13.209267391707792
4,0,0.01,50,29.95262283278358
5,0,0.01,100,24.583084450016848
6,0,0.01,200,19.509087132498234
7,0,0.01,500,12.742090502006652
8,0,0.1,50,27.11173117124856
9,0,0.1,100,21.299696938951083
10,0,0.1,200,15.26809057122606
11,0,0.1,500,8.323353042589389
12,0,1.0,50,26.771732735770712
13,0,1.0,100,20.48245372244115
14,0,1.0,200,12.629578317351735
15,0,1.0,500,5.946773314496182
16,0,10.0,50,29.427242103530943
17,0,10.0,100,20.49592177600808
18,0,10.0,200,13.551803519516943
19,0,10.0,500,6.590911109469592
20,0,100.0,50,29.735732880947143
21,0,100.0,100,22.07087751627422
22,0,100.0,200,17.436311524064056
23,0,100.0,500,15.508810431131382
24,0,1000.0,50,45.24565314389846
25,0,1000.0,100,44.709804575882714
26,0,1000.0,200,44.85966863107597
27,0,1000.0,500,44.89930844528394
28,1,0.001,50,29.65291217313909
29,1,0.001,100,24.762540780447395
30,1,0.001,200,19.41130867352702
31,1,0.001,500,12.914759160778345
32,1,0.01,50,30.04571591272626
33,1,0.01,100,24.77307124785931
34,1,0.01,200,19.560813270465058
35,1,0.01,500,12.461288169781717
36,1,0.1,50,26.564444796107438
37,1,0.1,100,20.900787597856052
38,1,0.1,200,15.225018285480411
39,1,0.1,500,8.271096738629383
40,1,1.0,50,26.578643345249482
41,1,1.0,100,19.97372121525106
42,1,1.0,200,13.011855368353627
43,1,1.0,500,5.754669946772713
44,1,10.0,50,30.672544855857172
45,1,10.0,100,21.487295877442463
46,1,10.0,200,13.659241372709163
47,1,10.0,500,6.637501850594875
48,1,100.0,50,29.477545710953574
49,1,100.0,100,21.598706086575135
50,1,100.0,200,16.95712224711388
51,1,100.0,500,15.46304666205059
52,1,1000.0,50,45.16217661049465
53,1,1000.0,100,45.17904765536674
54,1,1000.0,200,44.883131985236936
55,1,1000.0,500,44.837425844010475
56,2,0.001,50,29.978584020562575
57,2,0.001,100,24.76066952775402
58,2,0.001,200,19.79644490702892
59,2,0.001,500,12.803104435441213
60,2,0.01,50,29.395137945358584
61,2,0.01,100,24.433529270248652
62,2,0.01,200,19.405424287831778
63,2,0.01,500,12.720193916857978
64,2,0.1,50,26.30132304587781
65,2,0.1,100,21.51659941284795
66,2,0.1,200,15.131660445144426
67,2,0.1,500,8.179415373114834
68,2,1.0,50,26.83395743582151
69,2,1.0,100,19.979248439182594
70,2,1.0,200,12.779567766357431
71,2,1.0,500,5.877894236503203
72,2,10.0,50,29.695984152103176
73,2,10.0,100,21.502072966244512
74,2,10.0,200,13.402095408794684
75,2,10.0,500,6.473969201477536
76,2,100.0,50,29.665820556176097
77,2,100.0,100,22.23886378342944
78,2,100.0,200,17.14082162443485
79,2,100.0,500,15.552619340589272
80,2,1000.0,50,45.180724969647834
81,2,1000.0,100,44.92494295739664
82,2,1000.0,200,44.930916676682465
