,rep,alp,num_cell,error
0,0,0.01,50,168.94277056151293
1,0,0.01,100,174.1449553532918
2,0,0.01,200,174.61367193035028
3,0,0.01,500,171.35699613672037
4,0,0.1,50,175.3569977217904
5,0,0.1,100,175.88176831326209
6,0,0.1,200,170.94054997279025
7,0,0.1,500,174.5074037827622
8,0,1.0,50,174.19413939624948
9,0,1.0,100,168.0953576098995
10,0,1.0,200,172.4609531894104
11,0,1.0,500,173.8953339655783
12,0,10.0,50,168.82138541962036
13,0,10.0,100,174.14776096751862
14,0,10.0,200,175.55504265044624
15,0,10.0,500,170.1010448968495
16,1,0.01,50,174.14050361705057
17,1,0.01,100,174.5420263145813
18,1,0.01,200,165.07630561349498
19,1,0.01,500,170.77160778361255
20,1,0.1,50,172.4701076998562
21,1,0.1,100,164.58261967777764
22,1,0.1,200,171.023760483741
23,1,0.1,500,173.28914045605973
24,1,1.0,50,167.3163289251829
25,1,1.0,100,172.2253973721646
26,1,1.0,200,173.83301635477653
27,1,1.0,500,133.74704239720595
28,1,10.0,50,142.54635246122575
29,1,10.0,100,154.82443839717294
30,1,10.0,200,51.861913530065586
31,1,10.0,500,34.24564023346622
32,2,0.01,50,134.9852568801497
33,2,0.01,100,73.82292919547422
34,2,0.01,200,5.869663533798168
35,2,0.01,500,8.05102943728316
36,2,0.1,50,130.66577038383082
37,2,0.1,100,143.58850720026305
38,2,0.1,200,152.5559270398892
39,2,0.1,500,138.40654310761468
40,2,1.0,50,149.6871586843708
41,2,1.0,100,158.29333356146114
42,2,1.0,200,147.26939541194565
43,2,1.0,500,166.06554805256872
44,2,10.0,50,168.19942412208195
45,2,10.0,100,120.59588705673175
46,2,10.0,200,133.57629514625714
47,2,10.0,500,147.87092919164334
48,3,0.01,50,125.78173754563895
49,3,0.01,100,140.0481843866603
50,3,0.01,200,133.95755997703154
51,3,0.01,500,134.38572943210897
52,3,0.1,50,155.50359810949712
53,3,0.1,100,144.32226759928628
54,3,0.1,200,91.3574404468514
55,3,0.1,500,92.71732160173741
