,classical_samp,alpha,repetition,error
0,100,0.001,0,52.34360731362096
1,200,0.001,0,46.78146756147438
2,500,0.001,0,31.417630284086286
3,100,0.01,0,48.01844409821638
4,200,0.01,0,40.78228310891846
5,500,0.01,0,33.44009074791687
6,100,0.1,0,47.9459358409795
7,200,0.1,0,40.10151664153082
8,500,0.1,0,29.982520328136165
9,100,1.0,0,44.380202698578394
10,200,1.0,0,44.20480258374162
11,500,1.0,0,30.75069000102604
12,100,10.0,0,51.954909321197434
13,200,10.0,0,38.95284889366124
14,500,10.0,0,28.469090287933295
15,100,100.0,0,48.04069622265557
16,200,100.0,0,40.33654170860776
17,500,100.0,0,35.568911278439124
18,100,1000.0,0,61.35556903698186
19,200,1000.0,0,62.47998778868376
20,500,1000.0,0,58.170140166265384
21,100,0.001,1,54.2550773241088
22,200,0.001,1,44.21904647366845
23,500,0.001,1,33.1482413118795
24,100,0.01,1,47.52021779067473
25,200,0.01,1,45.14486259755431
26,500,0.01,1,31.738984384154833
27,100,0.1,1,52.20124931169798
28,200,0.1,1,42.82938794504402
29,500,0.1,1,29.99152419643745
30,100,1.0,1,44.53772215120914
31,200,1.0,1,41.13120878349169
32,500,1.0,1,28.600012862987295
33,100,10.0,1,46.40229821973191
34,200,10.0,1,43.495302931070505
35,500,10.0,1,29.974408935482828
36,100,100.0,1,47.882200953626565
37,200,100.0,1,40.16868205146664
38,500,100.0,1,35.49102789206059
39,100,1000.0,1,60.06909971641609
40,200,1000.0,1,59.144227004526506
41,500,1000.0,1,58.603927311198994
42,100,0.001,2,50.03831740283381
43,200,0.001,2,43.94697831564512
44,500,0.001,2,32.89617156725971
45,100,0.01,2,53.01484443702302
46,200,0.01,2,44.37744805718338
47,500,0.01,2,33.18090861270111
48,100,0.1,2,48.9282007092926
49,200,0.1,2,41.803308061736224
50,500,0.1,2,28.250573158265635
51,100,1.0,2,43.89020239726458
52,200,1.0,2,37.24170721438772
53,500,1.0,2,26.408788363630443
54,100,10.0,2,49.37948289661863
55,200,10.0,2,39.26899331147134
56,500,10.0,2,28.61641925289094
57,100,100.0,2,48.44876063635902
58,200,100.0,2,38.216934956002305
59,500,100.0,2,35.56483488653732
60,100,1000.0,2,60.847909821370415
61,200,1000.0,2,59.52476344314996
62,500,1000.0,2,57.67546933842329
63,100,0.001,3,46.664813363641514
64,200,0.001,3,46.843774777664365
65,500,0.001,3,29.14273703371863
66,100,0.01,3,49.67299123751149
67,200,0.01,3,43.85160754514625
68,500,0.01,3,32.5185213627729
69,100,0.1,3,49.337325825867104
70,200,0.1,3,37.725978528990304
71,500,0.1,3,30.090813103925452
72,100,1.0,3,48.5355781680511
73,200,1.0,3,40.17991276286652
74,500,1.0,3,27.39450246399364
75,100,10.0,3,47.85119366578534
76,200,10.0,3,41.22679166226933
77,500,10.0,3,28.540925147874976
78,100,100.0,3,46.18294040568309
79,200,100.0,3,38.20786715729231
80,500,100.0,3,35.134537257434054
81,100,1000.0,3,61.04409687236728
82,200,1000.0,3,59.44257760568099
83,500,1000.0,3,58.04118980198138
84,100,0.001,4,52.573209574310845
85,200,0.001,4,42.303349313788885
86,500,0.001,4,35.31456666153797
87,100,0.01,4,52.489997268031296
88,200,0.01,4,43.11690814009036
89,500,0.01,4,36.00118891695945
90,100,0.1,4,48.81715878638963
91,200,0.1,4,36.25510126171074
92,500,0.1,4,28.783697317708345
93,100,1.0,4,45.34500907135649
94,200,1.0,4,41.68492257611554
95,500,1.0,4,29.254865482029548
96,100,10.0,4,49.30323188305793
97,200,10.0,4,39.17260749598803
98,500,10.0,4,29.197777274027437
99,100,100.0,4,45.80307454481969
100,200,100.0,4,40.71341682120646
101,500,100.0,4,36.21731924840435
102,100,1000.0,4,57.673360273051394
103,200,1000.0,4,60.92208712014117
104,500,1000.0,4,61.73304313346716
105,100,0.001,5,53.24640076110972
106,200,0.001,5,43.504124980678874
107,500,0.001,5,33.20596630289726
108,100,0.01,5,45.68242117816272
109,200,0.01,5,44.444247697350875
110,500,0.01,5,37.5465746863351
111,100,0.1,5,49.28982689334862
112,200,0.1,5,39.38161449152335
113,500,0.1,5,30.83942961465358
114,100,1.0,5,42.21846020371684
115,200,1.0,5,39.63653241328307
116,500,1.0,5,27.288195739376036
117,100,10.0,5,44.158123524246065
118,200,10.0,5,42.1501018189016
119,500,10.0,5,28.50161142176294
120,100,100.0,5,48.984304619777554
121,200,100.0,5,39.02786928047313
122,500,100.0,5,35.93389190552004
123,100,1000.0,5,59.15822725413474
124,200,1000.0,5,58.415445343073664
125,500,1000.0,5,58.630263746319294
126,100,0.001,6,49.32766412782376
127,200,0.001,6,44.02215217782039
128,500,0.001,6,31.061498003231065
129,100,0.01,6,52.731556655207875
130,200,0.01,6,44.10077286149725
131,500,0.01,6,30.99799638831454
132,100,0.1,6,48.81478489304619
133,200,0.1,6,40.20938670224591
134,500,0.1,6,28.542910159664487
135,100,1.0,6,47.343236670232955
136,200,1.0,6,41.857744523458514
137,500,1.0,6,28.98829598132406
138,100,10.0,6,49.507418956007754
139,200,10.0,6,39.85578879994803
140,500,10.0,6,28.59315491664173
141,100,100.0,6,52.74283454731994
142,200,100.0,6,43.08443538478615
143,500,100.0,6,35.38879188903998
144,100,1000.0,6,62.75387891213192
145,200,1000.0,6,58.896241312504316
146,500,1000.0,6,59.27048981544661
147,100,0.001,7,50.292897072289215
148,200,0.001,7,41.99616722570402
149,500,0.001,7,31.98636662978888
150,100,0.01,7,49.393670212757456
151,200,0.01,7,43.2974765620166
152,500,0.01,7,33.485636651580045
153,100,0.1,7,49.60731833962787
154,200,0.1,7,39.521285592150086
155,500,0.1,7,30.28203164900508
156,100,1.0,7,49.86957332204456
157,200,1.0,7,38.81172877500368
158,500,1.0,7,30.093475040561543
159,100,10.0,7,44.8707536811945
160,200,10.0,7,42.57945050125388
161,500,10.0,7,27.59142942072389
162,100,100.0,7,47.838343555019215
163,200,100.0,7,40.07301891440743
164,500,100.0,7,36.32897950481398
165,100,1000.0,7,61.13963241508612
166,200,1000.0,7,61.89822048390465
167,500,1000.0,7,62.98816660529417
168,100,0.001,8,49.2268117463746
169,200,0.001,8,46.357645655488916
170,500,0.001,8,33.676418141725996
171,100,0.01,8,51.37593362349594
172,200,0.01,8,43.1826085548242
173,500,0.01,8,33.793420919699585
174,100,0.1,8,44.16091143682134
175,200,0.1,8,41.01581948145345
176,500,0.1,8,27.838705104728877
177,100,1.0,8,43.90879087011184
178,200,1.0,8,39.91592779354429
179,500,1.0,8,28.429616018864003
180,100,10.0,8,47.635161287610806
181,200,10.0,8,39.87943253442037
182,500,10.0,8,30.480276943939028
183,100,100.0,8,46.54261725808318
184,200,100.0,8,39.599403550039625
185,500,100.0,8,35.68209807606515
186,100,1000.0,8,64.57894554270304
187,200,1000.0,8,58.37737717421655
188,500,1000.0,8,58.52289652840221
189,100,0.001,9,51.223527261972954
190,200,0.001,9,46.099010898041335
191,500,0.001,9,32.53124577147047
192,100,0.01,9,52.770440175877276
193,200,0.01,9,44.45976588598664
194,500,0.01,9,32.4183515574309
195,100,0.1,9,45.41419846951724
196,200,0.1,9,35.887499775497304
197,500,0.1,9,28.74668496152615
198,100,1.0,9,46.40120787566113
199,200,1.0,9,40.317800210098945
200,500,1.0,9,29.994255794383104
201,100,10.0,9,48.97929262480193
202,200,10.0,9,41.51562959391269
203,500,10.0,9,31.19642463171205
204,100,100.0,9,49.36911535687692
205,200,100.0,9,36.26860585010804
206,500,100.0,9,34.316285495024935
207,100,1000.0,9,59.8099928167588
208,200,1000.0,9,63.51034549729032
209,500,1000.0,9,59.77447114192055
