,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,100,2,1,98.87893496047633
1,0,0.001,100,2,2,1427.4828867889717
2,0,0.001,100,2,5,1566.223895185256
3,0,0.001,100,5,1,98.44675594844121
4,0,0.001,100,5,2,1509.0271238700227
5,0,0.001,100,5,5,3066.0114270304325
6,0,0.001,100,7,1,111.79280958490723
7,0,0.001,100,7,2,1230.5942466597305
8,0,0.001,100,7,5,2888.170025460094
9,0,0.001,200,2,1,99.70850352168125
10,0,0.001,200,2,2,1083.6632367205816
11,0,0.001,200,2,5,1980.3264037131962
12,0,0.001,200,5,1,122.18691437755847
13,0,0.001,200,5,2,1056.1997370673482
14,0,0.001,200,5,5,3303.6713487769675
15,0,0.001,200,7,1,104.29480451908876
16,0,0.001,200,7,2,1274.4850945870098
17,0,0.001,200,7,5,2583.119068287678
18,0,0.001,500,2,1,134.37455475163046
19,0,0.001,500,2,2,923.5117183774843
20,0,0.001,500,2,5,472.83400900318674
21,0,0.001,500,5,1,159.63833609252546
22,0,0.001,500,5,2,578.3334473692513
23,0,0.001,500,5,5,2378.9063995503193
24,0,0.001,500,7,1,133.86669394972876
25,0,0.001,500,7,2,664.0858576583947
26,0,0.001,500,7,5,2662.600222593294
27,0,0.01,100,2,1,103.01521535797445
28,0,0.01,100,2,2,359.4746068571702
29,0,0.01,100,2,5,281.6349340123219
30,0,0.01,100,5,1,106.49720245356924
31,0,0.01,100,5,2,299.91028462523553
32,0,0.01,100,5,5,504.83247941961724
33,0,0.01,100,7,1,89.4537216444208
34,0,0.01,100,7,2,393.9487113750178
35,0,0.01,100,7,5,901.2307243898299
36,0,0.01,200,2,1,85.72919480704215
37,0,0.01,200,2,2,169.27881966337063
38,0,0.01,200,2,5,308.05862795016577
39,0,0.01,200,5,1,104.00866137971424
40,0,0.01,200,5,2,282.6288944643382
41,0,0.01,200,5,5,61.998860300684434
42,0,0.01,200,7,1,89.42080277540073
43,0,0.01,200,7,2,242.21805409876657
44,0,0.01,200,7,5,475.0266086250048
45,0,0.01,500,2,1,77.66955241273462
46,0,0.01,500,2,2,68.15324481548568
47,0,0.01,500,2,5,64.90563586804635
48,0,0.01,500,5,1,75.45619169776089
49,0,0.01,500,5,2,65.08312617450584
50,0,0.01,500,5,5,62.190316473325986
51,0,0.01,500,7,1,72.98032162523708
52,0,0.01,500,7,2,65.23270224523341
53,0,0.01,500,7,5,63.20564916913336
54,0,0.1,100,2,1,74.45078086043661
55,0,0.1,100,2,2,61.481082289870365
56,0,0.1,100,2,5,116.40884562855564
57,0,0.1,100,5,1,58.65084801430968
58,0,0.1,100,5,2,72.76224807261585
59,0,0.1,100,5,5,61.51125497938201
60,0,0.1,100,7,1,63.84604332160889
61,0,0.1,100,7,2,67.57499127079141
62,0,0.1,100,7,5,95.01180808223755
63,0,0.1,200,2,1,68.17091190341493
64,0,0.1,200,2,2,65.8693715531109
65,0,0.1,200,2,5,62.98298984739103
66,0,0.1,200,5,1,61.66465655977115
67,0,0.1,200,5,2,63.683880308768735
68,0,0.1,200,5,5,61.32136234111679
69,0,0.1,200,7,1,61.7849305759864
70,0,0.1,200,7,2,63.776467391015686
71,0,0.1,200,7,5,62.146394388376585
72,0,0.1,500,2,1,65.75250870782673
73,0,0.1,500,2,2,65.16613749443778
74,0,0.1,500,2,5,63.439281473604886
75,0,0.1,500,5,1,66.47320684443386
76,0,0.1,500,5,2,64.3702865028837
77,0,0.1,500,5,5,61.257774771511045
78,0,0.1,500,7,1,66.21525205877535
79,0,0.1,500,7,2,64.21848436061285
80,0,0.1,500,7,5,61.62255735831882
81,0,1.0,100,2,1,50.47275312263029
82,0,1.0,100,2,2,64.12193319008499
83,0,1.0,100,2,5,62.3846013702296
84,0,1.0,100,5,1,55.09195936897716
85,0,1.0,100,5,2,57.906348290190536
86,0,1.0,100,5,5,59.63996006513786
87,0,1.0,100,7,1,58.5245001562048
88,0,1.0,100,7,2,62.504851101128864
89,0,1.0,100,7,5,59.51152332582847
90,0,1.0,200,2,1,61.68932039083651
91,0,1.0,200,2,2,62.4061108635238
92,0,1.0,200,2,5,61.828626445399884
93,0,1.0,200,5,1,63.44886477562655
94,0,1.0,200,5,2,63.35108691245799
95,0,1.0,200,5,5,60.540017877838224
96,0,1.0,200,7,1,62.361150983253694
97,0,1.0,200,7,2,62.70173948558655
98,0,1.0,200,7,5,60.29324721444253
99,0,1.0,500,2,1,65.4231376448636
100,0,1.0,500,2,2,63.74772944497901
101,0,1.0,500,2,5,62.51556792402064
102,0,1.0,500,5,1,65.04542578893567
103,0,1.0,500,5,2,63.292537298438994
104,0,1.0,500,5,5,60.503841188918095
105,0,1.0,500,7,1,64.4451975536302
106,0,1.0,500,7,2,63.35895790637381
107,0,1.0,500,7,5,60.34736055043675
108,0,10.0,100,2,1,61.6201832914829
109,0,10.0,100,2,2,60.45296627436848
110,0,10.0,100,2,5,57.18631069906543
111,0,10.0,100,5,1,58.52975265300351
112,0,10.0,100,5,2,61.116866127627674
113,0,10.0,100,5,5,58.981220972425845
114,0,10.0,100,7,1,57.76654526206633
115,0,10.0,100,7,2,60.13052480986279
116,0,10.0,100,7,5,58.74675533281834
117,0,10.0,200,2,1,59.87566672633921
118,0,10.0,200,2,2,61.51870723866851
119,0,10.0,200,2,5,60.27100743611088
120,0,10.0,200,5,1,60.32711788074014
121,0,10.0,200,5,2,60.84017855702275
122,0,10.0,200,5,5,59.26780508549725
123,0,10.0,200,7,1,61.56206367249129
124,0,10.0,200,7,2,61.35533637903079
125,0,10.0,200,7,5,59.07354109249336
126,0,10.0,500,2,1,62.41707938633862
127,0,10.0,500,2,2,62.21482579463546
128,0,10.0,500,2,5,60.996434874110044
129,0,10.0,500,5,1,62.57205166924518
130,0,10.0,500,5,2,61.63734634051608
131,0,10.0,500,5,5,59.17209586173621
132,0,10.0,500,7,1,62.533321231509255
133,0,10.0,500,7,2,61.7861571488826
134,0,10.0,500,7,5,58.91253196151619
135,0,100.0,100,2,1,58.650260702176475
136,0,100.0,100,2,2,55.90656927610554
137,0,100.0,100,2,5,58.56229348596229
138,0,100.0,100,5,1,56.21311126660905
139,0,100.0,100,5,2,57.18880631692519
140,0,100.0,100,5,5,56.79914685727658
141,0,100.0,100,7,1,56.671348652661756
142,0,100.0,100,7,2,54.26804500397231
143,0,100.0,100,7,5,56.21583551646424
144,0,100.0,200,2,1,55.91823863978268
145,0,100.0,200,2,2,57.35512399048955
146,0,100.0,200,2,5,57.62019126350974
147,0,100.0,200,5,1,53.371866055072886
148,0,100.0,200,5,2,58.498539358075966
149,0,100.0,200,5,5,57.07582661019811
150,0,100.0,200,7,1,52.22639163497165
151,0,100.0,200,7,2,57.72991229573431
152,0,100.0,200,7,5,56.65959188645738
153,0,100.0,500,2,1,57.93928057103234
154,0,100.0,500,2,2,57.933325786752306
155,0,100.0,500,2,5,57.96918270051363
156,0,100.0,500,5,1,57.16794288257044
157,0,100.0,500,5,2,59.18609290469761
158,0,100.0,500,5,5,57.325075757041084
159,0,100.0,500,7,1,56.546559576182865
160,0,100.0,500,7,2,58.178613514883814
161,0,100.0,500,7,5,57.13299792760154
162,0,1000.0,100,2,1,46.03863102161356
163,0,1000.0,100,2,2,49.209599156919694
164,0,1000.0,100,2,5,50.03791958939177
165,0,1000.0,100,5,1,46.36424584680558
166,0,1000.0,100,5,2,50.575971655905064
167,0,1000.0,100,5,5,52.130195527203014
168,0,1000.0,100,7,1,44.37345535050375
169,0,1000.0,100,7,2,47.164053196450965
170,0,1000.0,100,7,5,52.391045210001955
171,0,1000.0,200,2,1,40.54512834583097
172,0,1000.0,200,2,2,51.226256301372665
173,0,1000.0,200,2,5,54.783144598409834
174,0,1000.0,200,5,1,43.78049741923241
175,0,1000.0,200,5,2,45.19885610262418
176,0,1000.0,200,5,5,51.50524945941858
177,0,1000.0,200,7,1,42.35875740061138
178,0,1000.0,200,7,2,48.26577519192584
179,0,1000.0,200,7,5,52.428558225070795
180,0,1000.0,500,2,1,44.0578836213745
181,0,1000.0,500,2,2,46.270954855279975
182,0,1000.0,500,2,5,54.39752125152884
183,0,1000.0,500,5,1,42.67788371742362
184,0,1000.0,500,5,2,50.7896416274341
185,0,1000.0,500,5,5,53.03252600702644
186,0,1000.0,500,7,1,42.16710072854961
187,0,1000.0,500,7,2,50.38843164122519
188,0,1000.0,500,7,5,53.023712492654916
189,1,0.001,100,2,1,99.40587813228878
190,1,0.001,100,2,2,990.34337867094
191,1,0.001,100,2,5,1477.2430505712186
192,1,0.001,100,5,1,118.38813628615434
193,1,0.001,100,5,2,1728.1532755204382
194,1,0.001,100,5,5,6446.362654510337
195,1,0.001,100,7,1,108.84728474137246
196,1,0.001,100,7,2,1393.358956641862
197,1,0.001,100,7,5,2907.8952907886155
198,1,0.001,200,2,1,112.56368478550213
199,1,0.001,200,2,2,710.2138797938784
200,1,0.001,200,2,5,1720.2057362818362
201,1,0.001,200,5,1,110.0348662492489
202,1,0.001,200,5,2,1001.0886515085715
203,1,0.001,200,5,5,4549.091173839228
204,1,0.001,200,7,1,123.71737306496074
205,1,0.001,200,7,2,884.500499893485
206,1,0.001,200,7,5,3435.501721923446
207,1,0.001,500,2,1,135.05955229758618
208,1,0.001,500,2,2,620.2077647545206
209,1,0.001,500,2,5,857.1122152917758
210,1,0.001,500,5,1,153.32604031784987
211,1,0.001,500,5,2,846.5925074347791
212,1,0.001,500,5,5,3035.015662421563
213,1,0.001,500,7,1,146.2736041428589
214,1,0.001,500,7,2,962.5879220048034
215,1,0.001,500,7,5,1639.4437105968536
216,1,0.01,100,2,1,93.32158947266107
217,1,0.01,100,2,2,320.69165536274704
218,1,0.01,100,2,5,587.2681499631932
219,1,0.01,100,5,1,100.293242728686
220,1,0.01,100,5,2,583.7727791889592
221,1,0.01,100,5,5,532.5048428008339
222,1,0.01,100,7,1,101.20773701041897
223,1,0.01,100,7,2,335.1632573292753
224,1,0.01,100,7,5,777.9265525665392
225,1,0.01,200,2,1,88.82444113468917
226,1,0.01,200,2,2,257.7443902904302
227,1,0.01,200,2,5,382.3060647940439
228,1,0.01,200,5,1,93.02119561119235
229,1,0.01,200,5,2,210.0732784086126
230,1,0.01,200,5,5,244.15064954285265
231,1,0.01,200,7,1,84.5688217912805
232,1,0.01,200,7,2,180.95037894174473
233,1,0.01,200,7,5,271.8542008419094
234,1,0.01,500,2,1,82.21610254629492
235,1,0.01,500,2,2,66.84439678550805
236,1,0.01,500,2,5,69.62060024640131
237,1,0.01,500,5,1,78.54983391123316
238,1,0.01,500,5,2,65.16424155066115
239,1,0.01,500,5,5,62.11706939452811
240,1,0.01,500,7,1,72.84669566159631
241,1,0.01,500,7,2,65.08070518729002
242,1,0.01,500,7,5,63.528511234545135
243,1,0.1,100,2,1,67.05676847148669
244,1,0.1,100,2,2,91.77121423090126
245,1,0.1,100,2,5,115.70031328910814
246,1,0.1,100,5,1,61.8680831128805
247,1,0.1,100,5,2,82.94428201347449
248,1,0.1,100,5,5,60.71245424496168
249,1,0.1,100,7,1,62.694602467186314
250,1,0.1,100,7,2,75.42369325265787
251,1,0.1,100,7,5,88.03384238034046
252,1,0.1,200,2,1,62.67248171479286
253,1,0.1,200,2,2,64.12820074991814
254,1,0.1,200,2,5,63.31311361952452
255,1,0.1,200,5,1,63.72190488658006
256,1,0.1,200,5,2,64.05423293147899
257,1,0.1,200,5,5,61.42125738753728
258,1,0.1,200,7,1,62.73759235742779
259,1,0.1,200,7,2,65.00580652198522
260,1,0.1,200,7,5,61.83581489836791
261,1,0.1,500,2,1,65.3419400008105
262,1,0.1,500,2,2,64.90584824557749
263,1,0.1,500,2,5,63.08260729708091
264,1,0.1,500,5,1,65.93082292437474
265,1,0.1,500,5,2,64.43504777647728
266,1,0.1,500,5,5,61.31734296512034
267,1,0.1,500,7,1,65.33311677289866
268,1,0.1,500,7,2,64.16560590606493
269,1,0.1,500,7,5,61.46402814665627
270,1,1.0,100,2,1,57.58737796568523
271,1,1.0,100,2,2,59.22816921417392
272,1,1.0,100,2,5,60.3216223292399
273,1,1.0,100,5,1,53.551487405706936
274,1,1.0,100,5,2,60.346105023146364
275,1,1.0,100,5,5,60.635493882108385
276,1,1.0,100,7,1,59.629444623511034
277,1,1.0,100,7,2,59.94106382772947
278,1,1.0,100,7,5,60.10954613116725
