,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,2,2,80.8494450849128
1,0,0.01,50,2,4,90.29653263637726
2,0,0.01,50,2,8,96.98621412020431
3,0,0.01,50,4,2,82.77995712290223
4,0,0.01,50,4,4,91.50389391008454
5,0,0.01,50,4,8,104.31185682497308
6,0,0.01,50,8,2,90.23634342837417
7,0,0.01,50,8,4,105.7496807553498
8,0,0.01,50,8,8,111.0358210319809
9,0,0.01,100,2,2,74.27849342967075
10,0,0.01,100,2,4,85.65566476415302
11,0,0.01,100,2,8,95.15864547445342
12,0,0.01,100,4,2,76.1870967613358
13,0,0.01,100,4,4,90.85943327464813
14,0,0.01,100,4,8,100.74713611555337
15,0,0.01,100,8,2,83.92156206213618
16,0,0.01,100,8,4,100.26146533500209
17,0,0.01,100,8,8,105.09759891935924
18,0,0.01,200,2,2,63.06018343433302
19,0,0.01,200,2,4,77.64365419592094
20,0,0.01,200,2,8,85.86843189514043
21,0,0.01,200,4,2,63.48154103072595
22,0,0.01,200,4,4,63.29658984720583
23,0,0.01,200,4,8,74.33816421389088
24,0,0.01,200,8,2,68.27417804749848
25,0,0.01,200,8,4,76.24567576169272
26,0,0.01,200,8,8,78.34673835280229
27,0,0.01,500,2,2,16.606500644249557
28,0,0.01,500,2,4,14.487557432967614
29,0,0.01,500,2,8,24.34222979322462
30,0,0.01,500,4,2,3.8699317519998617
31,0,0.01,500,4,4,5.717941810741466
32,0,0.01,500,4,8,11.463957655813168
33,0,0.01,500,8,2,3.7353274355838457
34,0,0.01,500,8,4,4.708032829124834
35,0,0.01,500,8,8,5.754324240694212
36,0,0.1,50,2,2,40.55806483398083
37,0,0.1,50,2,4,50.67627551332422
38,0,0.1,50,2,8,56.93621915178465
39,0,0.1,50,4,2,44.165619219949164
40,0,0.1,50,4,4,55.773286925322466
41,0,0.1,50,4,8,65.87859324548567
42,0,0.1,50,8,2,43.604566144260055
43,0,0.1,50,8,4,64.5414459966832
44,0,0.1,50,8,8,71.8421958566083
45,0,0.1,100,2,2,33.79540611739845
46,0,0.1,100,2,4,41.41488932755846
47,0,0.1,100,2,8,45.638637145520555
48,0,0.1,100,4,2,32.54704922662876
49,0,0.1,100,4,4,37.002343593298036
50,0,0.1,100,4,8,25.507570227601366
51,0,0.1,100,8,2,29.113690583128022
52,0,0.1,100,8,4,31.379360549470288
53,0,0.1,100,8,8,29.203961584396396
54,0,0.1,200,2,2,16.711318373296635
55,0,0.1,200,2,4,13.530455955835441
56,0,0.1,200,2,8,15.162112268331876
57,0,0.1,200,4,2,11.704926254124883
58,0,0.1,200,4,4,7.104649710989919
59,0,0.1,200,4,8,8.315105058714002
60,0,0.1,200,8,2,7.620721586008446
61,0,0.1,200,8,4,6.382702232351533
62,0,0.1,200,8,8,7.293684790940025
63,0,0.1,500,2,2,4.295785106803865
64,0,0.1,500,2,4,5.477147222150892
65,0,0.1,500,2,8,6.271830769883279
66,0,0.1,500,4,2,4.42932665665422
67,0,0.1,500,4,4,6.734464781974749
68,0,0.1,500,4,8,8.16009267268196
69,0,0.1,500,8,2,4.435339173224858
70,0,0.1,500,8,4,5.822298712062142
71,0,0.1,500,8,8,6.950179326879361
72,0,1.0,50,2,2,21.871029477128054
73,0,1.0,50,2,4,22.722496091170996
74,0,1.0,50,2,8,24.186869610597785
75,0,1.0,50,4,2,19.40700923890327
76,0,1.0,50,4,4,19.173485026884702
77,0,1.0,50,4,8,16.00748769077803
78,0,1.0,50,8,2,16.618161393982643
79,0,1.0,50,8,4,13.752996915720528
80,0,1.0,50,8,8,10.82844681695068
81,0,1.0,100,2,2,12.544190534108044
82,0,1.0,100,2,4,11.654228628350955
83,0,1.0,100,2,8,11.985041514019608
84,0,1.0,100,4,2,10.299099255036234
85,0,1.0,100,4,4,8.513202287605838
