,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,2,2,136.37178381213974
1,0,0.01,50,2,4,154.15727070536803
2,0,0.01,50,2,8,164.9702502856472
3,0,0.01,50,4,2,141.0841054532861
4,0,0.01,50,4,4,153.75415177360927
5,0,0.01,50,4,8,177.04747382330294
6,0,0.01,50,8,2,153.12239008956436
7,0,0.01,50,8,4,180.33212592354752
8,0,0.01,50,8,8,189.95291923655518
9,0,0.01,200,2,2,109.71945926412023
10,0,0.01,200,2,4,132.39158300284802
11,0,0.01,200,2,8,143.1028435094691
12,0,0.01,200,4,2,110.10599008215418
13,0,0.01,200,4,4,110.86350095139827
14,0,0.01,200,4,8,128.45800497281382
15,0,0.01,200,8,2,117.28257622643619
16,0,0.01,200,8,4,131.24359655835877
17,0,0.01,200,8,8,131.62968514736107
18,0,0.01,500,2,2,35.19648646895769
19,0,0.01,500,2,4,27.958028330231258
20,0,0.01,500,2,8,50.19374188173837
21,0,0.01,500,4,2,8.355666662496528
22,0,0.01,500,4,4,11.478028745842243
23,0,0.01,500,4,8,29.002824908819665
24,0,0.01,500,8,2,8.044428955447259
25,0,0.01,500,8,4,9.588489394880323
26,0,0.01,500,8,8,11.28691385802499
27,0,0.1,50,2,2,73.40921696577729
28,0,0.1,50,2,4,88.03800834954215
29,0,0.1,50,2,8,96.53065092889462
30,0,0.1,50,4,2,79.83536853731262
31,0,0.1,50,4,4,96.74528858630512
32,0,0.1,50,4,8,110.6443053216471
33,0,0.1,50,8,2,79.90396292721275
34,0,0.1,50,8,4,109.61739156803398
35,0,0.1,50,8,8,124.39290179519412
36,0,0.1,200,2,2,32.00970770690806
37,0,0.1,200,2,4,26.57694036769209
38,0,0.1,200,2,8,29.81182054429147
39,0,0.1,200,4,2,22.84301213900574
40,0,0.1,200,4,4,13.660383842738717
41,0,0.1,200,4,8,16.35635572551627
42,0,0.1,200,8,2,15.463297304831128
43,0,0.1,200,8,4,12.587658641917853
44,0,0.1,200,8,8,14.053383139558827
45,0,0.1,500,2,2,8.941042324807768
46,0,0.1,500,2,4,11.098909967186724
47,0,0.1,500,2,8,12.329599812023835
48,0,0.1,500,4,2,9.370938247719815
49,0,0.1,500,4,4,13.141966543765479
50,0,0.1,500,4,8,15.516248246781878
51,0,0.1,500,8,2,9.397350879489714
52,0,0.1,500,8,4,11.635996713867982
53,0,0.1,500,8,8,13.397285505322815
54,0,1.0,50,2,2,40.07906362166904
55,0,1.0,50,2,4,42.509184843407965
56,0,1.0,50,2,8,44.299725626834224
57,0,1.0,50,4,2,34.892177166304556
58,0,1.0,50,4,4,35.90744879757389
59,0,1.0,50,4,8,31.649915869240935
60,0,1.0,50,8,2,31.38855605572559
61,0,1.0,50,8,4,28.135738713213705
62,0,1.0,50,8,8,19.979122041155872
63,0,1.0,200,2,2,13.47220519459141
64,0,1.0,200,2,4,14.034987191961225
65,0,1.0,200,2,8,14.92203669435463
66,0,1.0,200,4,2,12.606449208461033
67,0,1.0,200,4,4,14.691847656889252
68,0,1.0,200,4,8,16.974100354811874
69,0,1.0,200,8,2,12.538161505061336
70,0,1.0,200,8,4,14.981785969223987
71,0,1.0,200,8,8,17.33308162261913
72,0,1.0,500,2,2,10.303501341416816
73,0,1.0,500,2,4,12.595656333501628
74,0,1.0,500,2,8,13.494015815523184
75,0,1.0,500,4,2,11.038684101463115
76,0,1.0,500,4,4,14.336805470148056
77,0,1.0,500,4,8,16.71715810452102
78,0,1.0,500,8,2,11.32345101582176
79,0,1.0,500,8,4,14.593146954968843
80,0,1.0,500,8,8,17.02896713215851
81,0,10.0,50,2,2,29.91522770841692
82,0,10.0,50,2,4,26.018121786274282
83,0,10.0,50,2,8,25.06688067804788
84,0,10.0,50,4,2,26.247752720140937
85,0,10.0,50,4,4,21.665825646534795
86,0,10.0,50,4,8,21.64328579296063
87,0,10.0,50,8,2,24.641522978371356
88,0,10.0,50,8,4,20.09739867880381
89,0,10.0,50,8,8,22.164335295565223
90,0,10.0,200,2,2,14.641712518807301
91,0,10.0,200,2,4,15.426438171510098
92,0,10.0,200,2,8,16.184559794400506
93,0,10.0,200,4,2,14.24101388922213
94,0,10.0,200,4,4,16.412867085403903
95,0,10.0,200,4,8,18.85810702406278
96,0,10.0,200,8,2,14.322934141206197
97,0,10.0,200,8,4,17.089708258391468
98,0,10.0,200,8,8,21.01567537096078
99,0,10.0,500,2,2,12.900900556490505
100,0,10.0,500,2,4,14.378226142101404
101,0,10.0,500,2,8,15.22278605683044
102,0,10.0,500,4,2,13.41703352021847
103,0,10.0,500,4,4,16.074615065740105
104,0,10.0,500,4,8,18.590086196116808
