,rep,alp,num_cell,error
0,0,0.01,50,52.36072897576285
1,0,0.01,100,44.674143725249266
2,0,0.01,200,36.52753752680595
3,0,0.01,500,24.986988114671295
4,0,0.1,50,49.18622689253641
5,0,0.1,100,39.73465101331459
6,0,0.1,200,29.776483688734615
7,0,0.1,500,18.623594909509702
8,0,1.0,50,45.715509181169615
9,0,1.0,100,33.4642517885297
10,0,1.0,200,23.307911766512404
11,0,1.0,500,13.80601314619539
12,0,10.0,50,50.23082329280594
13,0,10.0,100,36.067462969701666
14,0,10.0,200,24.200703410494995
15,0,10.0,500,14.432580547362399
16,1,0.01,50,53.31728220841986
17,1,0.01,100,44.64758391811747
18,1,0.01,200,36.2973844547457
19,1,0.01,500,25.12810637595885
20,1,0.1,50,48.7158127071164
21,1,0.1,100,39.03218037188981
22,1,0.1,200,29.739520815879906
23,1,0.1,500,18.686431752167614
24,1,1.0,50,45.293830929832964
25,1,1.0,100,33.97537152871056
26,1,1.0,200,23.21921749337472
27,1,1.0,500,13.749503109363426
28,1,10.0,50,49.82988337096442
29,1,10.0,100,35.93444959880073
30,1,10.0,200,24.03385500436519
31,1,10.0,500,14.392777570837858
32,2,0.01,50,52.77247628918532
33,2,0.01,100,44.866847283244
34,2,0.01,200,36.301422950871455
35,2,0.01,500,25.15207537966879
36,2,0.1,50,49.002814854327106
37,2,0.1,100,39.5311151916859
38,2,0.1,200,29.854905141750983
39,2,0.1,500,18.630443929480624
40,2,1.0,50,45.55127338090906
41,2,1.0,100,33.60298604639372
42,2,1.0,200,23.611591469858656
43,2,1.0,500,13.856805505143422
44,2,10.0,50,50.202753962627675
45,2,10.0,100,36.1158252403872
46,2,10.0,200,24.033577001485405
47,2,10.0,500,14.483334797170292
48,3,0.01,50,53.104953924154955
49,3,0.01,100,44.562115981920485
50,3,0.01,200,36.17555875208275
51,3,0.01,500,24.928281375604467
52,3,0.1,50,48.038091724492574
53,3,0.1,100,39.34119807565387
54,3,0.1,200,29.836253429976644
55,3,0.1,500,18.54629826793906
56,3,1.0,50,44.93176525805905
57,3,1.0,100,34.16834761663664
58,3,1.0,200,23.418322965028576
59,3,1.0,500,13.846098896471847
60,3,10.0,50,50.01335877298799
61,3,10.0,100,35.646111640906454
62,3,10.0,200,24.01898928266734
63,3,10.0,500,14.467875443921953
64,4,0.01,50,52.99750581306639
65,4,0.01,100,44.738829385298466
66,4,0.01,200,36.47624551844093
67,4,0.01,500,25.177464532919046
68,4,0.1,50,48.61691044295252
69,4,0.1,100,39.402195140278145
70,4,0.1,200,29.981269266083782
71,4,0.1,500,18.757354006234078
72,4,1.0,50,45.3142476343343
73,4,1.0,100,34.25568487504731
74,4,1.0,200,23.240295764006238
75,4,1.0,500,13.863507846969974
76,4,10.0,50,50.27109236742047
77,4,10.0,100,36.140136662675005
78,4,10.0,200,24.289130661391173
79,4,10.0,500,14.531817418987183
80,5,0.01,50,53.02780926073296
81,5,0.01,100,44.70564142935824
82,5,0.01,200,36.27127424334022
83,5,0.01,500,25.135064002570793
84,5,0.1,50,48.175430389366355
85,5,0.1,100,39.15358267769405
