,rep,alp,num_cell,error
0,0,0.01,50,52.9820368573465
1,0,0.01,100,43.89455410626685
2,0,0.01,200,34.69628893881143
3,0,0.01,500,21.3828608463899
4,0,0.1,50,47.92655248858572
5,0,0.1,100,37.69596927050907
6,0,0.1,200,27.803875012275576
7,0,0.1,500,14.997376784784887
8,0,1.0,50,45.09994051944168
9,0,1.0,100,31.514338908245094
10,0,1.0,200,21.079874993954355
11,0,1.0,500,10.842412596797331
12,0,10.0,50,50.10048108203033
13,0,10.0,100,33.907437998970856
14,0,10.0,200,21.682831539336195
15,0,10.0,500,13.296009147594992
16,1,0.01,50,52.90871027607262
17,1,0.01,100,43.7176588139071
18,1,0.01,200,34.9381086538727
19,1,0.01,500,21.421609933939727
20,1,0.1,50,48.08755375913903
21,1,0.1,100,38.11239750924347
22,1,0.1,200,27.666904961658986
23,1,0.1,500,15.02561987996168
24,1,1.0,50,44.84431755956169
25,1,1.0,100,31.828352180610278
26,1,1.0,200,21.225354162705397
27,1,1.0,500,10.897259085876447
28,1,10.0,50,50.03019763761862
29,1,10.0,100,33.4366013450721
30,1,10.0,200,21.901141693455312
31,1,10.0,500,13.289373664419935
32,2,0.01,50,52.73915802238326
33,2,0.01,100,44.06677298963439
34,2,0.01,200,34.838412053023035
35,2,0.01,500,21.47374817082827
36,2,0.1,50,48.253297722739994
37,2,0.1,100,38.214985996649546
38,2,0.1,200,27.80355025750105
39,2,0.1,500,15.100035944005363
40,2,1.0,50,44.46211657504906
41,2,1.0,100,31.426034463321074
42,2,1.0,200,21.092466052503802
43,2,1.0,500,10.860536976951664
44,2,10.0,50,50.08739771460039
45,2,10.0,100,33.852129827799224
46,2,10.0,200,21.85989521053847
47,2,10.0,500,13.283057379319159
48,3,0.01,50,53.55795717504464
49,3,0.01,100,44.06344460631432
50,3,0.01,200,34.70777704557104
51,3,0.01,500,21.463682417827318
52,3,0.1,50,48.21498046697379
53,3,0.1,100,37.51606503013688
54,3,0.1,200,27.770379839488033
55,3,0.1,500,15.102959834150163
56,3,1.0,50,44.38969835591806
57,3,1.0,100,31.66712492226418
58,3,1.0,200,21.1893153130312
59,3,1.0,500,10.869599503172829
60,3,10.0,50,49.919832314979914
61,3,10.0,100,33.962528617097085
62,3,10.0,200,21.82852362539782
63,3,10.0,500,13.28179226834146
64,4,0.01,50,53.379614458574856
65,4,0.01,100,43.77057804624519
66,4,0.01,200,34.738944566030895
67,4,0.01,500,21.677776432520695
68,4,0.1,50,47.99438308594343
69,4,0.1,100,37.90701572434169
70,4,0.1,200,27.771934638158406
71,4,0.1,500,15.084501414444007
72,4,1.0,50,44.595536964075876
73,4,1.0,100,31.796217313145988
74,4,1.0,200,21.203665268943535
75,4,1.0,500,10.809424166803295
76,4,10.0,50,50.12598834882737
77,4,10.0,100,33.81896369343466
78,4,10.0,200,21.816766272488206
79,4,10.0,500,13.269011767227
80,5,0.01,50,53.27405645858718
81,5,0.01,100,43.82171351137747
82,5,0.01,200,34.601096650753924
83,5,0.01,500,21.385548715854213
84,5,0.1,50,48.19289089976204
85,5,0.1,100,37.61743848485196
86,5,0.1,200,27.917865382027575
87,5,0.1,500,15.099027417926134
88,5,1.0,50,45.055976384888226
89,5,1.0,100,31.686732897981877
90,5,1.0,200,21.107385367959083
91,5,1.0,500,10.82783171021224
92,5,10.0,50,50.31561936843468
93,5,10.0,100,33.73473295416778
94,5,10.0,200,21.875978284486393
95,5,10.0,500,13.276583652899252
96,6,0.01,50,52.50219583914685
97,6,0.01,100,43.910890642141204
98,6,0.01,200,34.67564681700594
99,6,0.01,500,21.477158766788676
100,6,0.1,50,48.059680513740034
101,6,0.1,100,37.76450089599469
102,6,0.1,200,27.734740520808767
103,6,0.1,500,15.10977958129639
104,6,1.0,50,44.81941137925683
105,6,1.0,100,31.831283210394023
106,6,1.0,200,21.208200610431906
107,6,1.0,500,10.825771235596058
108,6,10.0,50,50.0182523981749
109,6,10.0,100,33.83715023315171
110,6,10.0,200,21.875736943501792
111,6,10.0,500,13.284071391496472
112,7,0.01,50,53.017239088181945
113,7,0.01,100,43.86842540376855
114,7,0.01,200,34.7376072143789
115,7,0.01,500,21.541791707702203
116,7,0.1,50,48.38093806448225
117,7,0.1,100,38.031544391931405
118,7,0.1,200,27.757117449805815
119,7,0.1,500,15.272415821607142
120,7,1.0,50,44.96549050273023
121,7,1.0,100,31.497081015838763
122,7,1.0,200,21.158766355987662
123,7,1.0,500,10.832972202639683
124,7,10.0,50,49.56289384067295
125,7,10.0,100,33.72702402837806
126,7,10.0,200,21.791410727909543
127,7,10.0,500,13.306321263872768
