,rep,alp,num_cell,error
0,0,0.01,50,52.665382602989204
1,0,0.01,100,44.33153350063937
2,0,0.01,200,36.365664250876414
3,0,0.01,500,25.14087885034403
4,0,0.1,50,48.57306955755088
5,0,0.1,100,39.86560708512265
6,0,0.1,200,29.849789312951405
7,0,0.1,500,18.54302419200554
8,0,1.0,50,44.99022305560689
9,0,1.0,100,34.06079046876596
10,0,1.0,200,23.01245791521011
11,0,1.0,500,13.716895462544398
12,0,10.0,50,50.092729678266416
13,0,10.0,100,35.78711571735263
14,0,10.0,200,23.925607620543456
15,0,10.0,500,14.421154727493787
16,1,0.01,50,53.06730056812201
17,1,0.01,100,44.55129170541355
18,1,0.01,200,36.45082840468704
19,1,0.01,500,25.041421297704545
20,1,0.1,50,48.726171176666874
21,1,0.1,100,39.38410771712149
22,1,0.1,200,30.061232066231813
23,1,0.1,500,18.66486337443639
24,1,1.0,50,45.57701873744495
25,1,1.0,100,33.66058157388386
26,1,1.0,200,23.497475265261006
27,1,1.0,500,13.911310882339158
28,1,10.0,50,50.42208290116342
29,1,10.0,100,36.035776480942836
30,1,10.0,200,24.147824415694895
31,1,10.0,500,14.428677195656402
32,2,0.01,50,53.036168191278435
33,2,0.01,100,44.470901319266616
34,2,0.01,200,36.28844654558321
35,2,0.01,500,25.175076660524418
36,2,0.1,50,48.54532326390586
37,2,0.1,100,39.42841903191094
38,2,0.1,200,29.658684939081063
39,2,0.1,500,18.625811463158666
40,2,1.0,50,45.190837520529364
41,2,1.0,100,33.616800379136514
42,2,1.0,200,23.270901708636213
43,2,1.0,500,13.775161055438572
44,2,10.0,50,50.501882310289425
45,2,10.0,100,35.81236589283491
46,2,10.0,200,23.809571093557725
47,2,10.0,500,14.46894325473327
48,3,0.01,50,53.683333140841725
49,3,0.01,100,45.1513096413504
50,3,0.01,200,36.543147150987565
51,3,0.01,500,25.228666981527084
52,3,0.1,50,48.70160017419949
53,3,0.1,100,39.723746452935174
54,3,0.1,200,29.712561571749905
55,3,0.1,500,18.518034212490555
56,3,1.0,50,44.98320656120544
57,3,1.0,100,34.125007210196266
58,3,1.0,200,23.62857456513669
59,3,1.0,500,13.874265496685213
60,3,10.0,50,49.934364879293675
61,3,10.0,100,35.85672196025604
62,3,10.0,200,23.647326541308416
63,3,10.0,500,14.45511850166635
64,4,0.01,50,52.853028694786396
65,4,0.01,100,44.62398662538489
66,4,0.01,200,36.29179966256569
67,4,0.01,500,25.2112983746348
68,4,0.1,50,48.77620685126472
69,4,0.1,100,39.27838585607846
70,4,0.1,200,29.515359080678266
71,4,0.1,500,18.667122540129817
72,4,1.0,50,44.90771409782448
73,4,1.0,100,33.248164534997855
74,4,1.0,200,23.462100939844976
75,4,1.0,500,13.843679182504392
76,4,10.0,50,50.14772504094504
77,4,10.0,100,36.348729718246375
78,4,10.0,200,24.55736924958472
79,4,10.0,500,14.423249713351744
80,5,0.01,50,52.737036174173035
81,5,0.01,100,44.49670097895184
82,5,0.01,200,36.69934987627918
83,5,0.01,500,25.098052571651934
84,5,0.1,50,49.12740232694286
85,5,0.1,100,39.625033598202684
86,5,0.1,200,30.00299089145716
87,5,0.1,500,18.534176986117682
88,5,1.0,50,45.84103458322201
89,5,1.0,100,33.77897118320149
90,5,1.0,200,23.29889836469838
91,5,1.0,500,13.983164746643984
92,5,10.0,50,50.10642044592254
93,5,10.0,100,36.427982664292436
94,5,10.0,200,24.255562920927726
95,5,10.0,500,14.435064201146144
96,6,0.01,50,52.880382182749976
97,6,0.01,100,44.78775111390735
98,6,0.01,200,36.58536699995954
99,6,0.01,500,25.11993349528165
100,6,0.1,50,48.39674803315122
101,6,0.1,100,39.80472185696812
102,6,0.1,200,30.008290353320685
103,6,0.1,500,18.472448607980017
104,6,1.0,50,45.345723945878085
105,6,1.0,100,34.39569179260103
106,6,1.0,200,23.536072255903434
107,6,1.0,500,13.747049049685641
108,6,10.0,50,50.0625565013019
109,6,10.0,100,36.355165612487944
110,6,10.0,200,24.04533872102833
111,6,10.0,500,14.534108395572398
112,7,0.01,50,52.90413052706708
113,7,0.01,100,45.010784213292766
114,7,0.01,200,36.01474036332207
115,7,0.01,500,25.437348011509428
116,7,0.1,50,48.76419431964444
117,7,0.1,100,39.35307951610805
118,7,0.1,200,29.717395835855008
119,7,0.1,500,18.629916470269237
120,7,1.0,50,45.67899724531131
121,7,1.0,100,34.24890909058657
122,7,1.0,200,23.44253681230009
123,7,1.0,500,13.849892934667682
124,7,10.0,50,50.4978531862704
125,7,10.0,100,35.99869587973298
126,7,10.0,200,23.93911745667522
127,7,10.0,500,14.576425467611797
128,8,0.01,50,52.8054410832985
129,8,0.01,100,44.578738385194626
130,8,0.01,200,36.28060221196436
131,8,0.01,500,25.049949490616182
132,8,0.1,50,48.51074894037761
133,8,0.1,100,39.48582638789098
134,8,0.1,200,29.78229315132672
135,8,0.1,500,18.77448129153275
136,8,1.0,50,45.100256267420065
137,8,1.0,100,34.02342864254334
138,8,1.0,200,23.183052397323163
139,8,1.0,500,13.89414921305858
140,8,10.0,50,50.25209610396164
141,8,10.0,100,35.891958767425855
142,8,10.0,200,24.184938359208623
143,8,10.0,500,14.483071146100126
144,9,0.01,50,53.43452493517283
145,9,0.01,100,44.07484291295334
146,9,0.01,200,36.28597126945919
147,9,0.01,500,25.18988995063491
148,9,0.1,50,48.43274717577891
149,9,0.1,100,39.47098948693687
150,9,0.1,200,29.913027897156688
151,9,0.1,500,18.660575531386957
152,9,1.0,50,45.455607546102094
153,9,1.0,100,33.51878302930136
154,9,1.0,200,23.403898194833086
155,9,1.0,500,13.7605156655496
156,9,10.0,50,50.11955783438885
157,9,10.0,100,36.01218330008358
158,9,10.0,200,24.276050457683073
159,9,10.0,500,14.477392396232217
160,10,0.01,50,52.91675414230846
161,10,0.01,100,44.49557756029599
162,10,0.01,200,36.30972305683913
163,10,0.01,500,25.28681935381013
164,10,0.1,50,48.92553634856371
165,10,0.1,100,39.7633743338707
166,10,0.1,200,30.01851534095493
167,10,0.1,500,18.48492054202745
168,10,1.0,50,45.03903891173222
169,10,1.0,100,33.55265143615324
170,10,1.0,200,23.443537389716116
171,10,1.0,500,13.875572536443725
172,10,10.0,50,50.48951529258308
173,10,10.0,100,36.135898886342574
174,10,10.0,200,23.96308539545611
175,10,10.0,500,14.571974786837659
176,11,0.01,50,53.027829547153196
177,11,0.01,100,45.02050958128955
178,11,0.01,200,36.34506944801664
179,11,0.01,500,25.225082944765763
180,11,0.1,50,48.666859865893784
181,11,0.1,100,38.89978645285705
182,11,0.1,200,30.06908130578203
183,11,0.1,500,18.48451956453005
184,11,1.0,50,45.16124054150101
185,11,1.0,100,33.67244682800051
186,11,1.0,200,23.292183130460533
187,11,1.0,500,13.913315664614352
188,11,10.0,50,50.11521214838842
189,11,10.0,100,36.103571783243446
190,11,10.0,200,24.110878166366508
191,11,10.0,500,14.443780234951857
192,12,0.01,50,53.42733996438683
193,12,0.01,100,45.039883380962515
194,12,0.01,200,36.10905231247463
195,12,0.01,500,25.146645554701895
196,12,0.1,50,48.79815678007784
197,12,0.1,100,39.24474158567571
198,12,0.1,200,29.825265770341165
199,12,0.1,500,18.612726148431715
200,12,1.0,50,45.26565841447086
201,12,1.0,100,34.417450096197825
202,12,1.0,200,23.37878599462597
203,12,1.0,500,13.880720591679927
204,12,10.0,50,50.44001205976616
205,12,10.0,100,36.016943917773276
206,12,10.0,200,24.294933180166595
207,12,10.0,500,14.476034682852903
208,13,0.01,50,52.770578031628915
209,13,0.01,100,44.90061546872398
210,13,0.01,200,36.3089272716157
211,13,0.01,500,25.209188508800057
212,13,0.1,50,48.50050216100226
213,13,0.1,100,39.54993667115206
214,13,0.1,200,29.761961704018027
215,13,0.1,500,18.536882081797174
216,13,1.0,50,45.52202546794087
217,13,1.0,100,33.70718901161076
218,13,1.0,200,23.25456422694809
219,13,1.0,500,13.755941598460423
220,13,10.0,50,49.956966535225206
221,13,10.0,100,36.15400065000398
222,13,10.0,200,24.08781136280339
223,13,10.0,500,14.497552467826184
224,14,0.01,50,52.46716913292073
225,14,0.01,100,44.88237210979821
226,14,0.01,200,36.49632615712888
227,14,0.01,500,25.15411625692201
228,14,0.1,50,48.78836775957768
229,14,0.1,100,39.43485324883099
230,14,0.1,200,29.736453201707395
231,14,0.1,500,18.654747472734236
232,14,1.0,50,45.272209955249345
233,14,1.0,100,33.9834008368819
