,rep,alp,num_cell,error
0,0.0,0.01,50,52.76619189914923
1,0.0,0.01,200,36.39413777190162
2,0.0,0.01,500,25.217966968050952
3,0.0,0.1,50,48.651406107672386
4,0.0,0.1,200,29.75351046839467
5,0.0,0.1,500,18.5315249134791
6,0.0,1.0,50,45.94844051533214
7,0.0,1.0,200,23.51514896151783
8,0.0,1.0,500,13.74591655785022
9,0.0,10.0,50,50.23439242776477
10,0.0,10.0,200,24.018393064770557
11,0.0,10.0,500,14.463892473530072
12,1.0,0.01,50,52.350589535371306
13,1.0,0.01,200,36.3667304742698
14,1.0,0.01,500,25.07351054581924
15,1.0,0.1,50,48.99436618569764
16,1.0,0.1,200,29.82881623351933
17,1.0,0.1,500,18.58096207114308
18,1.0,1.0,50,45.29192753459036
19,1.0,1.0,200,23.422968639775412
20,1.0,1.0,500,13.777041253191436
21,1.0,10.0,50,50.6793931153052
22,1.0,10.0,200,24.12207132065122
23,1.0,10.0,500,14.40366192986166
24,2.0,0.01,50,53.41593142681396
25,2.0,0.01,200,36.26101753915427
26,2.0,0.01,500,25.025194366645366
27,2.0,0.1,50,48.87855680748231
28,2.0,0.1,200,29.81639697438199
29,2.0,0.1,500,18.714041753029484
30,2.0,1.0,50,45.554091777906855
31,2.0,1.0,200,23.288067079479564
32,2.0,1.0,500,13.912959231245972
33,2.0,10.0,50,50.26468865088989
34,2.0,10.0,200,24.140540933308316
35,2.0,10.0,500,14.475586958664286
36,3.0,0.01,50,53.211702391991345
37,3.0,0.01,200,36.37464747307227
38,3.0,0.01,500,25.24512933266917
39,3.0,0.1,50,49.063469710759286
40,3.0,0.1,200,30.162453696211028
41,3.0,0.1,500,18.57097003496454
42,3.0,1.0,50,45.706148738115125
43,3.0,1.0,200,23.316322156511948
44,3.0,1.0,500,13.820361355640753
45,3.0,10.0,50,50.25148994931857
46,3.0,10.0,200,24.189583070149556
47,3.0,10.0,500,14.548737403647204
48,4.0,0.01,50,52.82737123481359
49,4.0,0.01,200,36.3011561942597
50,4.0,0.01,500,25.081916498700867
51,4.0,0.1,50,49.031204952999744
52,4.0,0.1,200,29.915838635673158
53,4.0,0.1,500,18.598696779925767
54,4.0,1.0,50,45.098891041183386
55,4.0,1.0,200,23.110061521823788
56,4.0,1.0,500,13.710056617892587
57,4.0,10.0,50,50.71455735454305
58,4.0,10.0,200,23.92096475754355
59,4.0,10.0,500,14.54802013442183
60,5.0,0.01,50,53.06103970121189
61,5.0,0.01,200,36.45435483896065
62,5.0,0.01,500,25.19875657783232
63,5.0,0.1,50,48.83578240738101
64,5.0,0.1,200,29.823066550271353
65,5.0,0.1,500,18.68709836802546
66,5.0,1.0,50,45.30468497397173
67,5.0,1.0,200,23.27566006520432
68,5.0,1.0,500,13.833084303364675
