,rep,alp,num_cell,error
0,0,0.01,50,53.05030594574833
1,0,0.01,100,44.51543356043207
2,0,0.01,200,36.13956266129082
3,0,0.01,500,25.006597640165072
4,0,0.1,50,48.597054696022205
5,0,0.1,100,39.67771759821513
6,0,0.1,200,30.369517329967966
7,0,0.1,500,18.505795060904074
8,0,1.0,50,45.40699224528292
9,0,1.0,100,33.724277442787205
10,0,1.0,200,23.47471386427365
11,0,1.0,500,13.854514868622179
12,0,10.0,50,49.823631162928315
13,0,10.0,100,35.88742424489539
14,0,10.0,200,24.003750905340496
15,0,10.0,500,14.413176420935658
16,1,0.01,50,52.96342008438383
17,1,0.01,100,44.65629407855155
18,1,0.01,200,35.92079451015758
19,1,0.01,500,25.126957755416402
20,1,0.1,50,48.797385910247115
21,1,0.1,100,39.18934468820657
22,1,0.1,200,29.894251793333165
23,1,0.1,500,18.87432860134016
24,1,1.0,50,45.26856167122222
25,1,1.0,100,33.910429497408764
26,1,1.0,200,23.29056120167282
27,1,1.0,500,13.879811320492815
28,1,10.0,50,50.39134178420678
29,1,10.0,100,36.19559452795909
30,1,10.0,200,24.209202928622187
31,1,10.0,500,14.549253930958445
32,2,0.01,50,53.10754391374673
33,2,0.01,100,44.65779357762405
34,2,0.01,200,36.1485980615457
35,2,0.01,500,25.17374773594989
36,2,0.1,50,48.244965839150524
37,2,0.1,100,39.269777842671125
38,2,0.1,200,29.927487476955857
39,2,0.1,500,18.454401474359862
40,2,1.0,50,45.224760740879816
41,2,1.0,100,33.69390570438831
42,2,1.0,200,23.365420903162295
43,2,1.0,500,13.756394303989188
44,2,10.0,50,49.62147009760207
45,2,10.0,100,35.90562514117481
46,2,10.0,200,24.08331286507587
47,2,10.0,500,14.355691829686773
48,3,0.01,50,53.10706681894661
49,3,0.01,100,44.198653954080314
50,3,0.01,200,36.517306470699616
51,3,0.01,500,25.081683724572255
52,3,0.1,50,48.63960360622758
53,3,0.1,100,38.9779446177704
54,3,0.1,200,29.503271018540588
55,3,0.1,500,18.729782597898748
56,3,1.0,50,45.09670171243764
57,3,1.0,100,34.63646912928476
58,3,1.0,200,23.228453301622228
59,3,1.0,500,13.851761473868768
60,3,10.0,50,50.48539484918993
61,3,10.0,100,36.114369923845246
62,3,10.0,200,23.790324461088527
63,3,10.0,500,14.392499141033785
64,4,0.01,50,53.0982825021233
65,4,0.01,100,44.439879921065064
66,4,0.01,200,36.655115238456574
67,4,0.01,500,24.871204335832758
68,4,0.1,50,49.095392366032755
69,4,0.1,100,39.12385172271009
70,4,0.1,200,29.818409651902986
71,4,0.1,500,18.682496897032184
72,4,1.0,50,45.925906922964266
73,4,1.0,100,34.639461100309056
74,4,1.0,200,23.35377877350278
75,4,1.0,500,13.807044008907772
76,4,10.0,50,50.93662741446099
77,4,10.0,100,36.324263802699505
78,4,10.0,200,23.7730751774682
79,4,10.0,500,14.48041803820868
80,5,0.01,50,52.8572624521854
81,5,0.01,100,44.97581077637929
82,5,0.01,200,36.31704657188001
83,5,0.01,500,25.138207072173362
84,5,0.1,50,49.01392396328877
85,5,0.1,100,39.46462761620515
86,5,0.1,200,29.853035485896037
87,5,0.1,500,18.482108563272213
88,5,1.0,50,45.30983188534819
89,5,1.0,100,33.68982355884015
90,5,1.0,200,23.838648419053996
91,5,1.0,500,13.95009451119733
92,5,10.0,50,50.39270605713674
93,5,10.0,100,36.40314922962337
94,5,10.0,200,24.097372492731793
95,5,10.0,500,14.465853769928989
96,6,0.01,50,52.871873515156295
97,6,0.01,100,44.370327555780186
98,6,0.01,200,36.47488176563283
99,6,0.01,500,25.072426521086335
100,6,0.1,50,48.865766038353854
101,6,0.1,100,40.09285325365411
102,6,0.1,200,29.837550421082078
103,6,0.1,500,18.602001353233558
104,6,1.0,50,45.318978397676105
105,6,1.0,100,33.983852422796105
106,6,1.0,200,23.228357065458788
107,6,1.0,500,13.900916973577637
108,6,10.0,50,50.41236139416055
109,6,10.0,100,36.339869783259516
110,6,10.0,200,24.071998603995713
111,6,10.0,500,14.46798486519703
112,7,0.01,50,52.90744462441737
113,7,0.01,100,44.648611751560125
114,7,0.01,200,36.16655007503251
115,7,0.01,500,25.457228749521594
116,7,0.1,50,48.79335977215777
117,7,0.1,100,39.243840505729814
118,7,0.1,200,29.960777710012295
119,7,0.1,500,18.770700954544857
120,7,1.0,50,45.782409486636894
121,7,1.0,100,33.81483990087744
122,7,1.0,200,23.34809608294094
123,7,1.0,500,13.828625961970832
124,7,10.0,50,50.73188653922317
125,7,10.0,100,36.10714512752641
126,7,10.0,200,24.231384604421848
127,7,10.0,500,14.422902708126273
