,classical_samp,alpha,repetition,error
0,50,0.001,0,62.27905181622247
1,100,0.001,0,49.64912671600937
2,200,0.001,0,41.63628915809366
3,500,0.001,0,32.598441026957744
4,50,0.01,0,63.53027434357293
5,100,0.01,0,56.77151092306069
6,200,0.01,0,46.28800916228077
7,500,0.01,0,28.47569234237421
8,50,0.1,0,53.77022581574557
9,100,0.1,0,49.412251825152666
10,200,0.1,0,37.242741420393294
11,500,0.1,0,25.74564253673643
12,50,1.0,0,45.41158898373838
13,100,1.0,0,35.9379774252802
14,200,1.0,0,32.32219146535565
15,500,1.0,0,23.302282008574835
16,50,10.0,0,54.71720927907318
17,100,10.0,0,43.75745520887379
18,200,10.0,0,33.147374121589415
19,500,10.0,0,22.87832066943596
20,50,100.0,0,38.10298099752007
21,100,100.0,0,40.178261377176575
22,200,100.0,0,32.86518767531273
23,500,100.0,0,29.8274031364197
24,50,1000.0,0,69.07301010973733
25,100,1000.0,0,60.579835499712516
26,200,1000.0,0,66.4946837195498
27,500,1000.0,0,63.27051554877274
28,50,0.001,1,62.35401688269027
29,100,0.001,1,52.56471241744512
30,200,0.001,1,45.436053127384085
31,500,0.001,1,28.468318613712245
32,50,0.01,1,58.650670707382
33,100,0.01,1,54.742944864598186
34,200,0.01,1,44.202055346223894
35,500,0.01,1,27.61472105509382
36,50,0.1,1,54.22106649177231
37,100,0.1,1,47.13101086183774
38,200,0.1,1,35.84453293047531
39,500,0.1,1,23.721238881245355
40,50,1.0,1,45.92787900624137
41,100,1.0,1,35.99830797606564
42,200,1.0,1,29.865636873628045
43,500,1.0,1,24.051285718523534
44,50,10.0,1,50.67489229417988
45,100,10.0,1,38.32285369257925
46,200,10.0,1,35.22177085718645
47,500,10.0,1,23.311657214968868
48,50,100.0,1,48.63790280096537
49,100,100.0,1,40.800299141516824
50,200,100.0,1,33.187503735571184
51,500,100.0,1,30.753724075164143
52,50,1000.0,1,61.46892707214709
53,100,1000.0,1,59.063626445137906
54,200,1000.0,1,64.8444815322413
55,500,1000.0,1,63.70117820344079
56,50,0.001,2,60.70091860272921
57,100,0.001,2,53.64620010922702
58,200,0.001,2,45.763281556657155
59,500,0.001,2,30.761493619436916
60,50,0.01,2,59.93129934973147
61,100,0.01,2,51.75202125143478
62,200,0.01,2,43.86443176481626
63,500,0.01,2,31.966080483002553
64,50,0.1,2,60.6481562256677
65,100,0.1,2,44.54653464323898
66,200,0.1,2,38.737005661094294
67,500,0.1,2,26.311051506776355
68,50,1.0,2,39.96007504039281
69,100,1.0,2,36.64255271914484
70,200,1.0,2,30.31215103731254
71,500,1.0,2,22.870993963369568
72,50,10.0,2,45.841328745057304
73,100,10.0,2,38.23164230522505
74,200,10.0,2,31.269956897839435
75,500,10.0,2,23.085705410757154
76,50,100.0,2,47.26192516815984
77,100,100.0,2,37.52313018914161
78,200,100.0,2,32.74789919561487
79,500,100.0,2,30.20919739736133
80,50,1000.0,2,71.78177690957709
81,100,1000.0,2,58.95193602741954
82,200,1000.0,2,61.4483590729551
83,500,1000.0,2,60.06094842853317
84,50,0.001,3,58.859155294914146
85,100,0.001,3,48.733643257181306
86,200,0.001,3,39.943414426105434
87,500,0.001,3,29.808068594308345
88,50,0.01,3,62.92561232322024
89,100,0.01,3,57.37443684747691
90,200,0.01,3,42.402728974467706
91,500,0.01,3,30.60920198758728
92,50,0.1,3,58.86959492710677
93,100,0.1,3,44.679930385767314
94,200,0.1,3,35.53692034783315
95,500,0.1,3,27.2318399781887
96,50,1.0,3,34.616871110532045
97,100,1.0,3,42.65340175399196
98,200,1.0,3,30.041826718970544
99,500,1.0,3,23.575373838424344
100,50,10.0,3,45.47717943929518
101,100,10.0,3,37.09083208253251
102,200,10.0,3,32.7119635690962
103,500,10.0,3,24.5148153885891
104,50,100.0,3,51.49257775145979
105,100,100.0,3,38.70217564260156
106,200,100.0,3,32.16563787678676
107,500,100.0,3,30.43055300506814
108,50,1000.0,3,62.32139313079515
109,100,1000.0,3,57.58936284738191
110,200,1000.0,3,66.11883013993877
111,500,1000.0,3,61.186011270025105
112,50,0.001,4,53.94566537565901
