,classical_samp,alpha,repetition,error
0,100,0.001,0,56.41039443576219
1,200,0.001,0,45.527304146299464
2,500,0.001,0,31.418040474808688
3,100,0.01,0,48.08456287076133
4,200,0.01,0,42.13727977819029
5,500,0.01,0,30.08348671846767
6,100,0.1,0,43.05592930863947
7,200,0.1,0,35.52730020518856
8,500,0.1,0,22.34861792408193
9,100,1.0,0,36.2231898732098
10,200,1.0,0,33.34019246862467
11,500,1.0,0,23.534565426623356
12,100,10.0,0,37.40095365025767
13,200,10.0,0,33.336861813544964
14,500,10.0,0,24.623415501418936
15,100,100.0,0,42.171778065500945
16,200,100.0,0,32.3205575901643
17,500,100.0,0,29.62215718908741
18,100,1000.0,0,61.20206786319531
19,200,1000.0,0,66.3819158671075
20,500,1000.0,0,62.847514787254816
21,100,0.001,1,49.879493861652385
22,200,0.001,1,45.58450994990607
23,500,0.001,1,31.372754281426285
24,100,0.01,1,53.63289045439631
25,200,0.01,1,44.007318400251144
26,500,0.01,1,28.94009617727878
27,100,0.1,1,50.63495014557393
28,200,0.1,1,37.70119449404743
29,500,0.1,1,25.07270031879181
30,100,1.0,1,35.6956583482957
31,200,1.0,1,31.060902358164274
32,500,1.0,1,22.234925355309464
33,100,10.0,1,43.13499220743965
34,200,10.0,1,32.45963473208733
35,500,10.0,1,23.037674448711957
36,100,100.0,1,38.14734459696775
37,200,100.0,1,33.85435102175724
38,500,100.0,1,31.4135858516105
39,100,1000.0,1,62.8609235681105
40,200,1000.0,1,62.48512982469893
41,500,1000.0,1,62.47750940708405
42,100,0.001,2,50.20545893176468
43,200,0.001,2,44.68990658604347
44,500,0.001,2,28.729417557419378
45,100,0.01,2,55.121022285715405
46,200,0.01,2,41.358176290717
47,500,0.01,2,33.007890408900444
48,100,0.1,2,48.23201087806884
49,200,0.1,2,34.653271330869835
50,500,0.1,2,26.080720749142408
51,100,1.0,2,38.1720530140158
52,200,1.0,2,31.886105863705044
53,500,1.0,2,23.336245918245936
54,100,10.0,2,39.62133026520119
55,200,10.0,2,34.34095504120751
56,500,10.0,2,24.307331410889834
57,100,100.0,2,35.784084093374936
58,200,100.0,2,31.08063116282161
59,500,100.0,2,30.057871279842985
60,100,1000.0,2,65.90887917287567
61,200,1000.0,2,61.326095190910884
62,500,1000.0,2,62.41131922517262
63,100,0.001,3,49.82010942579222
64,200,0.001,3,48.71315222517283
65,500,0.001,3,29.758341380483085
66,100,0.01,3,54.32360546003246
67,200,0.01,3,39.491156230057946
68,500,0.01,3,29.083356134239466
69,100,0.1,3,45.364948285206644
70,200,0.1,3,36.64123863861921
71,500,0.1,3,23.95137138844039
72,100,1.0,3,38.91955835397391
73,200,1.0,3,30.95818012473182
74,500,1.0,3,22.15519957122206
75,100,10.0,3,38.80298218494593
76,200,10.0,3,35.49525015946789
77,500,10.0,3,22.81277423650182
78,100,100.0,3,36.30325094608391
79,200,100.0,3,32.27445051008635
80,500,100.0,3,29.309797942334615
81,100,1000.0,3,59.88072500717684
82,200,1000.0,3,64.47129567288637
83,500,1000.0,3,62.390171560421024
84,100,0.001,4,51.5955009773195
85,200,0.001,4,42.28312465310588
86,500,0.001,4,29.164818236380647
87,100,0.01,4,52.486357593098205
88,200,0.01,4,42.027826447968934
89,500,0.01,4,31.21738764843015
90,100,0.1,4,43.551737407883365
91,200,0.1,4,37.41615986367807
92,500,0.1,4,25.62858843453049
93,100,1.0,4,35.3511039732484
94,200,1.0,4,32.94209839421638
95,500,1.0,4,23.381166149110538
96,100,10.0,4,41.62444269228156
97,200,10.0,4,32.018341678274
98,500,10.0,4,24.68980040645834
99,100,100.0,4,36.33678673548403
100,200,100.0,4,33.41085034667881
101,500,100.0,4,30.929998943846066
102,100,1000.0,4,62.234382814513644
103,200,1000.0,4,62.01758722543091
104,500,1000.0,4,61.77808650557178
105,100,0.001,5,55.7988302030685
106,200,0.001,5,41.37500645565108
107,500,0.001,5,27.18306050068774
108,100,0.01,5,48.35745952132606
109,200,0.01,5,43.767711119693686
110,500,0.01,5,29.64879930462198
111,100,0.1,5,50.30475839591965
112,200,0.1,5,38.756586955935866
113,500,0.1,5,24.842249854972053
114,100,1.0,5,35.94022483962162
115,200,1.0,5,31.12893797943049
116,500,1.0,5,22.85361828299763
117,100,10.0,5,37.3287868872258
118,200,10.0,5,31.85322947899526
119,500,10.0,5,22.775236884657314
120,100,100.0,5,38.87461311565798
121,200,100.0,5,33.684617450469915
122,500,100.0,5,30.508651811852193
123,100,1000.0,5,64.17759421944616
124,200,1000.0,5,60.51938470297916
125,500,1000.0,5,62.562229965511634
126,100,0.001,6,49.78163703542622
127,200,0.001,6,45.80183644779575
128,500,0.001,6,29.947309303074807
129,100,0.01,6,51.52049509230175
130,200,0.01,6,44.17976191062438
131,500,0.01,6,32.10945976279315
132,100,0.1,6,48.460988346522456
133,200,0.1,6,35.73665714665189
134,500,0.1,6,29.66745466302258
135,100,1.0,6,39.56155177834013
136,200,1.0,6,32.53527000343262
137,500,1.0,6,22.984247167026595
138,100,10.0,6,38.96525907284331
139,200,10.0,6,32.67106756242288
140,500,10.0,6,25.48959823462172
141,100,100.0,6,38.17505131189948
142,200,100.0,6,31.886387866550102
143,500,100.0,6,29.99710959477898
144,100,1000.0,6,66.045342561562
145,200,1000.0,6,59.369773149747736
146,500,1000.0,6,62.627498020993265
147,100,0.001,7,51.46850144504641
148,200,0.001,7,42.44980408634141
149,500,0.001,7,30.570089928653026
150,100,0.01,7,50.45123252054902
151,200,0.01,7,45.07733042112075
152,500,0.01,7,28.075124854524052
153,100,0.1,7,45.254544526024134
154,200,0.1,7,37.281390155525386
155,500,0.1,7,25.238695832940145
156,100,1.0,7,38.764521655827245
157,200,1.0,7,30.00000933019029
158,500,1.0,7,23.457462270037574
159,100,10.0,7,38.86987028012405
160,200,10.0,7,32.68756751426126
161,500,10.0,7,22.191323595872184
162,100,100.0,7,41.34849099547112
163,200,100.0,7,33.24220358204457
164,500,100.0,7,30.26091763087542
165,100,1000.0,7,68.80841572129147
166,200,1000.0,7,62.22594261285413
167,500,1000.0,7,62.42868024097003
168,100,0.001,8,46.238725645778054
169,200,0.001,8,41.613461820452834
170,500,0.001,8,31.837877176872137
171,100,0.01,8,56.369099965012616
172,200,0.01,8,43.45959837464815
173,500,0.01,8,34.33773912317431
174,100,0.1,8,51.0787518701318
175,200,0.1,8,37.44273971039124
176,500,0.1,8,27.66053521981672
177,100,1.0,8,38.7375665451418
178,200,1.0,8,31.241524966072628
179,500,1.0,8,23.280178130487847
180,100,10.0,8,41.05656453277199
181,200,10.0,8,33.37542615854881
182,500,10.0,8,22.761113083393067
183,100,100.0,8,39.46931098557637
184,200,100.0,8,32.76531489711873
185,500,100.0,8,30.42074131701693
186,100,1000.0,8,58.992342440513085
187,200,1000.0,8,63.635672601187395
188,500,1000.0,8,61.06729421369951
189,100,0.001,9,56.12647651089991
190,200,0.001,9,40.57871842823659
191,500,0.001,9,33.448023772944694
192,100,0.01,9,54.9401100569042
193,200,0.01,9,39.80212158358672
194,500,0.01,9,31.077240019271812
195,100,0.1,9,44.13357203771762
196,200,0.1,9,35.59287826663735
197,500,0.1,9,24.514950788945963
198,100,1.0,9,38.93673558544144
199,200,1.0,9,30.872420204455253
200,500,1.0,9,23.119158623981033
201,100,10.0,9,43.45201721377716
202,200,10.0,9,33.27233599600043
203,500,10.0,9,23.235296943733996
204,100,100.0,9,40.42078399572963
205,200,100.0,9,32.77791382732529
206,500,100.0,9,29.46971136890605
207,100,1000.0,9,58.34423729697748
208,200,1000.0,9,61.43485413985115
209,500,1000.0,9,63.480259586252075
