,rep,alp,num_cell,cell_size,sparse_freq,error
0,0.0,0.1,50,2.0,2.0,153.86505631739638
1,0.0,0.1,50,2.0,4.0,178.83840937188705
2,0.0,0.1,50,4.0,2.0,174.45518367509493
3,0.0,0.1,50,4.0,4.0,208.91903003582777
4,0.0,0.1,200,2.0,2.0,56.57376698710376
5,0.0,0.1,200,2.0,4.0,78.11304486305586
6,0.0,0.1,200,4.0,2.0,64.38602332804845
7,0.0,0.1,200,4.0,4.0,35.55679338123104
8,0.0,1.0,50,2.0,2.0,76.69574086392716
9,0.0,1.0,50,2.0,4.0,83.26647317831802
10,0.0,1.0,50,4.0,2.0,74.18706086643412
11,0.0,1.0,50,4.0,4.0,81.77358307478578
12,0.0,1.0,200,2.0,2.0,36.3935281181818
13,0.0,1.0,200,2.0,4.0,35.5389301408407
14,0.0,1.0,200,4.0,2.0,34.21052469635624
15,0.0,1.0,200,4.0,4.0,37.02893763291384
16,0.0,10.0,50,2.0,2.0,63.690004448631235
17,0.0,10.0,50,2.0,4.0,55.39908743732959
18,0.0,10.0,50,4.0,2.0,53.646207280250074
19,0.0,10.0,50,4.0,4.0,46.84249020802469
20,0.0,10.0,200,2.0,2.0,37.739295759783914
21,0.0,10.0,200,2.0,4.0,37.92083859832216
22,0.0,10.0,200,4.0,2.0,36.345028698724555
23,0.0,10.0,200,4.0,4.0,39.56801457968011
24,1.0,0.1,50,2.0,2.0,163.89208848100833
25,1.0,0.1,50,2.0,4.0,177.15529910222838
26,1.0,0.1,50,4.0,2.0,158.6794322595787
27,1.0,0.1,50,4.0,4.0,192.39418159370388
28,1.0,0.1,200,2.0,2.0,59.57406221577381
29,1.0,0.1,200,2.0,4.0,63.45256320888682
30,1.0,0.1,200,4.0,2.0,56.970040859697086
31,1.0,0.1,200,4.0,4.0,36.12629082661115
32,1.0,1.0,50,2.0,2.0,79.59865995521952
33,1.0,1.0,50,2.0,4.0,103.87932635729038
34,1.0,1.0,50,4.0,2.0,75.30452989178156
35,1.0,1.0,50,4.0,4.0,99.6983728831898
36,1.0,1.0,200,2.0,2.0,36.52679381860207
37,1.0,1.0,200,2.0,4.0,36.19095958323785
38,1.0,1.0,200,4.0,2.0,34.47064773913533
39,1.0,1.0,200,4.0,4.0,37.21228889015622
40,1.0,10.0,50,2.0,2.0,53.09569976310071
41,1.0,10.0,50,2.0,4.0,61.68031380522566
42,1.0,10.0,50,4.0,2.0,55.18990447133928
43,1.0,10.0,50,4.0,4.0,48.76707678114178
44,1.0,10.0,200,2.0,2.0,36.39894687121227
45,1.0,10.0,200,2.0,4.0,38.288568064690594
46,1.0,10.0,200,4.0,2.0,36.07510683744864
47,1.0,10.0,200,4.0,4.0,39.41867859558742
48,2.0,0.1,50,2.0,2.0,155.37513386067354
49,2.0,0.1,50,2.0,4.0,174.50183380125264
50,2.0,0.1,50,4.0,2.0,169.7450277458649
51,2.0,0.1,50,4.0,4.0,161.86266126290866
52,2.0,0.1,200,2.0,2.0,61.605501197358805
53,2.0,0.1,200,2.0,4.0,59.42941658434446
54,2.0,0.1,200,4.0,2.0,55.5739847210705
55,2.0,0.1,200,4.0,4.0,35.858719689606566
56,2.0,1.0,50,2.0,2.0,75.21305294517258
57,2.0,1.0,50,2.0,4.0,74.06851932876447
58,2.0,1.0,50,4.0,2.0,73.93245415768219
59,2.0,1.0,50,4.0,4.0,54.36931324030332
60,2.0,1.0,200,2.0,2.0,38.63137757488507
61,2.0,1.0,200,2.0,4.0,36.93024957041766
62,2.0,1.0,200,4.0,2.0,35.53197308215674
63,2.0,1.0,200,4.0,4.0,37.0587971262485
64,2.0,10.0,50,2.0,2.0,57.0901723397099
65,2.0,10.0,50,2.0,4.0,54.17244071789025
66,2.0,10.0,50,4.0,2.0,55.210375433930494
67,2.0,10.0,50,4.0,4.0,47.46505147064639
68,2.0,10.0,200,2.0,2.0,36.19637796489834
69,2.0,10.0,200,2.0,4.0,38.03679505134177
70,2.0,10.0,200,4.0,2.0,36.01803560563636
71,2.0,10.0,200,4.0,4.0,39.701007543889865
72,3.0,0.1,50,2.0,2.0,153.30917200944705
73,3.0,0.1,50,2.0,4.0,182.2342357151001
74,3.0,0.1,50,4.0,2.0,157.4926488584291
75,3.0,0.1,50,4.0,4.0,179.76299520325213
76,3.0,0.1,200,2.0,2.0,71.0644386767703
77,3.0,0.1,200,2.0,4.0,46.47088694369124
78,3.0,0.1,200,4.0,2.0,58.81827947160644
79,3.0,0.1,200,4.0,4.0,35.42814323857988
80,3.0,1.0,50,2.0,2.0,72.8883011493919
81,3.0,1.0,50,2.0,4.0,87.54057471951063
82,3.0,1.0,50,4.0,2.0,67.63580577048093
83,3.0,1.0,50,4.0,4.0,68.40939669048072
84,3.0,1.0,200,2.0,2.0,36.983885379686356
85,3.0,1.0,200,2.0,4.0,36.0031943027282
86,3.0,1.0,200,4.0,2.0,34.57566581667903
87,3.0,1.0,200,4.0,4.0,37.16627802487387
88,3.0,10.0,50,2.0,2.0,56.533873818171074
89,3.0,10.0,50,2.0,4.0,52.80277770471297
90,3.0,10.0,50,4.0,2.0,56.85793211544406
91,3.0,10.0,50,4.0,4.0,49.37959542609118
92,3.0,10.0,200,2.0,2.0,36.69067395886257
93,3.0,10.0,200,2.0,4.0,37.92618561832386
94,3.0,10.0,200,4.0,2.0,36.43258614665356
95,3.0,10.0,200,4.0,4.0,39.44034877015049
96,4.0,0.1,50,2.0,2.0,135.0606242478622
97,4.0,0.1,50,2.0,4.0,152.64692012032938
98,4.0,0.1,50,4.0,2.0,161.1822536413016
99,4.0,0.1,50,4.0,4.0,205.0714157447487
100,4.0,0.1,200,2.0,2.0,87.03590574520891
101,4.0,0.1,200,2.0,4.0,87.77102786986907
102,4.0,0.1,200,4.0,2.0,64.36643362636909
103,4.0,0.1,200,4.0,4.0,35.313941219360444
104,4.0,1.0,50,2.0,2.0,83.1782957801426
105,4.0,1.0,50,2.0,4.0,96.33070930682258
106,4.0,1.0,50,4.0,2.0,63.2471255385483
107,4.0,1.0,50,4.0,4.0,74.92871427044656
108,4.0,1.0,200,2.0,2.0,37.04335297998819
109,4.0,1.0,200,2.0,4.0,37.88428287415362
110,4.0,1.0,200,4.0,2.0,33.69386689987759
111,4.0,1.0,200,4.0,4.0,37.00144141336479
112,4.0,10.0,50,2.0,2.0,59.610634770800566
113,4.0,10.0,50,2.0,4.0,54.4215949784642
114,4.0,10.0,50,4.0,2.0,50.60812407333651
115,4.0,10.0,50,4.0,4.0,46.39105517230666
116,4.0,10.0,200,2.0,2.0,36.28665196888673
117,4.0,10.0,200,2.0,4.0,37.7235705862764
118,4.0,10.0,200,4.0,2.0,36.54678888463086
119,4.0,10.0,200,4.0,4.0,39.72148872671651
120,5.0,0.1,50,2.0,2.0,158.8516638600651
121,5.0,0.1,50,2.0,4.0,183.21474346302546
122,5.0,0.1,50,4.0,2.0,168.9725224210532
123,5.0,0.1,50,4.0,4.0,205.6956219487641
124,5.0,0.1,200,2.0,2.0,77.0373790946822
125,5.0,0.1,200,2.0,4.0,72.34777121653437
126,5.0,0.1,200,4.0,2.0,46.61690203730355
127,5.0,0.1,200,4.0,4.0,35.79431984733518
128,5.0,1.0,50,2.0,2.0,79.91759644923151
129,5.0,1.0,50,2.0,4.0,85.54258198893305
130,5.0,1.0,50,4.0,2.0,75.33117253538242
