,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.001,50,1,1,140.45080198339124
1,0,0.001,50,1,2,195.51978018718322
2,0,0.001,50,1,4,221.49334577413885
3,0,0.001,50,1,6,221.50251566166116
4,0,0.001,50,1,8,219.3361600628385
5,0,0.001,50,2,1,158.25659894965239
6,0,0.001,50,2,2,238.24960767135704
7,0,0.001,50,2,4,237.2512521919888
8,0,0.001,50,2,6,241.86080707712856
9,0,0.001,50,2,8,240.8347935365191
10,0,0.001,50,4,1,164.44375262617237
11,0,0.001,50,4,2,238.93463076284647
12,0,0.001,50,4,4,239.172775764021
13,0,0.001,50,4,6,239.82427594664668
14,0,0.001,50,4,8,241.08329588661996
15,0,0.001,50,6,1,178.9034065882729
16,0,0.001,50,6,2,237.69886177449163
17,0,0.001,50,6,4,242.40649056216847
18,0,0.001,50,6,6,242.7575814126787
19,0,0.001,50,6,8,246.6423141131933
20,0,0.001,50,8,1,174.8128078196154
21,0,0.001,50,8,2,233.72628103070574
22,0,0.001,50,8,4,237.226532617618
23,0,0.001,50,8,6,240.1051112418152
24,0,0.001,50,8,8,243.09966406119665
25,0,0.001,100,1,1,130.04109606838398
26,0,0.001,100,1,2,204.02313594296115
27,0,0.001,100,1,4,218.8164426078524
28,0,0.001,100,1,6,219.9232795519585
29,0,0.001,100,1,8,221.9484699954774
30,0,0.001,100,2,1,153.48968839776973
31,0,0.001,100,2,2,233.74772250821565
32,0,0.001,100,2,4,239.54419680347556
33,0,0.001,100,2,6,239.56179439412566
34,0,0.001,100,2,8,242.06737354160995
35,0,0.001,100,4,1,163.55391228039218
36,0,0.001,100,4,2,238.71354986445343
37,0,0.001,100,4,4,240.3453949816574
38,0,0.001,100,4,6,242.43273523002438
39,0,0.001,100,4,8,239.72676344353192
40,0,0.001,100,6,1,164.1699525897883
41,0,0.001,100,6,2,237.25449299105898
42,0,0.001,100,6,4,241.1870182613023
43,0,0.001,100,6,6,241.29226400087234
44,0,0.001,100,6,8,241.7826365422739
45,0,0.001,100,8,1,166.40996230861768
46,0,0.001,100,8,2,235.42131499835685
47,0,0.001,100,8,4,243.2096078146037
48,0,0.001,100,8,6,241.42410125475598
49,0,0.001,100,8,8,239.64937118864114
50,0,0.001,200,1,1,125.83332891832222
51,0,0.001,200,1,2,196.58672386506674
52,0,0.001,200,1,4,219.44921710703113
53,0,0.001,200,1,6,226.64338115687875
54,0,0.001,200,1,8,227.4666520125044
55,0,0.001,200,2,1,154.73008757187466
56,0,0.001,200,2,2,234.0551929211
57,0,0.001,200,2,4,238.17884970006142
58,0,0.001,200,2,6,236.9230911310907
59,0,0.001,200,2,8,239.55896281848163
60,0,0.001,200,4,1,157.67221625187418
61,0,0.001,200,4,2,237.29912440724354
62,0,0.001,200,4,4,242.13682770973386
63,0,0.001,200,4,6,242.88694214936024
64,0,0.001,200,4,8,241.92250136493436
65,0,0.001,200,6,1,162.47724968950783
66,0,0.001,200,6,2,236.48011896704267
67,0,0.001,200,6,4,242.13993887832711
68,0,0.001,200,6,6,240.95466839682152
69,0,0.001,200,6,8,241.60204193397595
70,0,0.001,200,8,1,157.98297728271584
71,0,0.001,200,8,2,235.59552910302293
72,0,0.001,200,8,4,242.6889161045473
73,0,0.001,200,8,6,242.05224872145087
74,0,0.001,200,8,8,240.24669959578355
75,0,0.001,500,1,1,109.55588122556959
76,0,0.001,500,1,2,199.39295652332132
77,0,0.001,500,1,4,220.38586363215063
78,0,0.001,500,1,6,220.95939043684527
79,0,0.001,500,1,8,224.15289177007932
80,0,0.001,500,2,1,154.7609267368364
81,0,0.001,500,2,2,230.5898981115849
82,0,0.001,500,2,4,237.10939575553633
83,0,0.001,500,2,6,237.01291104072791
84,0,0.001,500,2,8,238.25381424019218
85,0,0.001,500,4,1,166.79695574093802
86,0,0.001,500,4,2,235.95042793867623
87,0,0.001,500,4,4,240.2455688110258
88,0,0.001,500,4,6,242.16923146152706
89,0,0.001,500,4,8,238.89974652328303
90,0,0.001,500,6,1,170.70721523513097
91,0,0.001,500,6,2,234.1141530678286
92,0,0.001,500,6,4,239.00643877891193
93,0,0.001,500,6,6,243.34013004206457
94,0,0.001,500,6,8,241.0160713866747
95,0,0.001,500,8,1,165.40228736830295
96,0,0.001,500,8,2,235.71937882905505
97,0,0.001,500,8,4,240.55787014539536
98,0,0.001,500,8,6,240.6611218197812
99,0,0.001,500,8,8,242.75984703680575
100,0,0.01,50,1,1,133.47709749449737
101,0,0.01,50,1,2,182.12928558215634
102,0,0.01,50,1,4,207.52193458363223
103,0,0.01,50,1,6,218.64547661555784
104,0,0.01,50,1,8,214.89571114069884
105,0,0.01,50,2,1,157.4369891593318
106,0,0.01,50,2,2,228.67712804058235
107,0,0.01,50,2,4,230.88343379289907
108,0,0.01,50,2,6,233.96919787774536
109,0,0.01,50,2,8,232.05840261068383
110,0,0.01,50,4,1,174.3682023764654
111,0,0.01,50,4,2,225.55897972222994
112,0,0.01,50,4,4,237.76930696230187
113,0,0.01,50,4,6,240.35433334049867
114,0,0.01,50,4,8,239.93380568629988
115,0,0.01,50,6,1,167.88863372287398
116,0,0.01,50,6,2,234.61539212554283
117,0,0.01,50,6,4,235.9205939859144
118,0,0.01,50,6,6,234.45937340566655
119,0,0.01,50,6,8,237.72107839043454
120,0,0.01,50,8,1,172.49339439848444
121,0,0.01,50,8,2,230.79022702204892
122,0,0.01,50,8,4,233.53828379946617
123,0,0.01,50,8,6,237.0793256837607
124,0,0.01,50,8,8,238.70367031577504
125,0,0.01,100,1,1,133.12803778484997
126,0,0.01,100,1,2,178.49393391497776
127,0,0.01,100,1,4,201.40068685748483
128,0,0.01,100,1,6,219.5187083902721
129,0,0.01,100,1,8,217.8932409333627
130,0,0.01,100,2,1,148.41267166623985
131,0,0.01,100,2,2,223.3939420246962
132,0,0.01,100,2,4,235.16388611632811
133,0,0.01,100,2,6,236.12244469530822
134,0,0.01,100,2,8,237.83827838820787
135,0,0.01,100,4,1,158.39828492337492
136,0,0.01,100,4,2,230.7479288458873
137,0,0.01,100,4,4,226.00789563395543
138,0,0.01,100,4,6,239.51176264318303
139,0,0.01,100,4,8,238.18623665806834
140,0,0.01,100,6,1,154.5951199459773
141,0,0.01,100,6,2,223.8944394128626
142,0,0.01,100,6,4,237.8636210567354
143,0,0.01,100,6,6,240.07840386007234
144,0,0.01,100,6,8,238.79417450553055
145,0,0.01,100,8,1,154.997318973229
146,0,0.01,100,8,2,224.50739656214247
147,0,0.01,100,8,4,235.24061204552999
148,0,0.01,100,8,6,237.66088819529764
149,0,0.01,100,8,8,237.61089340909155
150,0,0.01,200,1,1,118.52294198921058
151,0,0.01,200,1,2,183.48391391799626
152,0,0.01,200,1,4,203.69691537510658
153,0,0.01,200,1,6,211.05828315630941
154,0,0.01,200,1,8,206.99330907060738
155,0,0.01,200,2,1,127.68980643209804
156,0,0.01,200,2,2,207.07160328951164
157,0,0.01,200,2,4,225.17289900084432
158,0,0.01,200,2,6,227.95535137877818
159,0,0.01,200,2,8,234.08838786521073
160,0,0.01,200,4,1,141.0074899507903
161,0,0.01,200,4,2,216.3080365281574
162,0,0.01,200,4,4,224.26867567471137
163,0,0.01,200,4,6,227.51319375661126
164,0,0.01,200,4,8,239.28795530815074
165,0,0.01,200,6,1,133.6824014013978
166,0,0.01,200,6,2,219.47969787152928
167,0,0.01,200,6,4,196.99485892896914
168,0,0.01,200,6,6,230.83534535825893
169,0,0.01,200,6,8,237.94968188907313
170,0,0.01,200,8,1,141.98492877766992
171,0,0.01,200,8,2,222.44132309942373
172,0,0.01,200,8,4,233.53569082452663
173,0,0.01,200,8,6,239.5301140891382
174,0,0.01,200,8,8,237.45433245152634
175,0,0.01,500,1,1,102.35264747159424
176,0,0.01,500,1,2,151.12433806490452
177,0,0.01,500,1,4,178.88226109185152
178,0,0.01,500,1,6,174.17143215171018
179,0,0.01,500,1,8,171.22497221816423
180,0,0.01,500,2,1,97.76279114946205
181,0,0.01,500,2,2,101.13594810946303
182,0,0.01,500,2,4,96.08769721226311
183,0,0.01,500,2,6,114.5792884134534
184,0,0.01,500,2,8,61.61264300269692
185,0,0.01,500,4,1,100.98781554667319
186,0,0.01,500,4,2,21.95816729855001
187,0,0.01,500,4,4,32.81903241853557
188,0,0.01,500,4,6,36.54330764084353
189,0,0.01,500,4,8,135.9332883766478
190,0,0.01,500,6,1,88.28550906638705
191,0,0.01,500,6,2,22.059591010613854
192,0,0.01,500,6,4,33.38833795071433
193,0,0.01,500,6,6,35.59294561816678
194,0,0.01,500,6,8,36.769945456702665
195,0,0.01,500,8,1,90.06696891140996
196,0,0.01,500,8,2,21.92063969058486
197,0,0.01,500,8,4,30.2039916420183
198,0,0.01,500,8,6,32.55637844997164
199,0,0.01,500,8,8,33.87401495082756
200,0,0.1,50,1,1,121.82388472253251
201,0,0.1,50,1,2,125.31295047023494
202,0,0.1,50,1,4,144.51097997499474
203,0,0.1,50,1,6,153.04616950449952
204,0,0.1,50,1,8,174.88583260071252
205,0,0.1,50,2,1,134.49775297586038
206,0,0.1,50,2,2,137.7900415688868
207,0,0.1,50,2,4,171.29504435978942
208,0,0.1,50,2,6,180.98462488411673
209,0,0.1,50,2,8,199.57124041304147
210,0,0.1,50,4,1,122.88521292472726
211,0,0.1,50,4,2,138.55375210445303
212,0,0.1,50,4,4,175.88717343165698
213,0,0.1,50,4,6,195.7881309533911
214,0,0.1,50,4,8,206.2488868656831
215,0,0.1,50,6,1,125.54569331964801
216,0,0.1,50,6,2,172.04881090357276
217,0,0.1,50,6,4,187.54405704616005
218,0,0.1,50,6,6,217.76544721328037
219,0,0.1,50,6,8,221.8458498848043
220,0,0.1,50,8,1,143.36512438138115
221,0,0.1,50,8,2,164.61690206186134
222,0,0.1,50,8,4,218.32407868426543
223,0,0.1,50,8,6,227.82130668086725
224,0,0.1,50,8,8,231.22884047338616
225,0,0.1,100,1,1,102.61529558934618
226,0,0.1,100,1,2,108.6852847036392
227,0,0.1,100,1,4,114.69231302343967
