,rep,alp,num_cell,cell_size,sparse_freq,error
0,0.0,0.3,200,4.0,4.0,36.5260485437752
1,0.0,0.3,600,4.0,4.0,35.47902353660697
2,1.0,0.3,200,4.0,4.0,36.24072295084633
3,1.0,0.3,600,4.0,4.0,35.46296973213358
4,2.0,0.3,200,4.0,4.0,36.235050557283465
5,2.0,0.3,600,4.0,4.0,35.49046820391826
6,3.0,0.3,200,4.0,4.0,36.1223230457597
7,3.0,0.3,600,4.0,4.0,35.45215868682125
8,4.0,0.3,200,4.0,4.0,36.16471576919507
9,4.0,0.3,600,4.0,4.0,35.58179934242287
10,5.0,0.3,200,4.0,4.0,36.156142862128796
11,5.0,0.3,600,4.0,4.0,35.46262508300504
12,6.0,0.3,200,4.0,4.0,36.32921995064334
13,6.0,0.3,600,4.0,4.0,35.46132478568102
14,7.0,0.3,200,4.0,4.0,36.28757056869167
15,7.0,0.3,600,4.0,4.0,35.51231398324311
16,8.0,0.3,200,4.0,4.0,36.206076838011604
17,8.0,0.3,600,4.0,4.0,35.56083988509457
18,9.0,0.3,200,4.0,4.0,36.51759089047968
19,9.0,0.3,600,4.0,4.0,35.51361241364593
20,10.0,0.3,200,4.0,4.0,36.07844847612553
21,10.0,0.3,600,4.0,4.0,35.52554636377102
22,11.0,0.3,200,4.0,4.0,36.21710768254264
23,11.0,0.3,600,4.0,4.0,35.43659439368041
24,12.0,0.3,200,4.0,4.0,36.423725479112896
25,12.0,0.3,600,4.0,4.0,35.49428749030531
26,13.0,0.3,200,4.0,4.0,36.187121711705366
27,13.0,0.3,600,4.0,4.0,35.454493524955495
28,14.0,0.3,200,4.0,4.0,36.28060393960142
29,14.0,0.3,600,4.0,4.0,35.55440275908957
30,15.0,0.3,200,4.0,4.0,36.188610854183885
31,15.0,0.3,600,4.0,4.0,35.56471409823069
32,16.0,0.3,200,4.0,4.0,36.15131778756866
33,16.0,0.3,600,4.0,4.0,35.551277520411745
34,17.0,0.3,200,4.0,4.0,36.416144161011275
35,17.0,0.3,600,4.0,4.0,35.4295545178504
36,18.0,0.3,200,4.0,4.0,36.204342894802615
37,18.0,0.3,600,4.0,4.0,35.501377125088794
38,19.0,0.3,200,4.0,4.0,36.11590908296355
39,19.0,0.3,600,4.0,4.0,35.569540652392774
