,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.1,50,2,2,164.05802835175933
1,0,0.1,50,2,4,191.31902095133609
2,0,0.1,50,4,2,190.74987694768132
3,0,0.1,50,4,4,187.20168565242972
4,0,0.1,200,2,2,54.92184345858111
5,0,0.1,200,2,4,71.93623719810635
6,0,0.1,200,4,2,60.88905210845926
7,0,0.1,200,4,4,35.48760346938069
8,0,1.0,50,2,2,80.1195495632759
9,0,1.0,50,2,4,73.85263855964946
10,0,1.0,50,4,2,72.24727599632314
11,0,1.0,50,4,4,70.03446770460005
12,0,1.0,200,2,2,35.97244315676469
13,0,1.0,200,2,4,35.51498901090136
14,0,1.0,200,4,2,34.25541319752738
15,0,1.0,200,4,4,36.85542324030782
16,1,0.1,50,2,2,151.32147530634535
17,1,0.1,50,2,4,181.72787959535054
18,1,0.1,50,4,2,181.84327195570242
19,1,0.1,50,4,4,202.9612497224258
20,1,0.1,200,2,2,75.00897724050546
21,1,0.1,200,2,4,59.98701711389075
22,1,0.1,200,4,2,57.72351725635267
23,1,0.1,200,4,4,35.54676106514098
24,1,1.0,50,2,2,64.54540176409849
25,1,1.0,50,2,4,105.969004902377
26,1,1.0,50,4,2,82.61177613122452
27,1,1.0,50,4,4,54.23471622903954
28,1,1.0,200,2,2,36.167557592713145
29,1,1.0,200,2,4,35.759598556036515
30,1,1.0,200,4,2,34.55835644240044
31,1,1.0,200,4,4,37.17440876014932
32,2,0.1,50,2,2,156.03781236895398
33,2,0.1,50,2,4,169.12886934064346
34,2,0.1,50,4,2,161.22481198624484
35,2,0.1,50,4,4,200.19656451708767
36,2,0.1,200,2,2,69.4331573049457
37,2,0.1,200,2,4,74.00520251982289
38,2,0.1,200,4,2,78.91130745618428
39,2,0.1,200,4,4,35.198121793325534
40,2,1.0,50,2,2,87.43335874951975
41,2,1.0,50,2,4,85.68506935931785
42,2,1.0,50,4,2,74.8067138995187
43,2,1.0,50,4,4,75.49050712948396
44,2,1.0,200,2,2,36.323637850119944
45,2,1.0,200,2,4,35.893716565561846
46,2,1.0,200,4,2,34.838643933297845
47,2,1.0,200,4,4,36.9899986482833
48,3,0.1,50,2,2,154.66426003874759
49,3,0.1,50,2,4,164.72133033297985
50,3,0.1,50,4,2,158.3267788116997
51,3,0.1,50,4,4,192.37642209423112
52,3,0.1,200,2,2,78.10433193278504
53,3,0.1,200,2,4,72.98084223502312
54,3,0.1,200,4,2,65.14817299391015
55,3,0.1,200,4,4,35.74553585181419
56,3,1.0,50,2,2,77.2216362887443
57,3,1.0,50,2,4,94.96890719247713
58,3,1.0,50,4,2,69.64298640606644
59,3,1.0,50,4,4,56.04945237119727
60,3,1.0,200,2,2,36.78745257104203
61,3,1.0,200,2,4,35.72588541784358
62,3,1.0,200,4,2,35.29815859219855
63,3,1.0,200,4,4,37.20579405295781
64,4,0.1,50,2,2,148.84890176133501
65,4,0.1,50,2,4,196.85012629465652
66,4,0.1,50,4,2,165.9871380559349
67,4,0.1,50,4,4,192.3036805564458
68,4,0.1,200,2,2,72.81341451500083
69,4,0.1,200,2,4,49.255321201537875
70,4,0.1,200,4,2,65.59352102151553
71,4,0.1,200,4,4,35.288084233759264
72,4,1.0,50,2,2,71.78790520229249
73,4,1.0,50,2,4,87.09877534538971
74,4,1.0,50,4,2,81.97735459666083
75,4,1.0,50,4,4,120.21751120365118
76,4,1.0,200,2,2,36.474801042789956
77,4,1.0,200,2,4,36.217521849084164
78,4,1.0,200,4,2,33.899410024364734
79,4,1.0,200,4,4,37.16403578132433
80,5,0.1,50,2,2,136.1056574871155
81,5,0.1,50,2,4,179.16988524240836
82,5,0.1,50,4,2,171.28396175811545
83,5,0.1,50,4,4,181.15446141039112
84,5,0.1,200,2,2,60.43035477123875
85,5,0.1,200,2,4,48.59895975109847
86,5,0.1,200,4,2,46.939772285581256
87,5,0.1,200,4,4,35.37554082821758
88,5,1.0,50,2,2,76.70621443751043
89,5,1.0,50,2,4,74.58701108250834
90,5,1.0,50,4,2,72.05892650386133
91,5,1.0,50,4,4,51.700537284979504
92,5,1.0,200,2,2,35.79312472777109
93,5,1.0,200,2,4,35.18223983773631
94,5,1.0,200,4,2,33.808020087284355
95,5,1.0,200,4,4,37.36042172019892
96,6,0.1,50,2,2,161.326811162931
97,6,0.1,50,2,4,174.22165320201864
98,6,0.1,50,4,2,162.83119070579406
99,6,0.1,50,4,4,196.25918520613953
100,6,0.1,200,2,2,86.28883666693702
101,6,0.1,200,2,4,57.16561709434945
102,6,0.1,200,4,2,56.66311753591474
103,6,0.1,200,4,4,35.58040971595965
104,6,1.0,50,2,2,77.67190254168135
105,6,1.0,50,2,4,97.50631318592202
106,6,1.0,50,4,2,78.97569246293443
107,6,1.0,50,4,4,77.15060307966202
108,6,1.0,200,2,2,37.46292982551032
109,6,1.0,200,2,4,35.922818498676975
110,6,1.0,200,4,2,34.69369138938983
111,6,1.0,200,4,4,37.01984452815664
112,7,0.1,50,2,2,166.9233423527765
113,7,0.1,50,2,4,163.78147704249778
114,7,0.1,50,4,2,162.98996901650114
115,7,0.1,50,4,4,198.90721734293885
116,7,0.1,200,2,2,70.26726754961295
117,7,0.1,200,2,4,51.27231221624397
118,7,0.1,200,4,2,63.00100528298471
119,7,0.1,200,4,4,35.398713096508025
120,7,1.0,50,2,2,81.65111416535872
121,7,1.0,50,2,4,84.47044848150544
122,7,1.0,50,4,2,63.404109575887205
123,7,1.0,50,4,4,66.30938428642243
124,7,1.0,200,2,2,37.10880398683489
125,7,1.0,200,2,4,36.729113490224314
126,7,1.0,200,4,2,34.4143219540289
127,7,1.0,200,4,4,36.95835494174491
128,8,0.1,50,2,2,155.18009250903
129,8,0.1,50,2,4,163.82152212426521
130,8,0.1,50,4,2,170.2998597246111
131,8,0.1,50,4,4,186.40225022485347
132,8,0.1,200,2,2,86.5021322794351
133,8,0.1,200,2,4,66.7521535233134
134,8,0.1,200,4,2,54.16682051260204
135,8,0.1,200,4,4,35.54910531769948
136,8,1.0,50,2,2,76.48677445589313
137,8,1.0,50,2,4,88.63526386264104
138,8,1.0,50,4,2,68.07229816729988
139,8,1.0,50,4,4,72.90678980726007
140,8,1.0,200,2,2,37.98008249947157
141,8,1.0,200,2,4,38.421579584626365
142,8,1.0,200,4,2,33.75588837521537
143,8,1.0,200,4,4,37.032073185880975
144,9,0.1,50,2,2,162.3523192182839
145,9,0.1,50,2,4,183.01714552346058
146,9,0.1,50,4,2,181.54262431849014
147,9,0.1,50,4,4,181.59600766536693
148,9,0.1,200,2,2,86.38383979528682
149,9,0.1,200,2,4,56.97913848262557
150,9,0.1,200,4,2,66.85043837635705
151,9,0.1,200,4,4,35.40284043846074
152,9,1.0,50,2,2,79.58361081976058
153,9,1.0,50,2,4,96.18642200320052
154,9,1.0,50,4,2,84.87323226763286
155,9,1.0,50,4,4,73.3652354850564
156,9,1.0,200,2,2,39.42028524616342
157,9,1.0,200,2,4,35.91508503864822
158,9,1.0,200,4,2,33.99933005875916
159,9,1.0,200,4,4,37.27555052130909
160,10,0.1,50,2,2,148.5142192967843
161,10,0.1,50,2,4,191.65057613618941
162,10,0.1,50,4,2,152.3998578302049
163,10,0.1,50,4,4,199.7554254582338
164,10,0.1,200,2,2,75.61515133299086
165,10,0.1,200,2,4,90.91022433636873
166,10,0.1,200,4,2,40.772880420418886
167,10,0.1,200,4,4,35.65350224342936
168,10,1.0,50,2,2,80.18785582756419
169,10,1.0,50,2,4,78.40885720943068
170,10,1.0,50,4,2,78.4741571049561
171,10,1.0,50,4,4,66.84416371099441
172,10,1.0,200,2,2,35.721686534777284
173,10,1.0,200,2,4,35.80121040784329
174,10,1.0,200,4,2,33.71728867444053
175,10,1.0,200,4,4,37.12350258858187
176,11,0.1,50,2,2,141.4056300937916
177,11,0.1,50,2,4,170.54939330163432
178,11,0.1,50,4,2,163.9569963943798
179,11,0.1,50,4,4,200.3977988346623
180,11,0.1,200,2,2,77.01190384176547
181,11,0.1,200,2,4,97.05857338054514
182,11,0.1,200,4,2,74.33802675765763
183,11,0.1,200,4,4,35.76284540009521
184,11,1.0,50,2,2,74.09652113591058
185,11,1.0,50,2,4,85.51211739994643
186,11,1.0,50,4,2,58.90524406008159
187,11,1.0,50,4,4,67.70722101650442
188,11,1.0,200,2,2,37.13640023241647
189,11,1.0,200,2,4,37.555647600150195
190,11,1.0,200,4,2,33.846007478316
191,11,1.0,200,4,4,37.022215552887225
192,12,0.1,50,2,2,176.52880155311138
193,12,0.1,50,2,4,175.1920248057986
194,12,0.1,50,4,2,168.54411226078997
195,12,0.1,50,4,4,197.64326168349098
196,12,0.1,200,2,2,83.51950537316286
197,12,0.1,200,2,4,68.91514911670566
198,12,0.1,200,4,2,42.95436855289317
199,12,0.1,200,4,4,35.563558127199066
200,12,1.0,50,2,2,61.15290490056689
201,12,1.0,50,2,4,89.36078558293902
202,12,1.0,50,4,2,67.43133956518702
203,12,1.0,50,4,4,71.62524384290468
204,12,1.0,200,2,2,36.334663584210844
205,12,1.0,200,2,4,37.25597640349502
206,12,1.0,200,4,2,33.89826282012431
207,12,1.0,200,4,4,37.10148245016633
208,13,0.1,50,2,2,153.19159028266967
209,13,0.1,50,2,4,194.8831188174081
210,13,0.1,50,4,2,153.40684107590798
211,13,0.1,50,4,4,187.7775545692296
212,13,0.1,200,2,2,89.26676624340975
213,13,0.1,200,2,4,60.811301946631964
214,13,0.1,200,4,2,60.09708811581473
215,13,0.1,200,4,4,35.54580769154703
216,13,1.0,50,2,2,82.00523696014108
217,13,1.0,50,2,4,98.88883770285817
218,13,1.0,50,4,2,65.74201261158821
219,13,1.0,50,4,4,82.03550721757283
220,13,1.0,200,2,2,35.631509151935234
221,13,1.0,200,2,4,35.63585896880338
222,13,1.0,200,4,2,34.69779051563178
223,13,1.0,200,4,4,36.90788834683206
224,14,0.1,50,2,2,144.66743471378302
225,14,0.1,50,2,4,178.98897855578832
226,14,0.1,50,4,2,151.44510189797785
227,14,0.1,50,4,4,192.69411569174142
228,14,0.1,200,2,2,95.78594190520167
229,14,0.1,200,2,4,53.340801560448185
230,14,0.1,200,4,2,59.156534343684775
231,14,0.1,200,4,4,35.2595771071886
232,14,1.0,50,2,2,89.23149668138488
233,14,1.0,50,2,4,70.60089706701089
234,14,1.0,50,4,2,68.30169186126439
235,14,1.0,50,4,4,92.74657825374356
236,14,1.0,200,2,2,36.289086207533224
237,14,1.0,200,2,4,36.118293302855704
238,14,1.0,200,4,2,34.758771874481155
239,14,1.0,200,4,4,36.84408591167199
240,15,0.1,50,2,2,172.60099780836853
241,15,0.1,50,2,4,186.6479276308443
242,15,0.1,50,4,2,184.07853396489952
243,15,0.1,50,4,4,184.05934127642396
244,15,0.1,200,2,2,88.34347111636994
245,15,0.1,200,2,4,77.1413277332225
246,15,0.1,200,4,2,53.08783078802314
247,15,0.1,200,4,4,35.40288751563132
248,15,1.0,50,2,2,81.73788731195724
249,15,1.0,50,2,4,86.40605688646292
250,15,1.0,50,4,2,66.87278137545117
251,15,1.0,50,4,4,65.03819390686266
252,15,1.0,200,2,2,37.7012967652013
253,15,1.0,200,2,4,36.86327591399211
254,15,1.0,200,4,2,34.828500462185346
255,15,1.0,200,4,4,37.07781606897101
256,16,0.1,50,2,2,167.53325706325361
257,16,0.1,50,2,4,180.53570591744756
258,16,0.1,50,4,2,171.3796305801182
259,16,0.1,50,4,4,206.23590322196029
260,16,0.1,200,2,2,97.47862443747461
261,16,0.1,200,2,4,72.4177157576484
262,16,0.1,200,4,2,43.24487124375432
263,16,0.1,200,4,4,35.3619695278542
264,16,1.0,50,2,2,78.10167162814834
265,16,1.0,50,2,4,75.9883543709166
266,16,1.0,50,4,2,86.22080826446583
267,16,1.0,50,4,4,61.91447506215507
268,16,1.0,200,2,2,36.60681478753497
269,16,1.0,200,2,4,35.794335368106005
270,16,1.0,200,4,2,34.702865715800606
271,16,1.0,200,4,4,37.34077306823379
272,17,0.1,50,2,2,154.13565453846167
273,17,0.1,50,2,4,177.53870939412997
274,17,0.1,50,4,2,160.5087363492855
275,17,0.1,50,4,4,213.62890201884616
276,17,0.1,200,2,2,105.32258383968116
277,17,0.1,200,2,4,85.91423371918972
278,17,0.1,200,4,2,69.852256783713
279,17,0.1,200,4,4,35.606678524618886
280,17,1.0,50,2,2,82.51858376551714
281,17,1.0,50,2,4,78.36190259161512
282,17,1.0,50,4,2,72.14078827773739
283,17,1.0,50,4,4,66.78566878871212
284,17,1.0,200,2,2,36.843015318751775
285,17,1.0,200,2,4,35.21543222319821
286,17,1.0,200,4,2,35.47515562568636
287,17,1.0,200,4,4,37.13738757041959
288,18,0.1,50,2,2,137.1069128656741
289,18,0.1,50,2,4,177.40512331321713
290,18,0.1,50,4,2,190.698910443779
291,18,0.1,50,4,4,209.06223422172113
292,18,0.1,200,2,2,68.49476054576891
293,18,0.1,200,2,4,64.500723510154
294,18,0.1,200,4,2,49.43846905216849
295,18,0.1,200,4,4,35.597518640114984
296,18,1.0,50,2,2,71.06037339239546
297,18,1.0,50,2,4,83.69218734279934
298,18,1.0,50,4,2,75.90618478680699
299,18,1.0,50,4,4,76.68023068417163
300,18,1.0,200,2,2,35.35489907903696
301,18,1.0,200,2,4,36.014117602221866
302,18,1.0,200,4,2,33.8355007515939
303,18,1.0,200,4,4,36.945485365452825
304,19,0.1,50,2,2,154.42383235757362
305,19,0.1,50,2,4,172.83004497032465
306,19,0.1,50,4,2,160.9600295449498
307,19,0.1,50,4,4,191.20916412255048
308,19,0.1,200,2,2,82.23056339072204
309,19,0.1,200,2,4,81.52893147016381
310,19,0.1,200,4,2,62.53942756373774
311,19,0.1,200,4,4,35.25688270079727
312,19,1.0,50,2,2,94.40092984476135
313,19,1.0,50,2,4,91.70758480688012
314,19,1.0,50,4,2,77.16016531288092
315,19,1.0,50,4,4,68.13775262901862
316,19,1.0,200,2,2,35.478412841864525
317,19,1.0,200,2,4,35.95121694741362
318,19,1.0,200,4,2,34.46487745194777
319,19,1.0,200,4,4,37.09060977300499
