,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.01,50,1,1,117.79221819231807
1,0,0.01,50,1,2,190.42612740902965
2,0,0.01,50,1,4,206.62293354481895
3,0,0.01,50,1,6,216.45961902088496
4,0,0.01,50,1,8,215.4963237634358
5,0,0.01,50,2,1,149.0957149693519
6,0,0.01,50,2,2,233.74542895114666
7,0,0.01,50,2,4,235.284161529557
8,0,0.01,50,2,6,233.85230381589145
9,0,0.01,50,2,8,238.77319317247023
10,0,0.01,50,4,1,181.93022777366542
11,0,0.01,50,4,2,233.47939000167779
12,0,0.01,50,4,4,238.28207840475307
13,0,0.01,50,4,6,240.80206717458958
14,0,0.01,50,4,8,241.9225404040631
15,0,0.01,50,6,1,178.46637093737172
16,0,0.01,50,6,2,232.50496768886467
17,0,0.01,50,6,4,242.67580797800548
18,0,0.01,50,6,6,238.68738271359604
19,0,0.01,50,6,8,239.19232382703623
20,0,0.01,50,8,1,176.90091074446798
21,0,0.01,50,8,2,232.09064081852924
22,0,0.01,50,8,4,236.18100873882491
23,0,0.01,50,8,6,237.557256256255
24,0,0.01,50,8,8,239.8491771463429
25,0,0.01,100,1,1,133.01756776205667
26,0,0.01,100,1,2,182.83796712450678
27,0,0.01,100,1,4,208.88593112563188
28,0,0.01,100,1,6,209.93425690492305
29,0,0.01,100,1,8,214.9126799423431
30,0,0.01,100,2,1,148.67921845368977
31,0,0.01,100,2,2,218.22901579151505
32,0,0.01,100,2,4,231.71098377073108
33,0,0.01,100,2,6,237.48486033616732
34,0,0.01,100,2,8,237.93397076593422
35,0,0.01,100,4,1,160.2835889568514
36,0,0.01,100,4,2,218.54375864902764
37,0,0.01,100,4,4,236.58694901546122
38,0,0.01,100,4,6,236.77494706061188
39,0,0.01,100,4,8,239.23395801321072
40,0,0.01,100,6,1,150.6610839673677
41,0,0.01,100,6,2,224.46144930081473
42,0,0.01,100,6,4,237.35153956385733
43,0,0.01,100,6,6,238.47916750385835
44,0,0.01,100,6,8,237.22948570717108
45,0,0.01,100,8,1,162.513011444896
46,0,0.01,100,8,2,228.20945301289436
47,0,0.01,100,8,4,235.83697052554479
48,0,0.01,100,8,6,238.78181347088486
49,0,0.01,100,8,8,238.71623786877637
50,0,0.01,200,1,1,126.61911388096192
51,0,0.01,200,1,2,170.43502835065593
52,0,0.01,200,1,4,205.70059687700362
53,0,0.01,200,1,6,213.1088636771774
54,0,0.01,200,1,8,212.1836704367233
55,0,0.01,200,2,1,123.81309390457142
56,0,0.01,200,2,2,212.2237341423747
57,0,0.01,200,2,4,228.14056583119492
58,0,0.01,200,2,6,231.76152254706417
59,0,0.01,200,2,8,234.8039749805498
60,0,0.01,200,4,1,141.56389998081352
61,0,0.01,200,4,2,220.37407338936725
62,0,0.01,200,4,4,237.02773630479993
63,0,0.01,200,4,6,222.22159111021492
64,0,0.01,200,4,8,232.51640085522283
65,0,0.01,200,6,1,143.16260762581206
66,0,0.01,200,6,2,221.2004118943322
67,0,0.01,200,6,4,235.4935573546664
68,0,0.01,200,6,6,230.44186058767863
69,0,0.01,200,6,8,238.57941142427936
70,0,0.01,200,8,1,136.77436813152448
71,0,0.01,200,8,2,216.59025832202147
72,0,0.01,200,8,4,232.4667001242687
73,0,0.01,200,8,6,239.2398099536669
74,0,0.01,200,8,8,234.76057779978498
75,0,0.01,500,1,1,107.17245707529315
76,0,0.01,500,1,2,138.68220666128892
77,0,0.01,500,1,4,150.6060239314631
78,0,0.01,500,1,6,186.3291442582185
79,0,0.01,500,1,8,181.42946287745
80,0,0.01,500,2,1,101.49022941478981
81,0,0.01,500,2,2,54.9185153962972
82,0,0.01,500,2,4,72.7518461010517
83,0,0.01,500,2,6,106.26588770103457
84,0,0.01,500,2,8,172.1414534619712
85,0,0.01,500,4,1,93.68879928311127
86,0,0.01,500,4,2,22.06983864412646
87,0,0.01,500,4,4,32.607906335052476
88,0,0.01,500,4,6,35.43817778109428
89,0,0.01,500,4,8,131.55222452614694
90,0,0.01,500,6,1,89.90182299474121
91,0,0.01,500,6,2,22.326168004782588
92,0,0.01,500,6,4,33.07580518882177
93,0,0.01,500,6,6,35.30374547331267
94,0,0.01,500,6,8,36.7646569411439
95,0,0.01,500,8,1,103.25099945709431
96,0,0.01,500,8,2,21.728015709370858
97,0,0.01,500,8,4,29.865513370589984
