,rep,alp,num_cell,cell_size,sparse_freq,error
0,0,0.1,50,8,4,216.0062601973481
1,1,0.1,50,8,4,226.2238935214404
2,2,0.1,50,8,4,218.33742998701192
3,3,0.1,50,8,4,214.44072478063592
4,4,0.1,50,8,4,218.93661183091328
5,5,0.1,50,8,4,216.11388458660196
6,6,0.1,50,8,4,208.74847171762585
7,7,0.1,50,8,4,218.1897772327771
8,8,0.1,50,8,4,211.04219693911665
9,9,0.1,50,8,4,223.5887668615458
10,10,0.1,50,8,4,215.64920588771014
11,11,0.1,50,8,4,211.68589676425987
12,12,0.1,50,8,4,201.98937265773827
13,13,0.1,50,8,4,212.089881365844
14,14,0.1,50,8,4,213.89381581627003
15,15,0.1,50,8,4,218.37755022997314
16,16,0.1,50,8,4,216.99275717559485
17,17,0.1,50,8,4,201.74172157048284
18,18,0.1,50,8,4,221.0952760940656
19,19,0.1,50,8,4,215.73623298422132
