,rep,alp,num_cell,cell_size,sparse_freq,error
0,0.0,0.1,50,8.0,4.0,208.56642427134176
1,1.0,0.1,50,8.0,4.0,218.0721542160861
2,2.0,0.1,50,8.0,4.0,214.08626506361608
3,3.0,0.1,50,8.0,4.0,203.69410617121176
4,4.0,0.1,50,8.0,4.0,220.35768650083438
5,5.0,0.1,50,8.0,4.0,201.15825721169003
6,6.0,0.1,50,8.0,4.0,223.8990670418754
7,7.0,0.1,50,8.0,4.0,206.98106461971614
8,8.0,0.1,50,8.0,4.0,221.7784304710948
9,9.0,0.1,50,8.0,4.0,222.07277836080874
10,10.0,0.1,50,8.0,4.0,200.6391287859873
11,11.0,0.1,50,8.0,4.0,216.0238361333716
12,12.0,0.1,50,8.0,4.0,199.10527366195
13,13.0,0.1,50,8.0,4.0,213.28766438258396
14,14.0,0.1,50,8.0,4.0,224.9968938057195
15,15.0,0.1,50,8.0,4.0,210.0354784845223
16,16.0,0.1,50,8.0,4.0,210.75897239369064
17,17.0,0.1,50,8.0,4.0,208.54100849046986
18,18.0,0.1,50,8.0,4.0,209.5996686808238
19,19.0,0.1,50,8.0,4.0,224.05519409288416
