,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,50,2,1,62.67819436965866
1,0,0.001,50,2,2,57.242966303352304
2,0,0.001,50,2,5,55.996001730014044
3,0,0.001,50,5,1,65.9848481865123
4,0,0.001,50,5,2,58.87867646631856
5,0,0.001,50,5,5,63.99002249775536
6,0,0.001,50,7,1,58.545823913584776
7,0,0.001,50,7,2,59.859550799866916
8,0,0.001,50,7,5,66.99176224961208
9,0,0.001,100,2,1,52.996884955924465
10,0,0.001,100,2,2,51.61835546138838
11,0,0.001,100,2,5,49.94367094878598
12,0,0.001,100,5,1,53.38746864345698
13,0,0.001,100,5,2,53.01852735649177
14,0,0.001,100,5,5,51.54229718363733
15,0,0.001,100,7,1,55.22649362666413
16,0,0.001,100,7,2,50.617117584751966
17,0,0.001,100,7,5,53.27188904726065
18,0,0.001,200,2,1,44.01955788849257
19,0,0.001,200,2,2,44.420439974274395
20,0,0.001,200,2,5,44.237759134714686
21,0,0.001,200,5,1,41.7802638354304
22,0,0.001,200,5,2,47.37628690048559
23,0,0.001,200,5,5,42.65811508388146
24,0,0.001,200,7,1,45.32586867201848
25,0,0.001,200,7,2,42.41165454826102
26,0,0.001,200,7,5,43.083560037028455
27,0,0.001,500,2,1,33.29400755244306
28,0,0.001,500,2,2,30.08408720826136
29,0,0.001,500,2,5,28.036108758581957
30,0,0.001,500,5,1,29.96018620090951
31,0,0.001,500,5,2,27.402101691951255
32,0,0.001,500,5,5,30.390143803533007
33,0,0.001,500,7,1,29.42180594832366
34,0,0.001,500,7,2,30.68351477026486
35,0,0.001,500,7,5,28.46833326926536
36,0,0.01,50,2,1,60.74155988143075
37,0,0.01,50,2,2,66.073971194948
38,0,0.01,50,2,5,62.73412850896646
39,0,0.01,50,5,1,59.370723416577704
40,0,0.01,50,5,2,64.46015664442629
41,0,0.01,50,5,5,64.47596043549422
42,0,0.01,50,7,1,63.14640316767929
43,0,0.01,50,7,2,59.36732990473191
44,0,0.01,50,7,5,63.66649487110916
45,0,0.01,100,2,1,56.642479580079076
46,0,0.01,100,2,2,52.60099386415545
47,0,0.01,100,2,5,52.0119950963641
48,0,0.01,100,5,1,50.500687347347125
49,0,0.01,100,5,2,45.935214808973186
50,0,0.01,100,5,5,49.52610847051499
51,0,0.01,100,7,1,49.28302659728955
52,0,0.01,100,7,2,47.81352862293776
53,0,0.01,100,7,5,56.31629408142229
54,0,0.01,200,2,1,42.61745505013296
55,0,0.01,200,2,2,45.010278109785766
56,0,0.01,200,2,5,41.52336559631822
57,0,0.01,200,5,1,42.47423967886328
58,0,0.01,200,5,2,45.47741524305856
59,0,0.01,200,5,5,46.12418581313434
60,0,0.01,200,7,1,42.95540370732947
61,0,0.01,200,7,2,43.266845307254165
62,0,0.01,200,7,5,43.424788297507014
63,0,0.01,500,2,1,31.0140111702931
64,0,0.01,500,2,2,27.596709142182203
65,0,0.01,500,2,5,30.15006802077378
66,0,0.01,500,5,1,31.15978125235819
67,0,0.01,500,5,2,31.442453964790875
68,0,0.01,500,5,5,29.86425041174548
69,0,0.01,500,7,1,29.038685666456143
70,0,0.01,500,7,2,31.105105993599047
71,0,0.01,500,7,5,31.007991331699635
72,0,0.1,50,2,1,55.86011308529031
73,0,0.1,50,2,2,56.6473790948987
74,0,0.1,50,2,5,55.716533088779464
75,0,0.1,50,5,1,58.773157921564426
76,0,0.1,50,5,2,55.036300739397305
77,0,0.1,50,5,5,55.4221923265415
78,0,0.1,50,7,1,53.2291597194065
79,0,0.1,50,7,2,60.733174269995985
80,0,0.1,50,7,5,54.34468246003223
81,0,0.1,100,2,1,49.39103567780244
82,0,0.1,100,2,2,47.29365091358811
83,0,0.1,100,2,5,40.00198961923864
84,0,0.1,100,5,1,49.16416782471175
85,0,0.1,100,5,2,48.58585096172175
86,0,0.1,100,5,5,44.830355979567344
87,0,0.1,100,7,1,50.021867501237224
88,0,0.1,100,7,2,49.37952389781829
89,0,0.1,100,7,5,46.23965239774302
90,0,0.1,200,2,1,32.49293683775959
91,0,0.1,200,2,2,41.062842564625996
92,0,0.1,200,2,5,41.97310273725261
93,0,0.1,200,5,1,34.32499432054635
94,0,0.1,200,5,2,40.24317353649199
95,0,0.1,200,5,5,33.93805651460286
96,0,0.1,200,7,1,34.01790462530453
97,0,0.1,200,7,2,33.48069823996414
98,0,0.1,200,7,5,35.3864238097187
99,0,0.1,500,2,1,26.53699764879955
100,0,0.1,500,2,2,27.116127407681766
101,0,0.1,500,2,5,26.010467008921704
102,0,0.1,500,5,1,24.87090291626852
103,0,0.1,500,5,2,23.230441055227477
104,0,0.1,500,5,5,26.521733641268188
105,0,0.1,500,7,1,26.41963751728809
106,0,0.1,500,7,2,26.71919434328144
107,0,0.1,500,7,5,24.448948723481575
108,0,1.0,50,2,1,51.27006305097614
109,0,1.0,50,2,2,43.271355347287574
110,0,1.0,50,2,5,37.87701030255411
111,0,1.0,50,5,1,46.79931752478297
112,0,1.0,50,5,2,40.897055693696785
113,0,1.0,50,5,5,42.07168911194247
114,0,1.0,50,7,1,42.5264819298433
115,0,1.0,50,7,2,45.973369911379834
116,0,1.0,50,7,5,47.527182226902355
117,0,1.0,100,2,1,39.602268753439894
118,0,1.0,100,2,2,42.520042677533
119,0,1.0,100,2,5,36.30266922503969
120,0,1.0,100,5,1,38.795366647185055
121,0,1.0,100,5,2,44.60947760407338
122,0,1.0,100,5,5,37.61362518325932
123,0,1.0,100,7,1,39.00290327836057
124,0,1.0,100,7,2,40.8688778203279
125,0,1.0,100,7,5,37.23034381603655
126,0,1.0,200,2,1,32.342305803338
127,0,1.0,200,2,2,32.000855268588374
128,0,1.0,200,2,5,31.6596758457268
129,0,1.0,200,5,1,33.2869299141416
130,0,1.0,200,5,2,29.73811970683994
131,0,1.0,200,5,5,29.93991996384043
132,0,1.0,200,7,1,32.07204656835366
133,0,1.0,200,7,2,33.777682694951324
134,0,1.0,200,7,5,31.103660975908994
135,0,1.0,500,2,1,22.40412277794294
136,0,1.0,500,2,2,24.41506941884289
137,0,1.0,500,2,5,23.337581694085614
138,0,1.0,500,5,1,22.02294796614368
139,0,1.0,500,5,2,24.545880390554228
140,0,1.0,500,5,5,22.284204782232173
141,0,1.0,500,7,1,23.224384619850323
142,0,1.0,500,7,2,22.262146916178917
143,0,1.0,500,7,5,21.668046619420142
144,0,10.0,50,2,1,49.06337278177882
145,0,10.0,50,2,2,44.693118195028156
146,0,10.0,50,2,5,52.22464036390893
147,0,10.0,50,5,1,44.95327483535042
148,0,10.0,50,5,2,48.595272336993276
149,0,10.0,50,5,5,51.08855397254628
150,0,10.0,50,7,1,40.72584977964217
151,0,10.0,50,7,2,48.942567460337436
152,0,10.0,50,7,5,46.2423958560947
153,0,10.0,100,2,1,42.70460990683544
154,0,10.0,100,2,2,38.40064868860486
155,0,10.0,100,2,5,37.61118599719461
156,0,10.0,100,5,1,37.30699016933608
157,0,10.0,100,5,2,40.69050600436794
158,0,10.0,100,5,5,37.00535511701141
159,0,10.0,100,7,1,40.00832758672753
160,0,10.0,100,7,2,44.50216585765899
161,0,10.0,100,7,5,40.67367845377184
162,0,10.0,200,2,1,32.39781524304319
163,0,10.0,200,2,2,32.96736581586481
164,0,10.0,200,2,5,33.87255486150085
165,0,10.0,200,5,1,34.19945507629418
166,0,10.0,200,5,2,32.126186437934905
167,0,10.0,200,5,5,31.324156305839136
168,0,10.0,200,7,1,33.72454020284114
169,0,10.0,200,7,2,32.54223210305373
170,0,10.0,200,7,5,32.97288002642417
171,0,10.0,500,2,1,23.9411111431591
172,0,10.0,500,2,2,25.40307570137502
173,0,10.0,500,2,5,24.79785252825769
174,0,10.0,500,5,1,24.13329292986125
175,0,10.0,500,5,2,25.290094705698213
176,0,10.0,500,5,5,24.83362457671762
177,0,10.0,500,7,1,24.406725966586997
178,0,10.0,500,7,2,22.493282633905743
179,0,10.0,500,7,5,24.244807889082697
180,0,100.0,50,2,1,44.83025330385562
181,0,100.0,50,2,2,49.00732530707636
182,0,100.0,50,2,5,48.35355336732582
183,0,100.0,50,5,1,58.57304918517386
184,0,100.0,50,5,2,45.67773963896281
185,0,100.0,50,5,5,42.20268391338925
186,0,100.0,50,7,1,56.34953549258986
187,0,100.0,50,7,2,41.69072322192456
188,0,100.0,50,7,5,48.93540447666948
189,0,100.0,100,2,1,39.97432853296035
190,0,100.0,100,2,2,39.159997928498605
191,0,100.0,100,2,5,36.345953145872045
192,0,100.0,100,5,1,37.479657782250115
193,0,100.0,100,5,2,37.33737850853809
194,0,100.0,100,5,5,37.859613560614555
195,0,100.0,100,7,1,38.22592255923155
196,0,100.0,100,7,2,36.15654152057242
197,0,100.0,100,7,5,36.514154549397745
198,0,100.0,200,2,1,33.334056430865594
199,0,100.0,200,2,2,32.69867932922201
200,0,100.0,200,2,5,32.91660949045561
201,0,100.0,200,5,1,30.05168570949213
202,0,100.0,200,5,2,32.776752521333265
203,0,100.0,200,5,5,35.213416756665865
204,0,100.0,200,7,1,32.134673749216596
205,0,100.0,200,7,2,37.71802031425893
206,0,100.0,200,7,5,32.48320133533336
207,0,100.0,500,2,1,29.55423389023564
208,0,100.0,500,2,2,30.29685975374819
209,0,100.0,500,2,5,30.39673689246616
210,0,100.0,500,5,1,30.02682812728876
211,0,100.0,500,5,2,30.139886784661662
212,0,100.0,500,5,5,30.372814807981616
213,0,100.0,500,7,1,31.275337896989708
214,0,100.0,500,7,2,29.454003455042727
215,0,100.0,500,7,5,29.770916374430865
216,0,1000.0,50,2,1,69.61064850427114
217,0,1000.0,50,2,2,73.48244794871206
218,0,1000.0,50,2,5,60.40029542260913
219,0,1000.0,50,5,1,68.08156609344798
220,0,1000.0,50,5,2,53.45149322934846
221,0,1000.0,50,5,5,63.445612013635426
222,0,1000.0,50,7,1,71.16318700834852
223,0,1000.0,50,7,2,69.78871731330898
224,0,1000.0,50,7,5,68.2207386736994
225,0,1000.0,100,2,1,69.69541756550159
226,0,1000.0,100,2,2,58.1885863104325
227,0,1000.0,100,2,5,64.91038371248192
228,0,1000.0,100,5,1,67.27221362683056
229,0,1000.0,100,5,2,65.90708037254312
230,0,1000.0,100,5,5,65.38482423881506
231,0,1000.0,100,7,1,64.9135714609249
232,0,1000.0,100,7,2,65.19462585781697
233,0,1000.0,100,7,5,65.84758201693407
234,0,1000.0,200,2,1,63.490067304044956
235,0,1000.0,200,2,2,62.897271705573615
236,0,1000.0,200,2,5,60.091355187992
237,0,1000.0,200,5,1,63.255396512574016
238,0,1000.0,200,5,2,60.338829259595336
239,0,1000.0,200,5,5,62.65741701152777
240,0,1000.0,200,7,1,64.44067994991522
241,0,1000.0,200,7,2,63.17990089458013
242,0,1000.0,200,7,5,63.46606396478217
243,0,1000.0,500,2,1,61.29786391110547
244,0,1000.0,500,2,2,65.00989373248997
245,0,1000.0,500,2,5,64.55755053315792
246,0,1000.0,500,5,1,59.52630026138508
247,0,1000.0,500,5,2,61.81619970203232
248,0,1000.0,500,5,5,60.1011337255353
249,0,1000.0,500,7,1,66.52784000924949
250,0,1000.0,500,7,2,63.25021131566163
251,0,1000.0,500,7,5,64.50509271974818
252,1,0.001,50,2,1,62.4670723966491
253,1,0.001,50,2,2,65.02396202706073
254,1,0.001,50,2,5,61.613079267651756
255,1,0.001,50,5,1,64.48812396863943
256,1,0.001,50,5,2,62.883065334918214
257,1,0.001,50,5,5,60.673468574891245
258,1,0.001,50,7,1,61.09561163642752
259,1,0.001,50,7,2,59.95561647249245
260,1,0.001,50,7,5,58.82234085967309
261,1,0.001,100,2,1,53.78624814639969
262,1,0.001,100,2,2,56.60682040162804
263,1,0.001,100,2,5,53.76861299276189
264,1,0.001,100,5,1,53.043963178373374
265,1,0.001,100,5,2,53.36630527345551
266,1,0.001,100,5,5,51.823571298544124
267,1,0.001,100,7,1,48.57844130513673
268,1,0.001,100,7,2,54.44078790471944
269,1,0.001,100,7,5,51.58167102445738
270,1,0.001,200,2,1,44.3286136838453
271,1,0.001,200,2,2,42.767037578491035
272,1,0.001,200,2,5,42.069520099679885
273,1,0.001,200,5,1,43.27624194935999
274,1,0.001,200,5,2,45.70265172351589
275,1,0.001,200,5,5,45.542065169560566
276,1,0.001,200,7,1,46.931249036931476
277,1,0.001,200,7,2,40.41262983076067
278,1,0.001,200,7,5,40.073322933025494
279,1,0.001,500,2,1,27.712647223469663
280,1,0.001,500,2,2,28.925977816298722
281,1,0.001,500,2,5,29.530935045035623
282,1,0.001,500,5,1,30.36336030906932
283,1,0.001,500,5,2,29.5166760180578
284,1,0.001,500,5,5,30.3377902186843
285,1,0.001,500,7,1,27.121153193441252
286,1,0.001,500,7,2,29.364788488780583
287,1,0.001,500,7,5,28.325987379266117
288,1,0.01,50,2,1,61.57254070345308
289,1,0.01,50,2,2,65.35342503347424
290,1,0.01,50,2,5,57.62645193107414
291,1,0.01,50,5,1,60.56246791840653
292,1,0.01,50,5,2,61.18965973704178
293,1,0.01,50,5,5,61.78200708474206
294,1,0.01,50,7,1,51.50529317665205
295,1,0.01,50,7,2,53.70011104779631
296,1,0.01,50,7,5,62.57913409670713
297,1,0.01,100,2,1,53.65205709743653
298,1,0.01,100,2,2,51.089767012293805
299,1,0.01,100,2,5,47.51152915700959
300,1,0.01,100,5,1,51.97225985252542
301,1,0.01,100,5,2,48.288601773799634
302,1,0.01,100,5,5,51.887352392149324
303,1,0.01,100,7,1,53.67982047891358
304,1,0.01,100,7,2,52.2856732118431
305,1,0.01,100,7,5,49.13878457663622
306,1,0.01,200,2,1,45.997063202997154
307,1,0.01,200,2,2,41.89614727302112
308,1,0.01,200,2,5,43.47287329799085
309,1,0.01,200,5,1,45.359578190452524
310,1,0.01,200,5,2,38.34133946065174
311,1,0.01,200,5,5,47.28927209182551
312,1,0.01,200,7,1,41.0888314845171
313,1,0.01,200,7,2,42.85651894310877
314,1,0.01,200,7,5,49.62552954823284
315,1,0.01,500,2,1,28.845910971081455
316,1,0.01,500,2,2,27.72969375774391
317,1,0.01,500,2,5,28.500112473467375
318,1,0.01,500,5,1,30.38681789515335
319,1,0.01,500,5,2,30.440899638874093
320,1,0.01,500,5,5,33.63352564399152
321,1,0.01,500,7,1,30.59645270915075
322,1,0.01,500,7,2,31.842582182561618
323,1,0.01,500,7,5,32.94836574024967
324,1,0.1,50,2,1,60.19016062398801
325,1,0.1,50,2,2,60.31413557515379
326,1,0.1,50,2,5,60.4201463187959
327,1,0.1,50,5,1,58.2690794658969
328,1,0.1,50,5,2,54.65342907357965
329,1,0.1,50,5,5,64.20025548957406
330,1,0.1,50,7,1,61.21266733520135
331,1,0.1,50,7,2,65.03164932350955
332,1,0.1,50,7,5,58.146915400244964
333,1,0.1,100,2,1,56.65527403385026
334,1,0.1,100,2,2,48.45850740437615
335,1,0.1,100,2,5,47.847209111170244
336,1,0.1,100,5,1,44.580379327035864
337,1,0.1,100,5,2,45.696459452462264
338,1,0.1,100,5,5,45.628129696675245
339,1,0.1,100,7,1,44.66792180983923
340,1,0.1,100,7,2,46.37624433893482
341,1,0.1,100,7,5,43.309276487421315
342,1,0.1,200,2,1,36.00711795863761
