,rep,alp,num_cell,error
0,0,0.001,50,101.7078550446217
1,0,0.001,100,88.45715221381354
2,0,0.001,200,76.68401977523668
3,0,0.001,500,52.86783311029286
4,0,0.01,50,110.07159286371555
5,0,0.01,100,101.4881054880598
6,0,0.01,200,70.05392367471092
7,0,0.01,500,53.05658405053148
8,0,0.1,50,106.41487991191207
9,0,0.1,100,82.78369404659351
10,0,0.1,200,67.83522519884325
11,0,0.1,500,42.32982925130273
12,0,1.0,50,76.44655358847484
13,0,1.0,100,73.46519206021614
14,0,1.0,200,57.16613216465381
15,0,1.0,500,40.900448245302485
16,0,10.0,50,81.3135631709468
17,0,10.0,100,69.56539688986504
18,0,10.0,200,57.33319767425811
19,0,10.0,500,44.492421327182846
20,0,100.0,50,85.68641795653629
21,0,100.0,100,67.41475275404404
22,0,100.0,200,57.88282224556013
23,0,100.0,500,52.45253939409311
24,0,1000.0,50,125.19735087719177
25,0,1000.0,100,113.54580573495439
26,0,1000.0,200,115.47206973501812
27,0,1000.0,500,114.58304606024595
28,1,0.001,50,110.06094776178433
29,1,0.001,100,90.7575708504071
30,1,0.001,200,74.24001616379134
31,1,0.001,500,50.73696877031579
32,1,0.01,50,107.48881078719052
33,1,0.01,100,90.0179488275039
34,1,0.01,200,73.26166952931268
35,1,0.01,500,52.67561105483257
36,1,0.1,50,97.54071514557965
37,1,0.1,100,82.54577181445725
38,1,0.1,200,59.4517731723229
39,1,0.1,500,41.80636580979292
40,1,1.0,50,98.85291542938371
41,1,1.0,100,73.04627148443497
42,1,1.0,200,52.68501789988413
43,1,1.0,500,40.672253714568384
44,1,10.0,50,88.98604135231298
45,1,10.0,100,79.11549223199658
46,1,10.0,200,58.25896211456798
47,1,10.0,500,40.75632193633005
48,1,100.0,50,86.02862572681516
49,1,100.0,100,64.38031099990465
50,1,100.0,200,58.14924285357845
51,1,100.0,500,52.00163458969343
52,1,1000.0,50,114.21321678723916
53,1,1000.0,100,104.52603609733903
54,1,1000.0,200,113.02662911406713
55,1,1000.0,500,108.99352172389779
56,2,0.001,50,106.45692921448456
57,2,0.001,100,85.22914863928759
58,2,0.001,200,74.99330340474111
59,2,0.001,500,52.916065613384376
60,2,0.01,50,109.0090974796752
61,2,0.01,100,90.23239132619973
62,2,0.01,200,77.03681659512621
63,2,0.01,500,53.63203851762075
64,2,0.1,50,95.44333397362018
65,2,0.1,100,80.6755642475878
66,2,0.1,200,61.37423455055604
67,2,0.1,500,44.7102399407066
68,2,1.0,50,85.01945528982044
69,2,1.0,100,69.09467739590688
70,2,1.0,200,56.16660731945431
71,2,1.0,500,42.01244524608816
