,rep,alp,num_cell,error
0,0,0.001,50,65.18622028384105
1,0,0.001,100,50.94201958829147
2,0,0.001,200,43.10640933133736
3,0,0.001,300,35.24916712942099
4,0,0.001,500,30.29329691760493
5,0,0.01,50,71.38047985026445
6,0,0.01,100,47.129800817021795
7,0,0.01,200,40.14995512707513
8,0,0.01,300,37.59032277386037
9,0,0.01,500,30.45517775062536
10,0,0.1,50,52.86839315904342
11,0,0.1,100,49.23276946591121
12,0,0.1,200,36.154219618418544
13,0,0.1,300,33.12022842985918
14,0,0.1,500,26.991407722031905
15,0,1.0,50,39.01566450217289
16,0,1.0,100,40.57412707965049
17,0,1.0,200,34.620649673043815
18,0,1.0,300,29.9878450948799
19,0,1.0,500,24.153605883292496
20,0,10.0,50,49.399201470345055
21,0,10.0,100,38.145938525044315
22,0,10.0,200,32.64958024198056
23,0,10.0,300,26.714694708159882
24,0,10.0,500,25.050066814331988
25,0,100.0,50,43.304203377053035
26,0,100.0,100,38.10299476236556
27,0,100.0,200,34.0630046979862
28,0,100.0,300,30.754912810772872
29,0,100.0,500,30.69184066076991
30,0,1000.0,50,65.67472472391499
31,0,1000.0,100,67.41330763985425
32,0,1000.0,200,59.721000390745225
33,0,1000.0,300,57.82315410454634
34,0,1000.0,500,64.10229704199102
35,1,0.001,50,65.36654745887499
36,1,0.001,100,48.8886929340293
37,1,0.001,200,41.8083613588731
38,1,0.001,300,35.26387880095417
39,1,0.001,500,30.103743931714824
40,1,0.01,50,66.97374850740597
41,1,0.01,100,50.680045541129395
42,1,0.01,200,45.779008728992366
43,1,0.01,300,37.32648027862782
44,1,0.01,500,28.90400762831838
45,1,0.1,50,59.52252547815405
46,1,0.1,100,41.804409610734496
47,1,0.1,200,34.9447180520366
48,1,0.1,300,30.67836574180957
49,1,0.1,500,27.727459525225008
50,1,1.0,50,50.21248232282317
51,1,1.0,100,35.34284092206119
52,1,1.0,200,30.79582332966908
53,1,1.0,300,28.452582451163867
54,1,1.0,500,21.839833930295317
55,1,10.0,50,47.84324329813411
56,1,10.0,100,37.868710095579694
57,1,10.0,200,34.18088022704201
58,1,10.0,300,27.142474200095915
59,1,10.0,500,24.540204417335378
60,1,100.0,50,53.55934104342427
61,1,100.0,100,36.07800142771694
62,1,100.0,200,32.09217334533087
63,1,100.0,300,30.725518459929226
64,1,100.0,500,30.5951645870383
65,1,1000.0,50,54.77268513627542
66,1,1000.0,100,61.74805986138452
67,1,1000.0,200,62.513093130064426
68,1,1000.0,300,63.857799749826086
69,1,1000.0,500,63.225423864468034
70,2,0.001,50,62.85060830598079
71,2,0.001,100,55.142407035693175
72,2,0.001,200,48.69756293632219
73,2,0.001,300,35.836566943303104
74,2,0.001,500,30.69685007849567
75,2,0.01,50,68.82191410026667
76,2,0.01,100,50.908114526280734
77,2,0.01,200,42.30086001245568
78,2,0.01,300,36.59383187884801
79,2,0.01,500,30.68053330481649
80,2,0.1,50,54.86782658096267
81,2,0.1,100,45.517305835184025
82,2,0.1,200,35.79450344962156
83,2,0.1,300,32.92973908040408
84,2,0.1,500,24.863126005648997
85,2,1.0,50,45.58581529617388
86,2,1.0,100,40.1972726628792
87,2,1.0,200,28.52811665928395
88,2,1.0,300,28.101941478534158
89,2,1.0,500,23.291825239194562
90,2,10.0,50,49.04770518352328
91,2,10.0,100,36.61770406115546
92,2,10.0,200,35.46389835580183
93,2,10.0,300,29.350502662455543
94,2,10.0,500,23.40603134165828
95,2,100.0,50,46.07212120417411
96,2,100.0,100,36.45845379356121
97,2,100.0,200,31.6823519222644
98,2,100.0,300,31.670173897490407
99,2,100.0,500,30.010218227155168
100,2,1000.0,50,63.771023754306526
101,2,1000.0,100,59.45507140062837
102,2,1000.0,200,70.95359774111107
103,2,1000.0,300,61.98138622990053
104,2,1000.0,500,60.33780746564979
105,3,0.001,50,62.57533681051567
106,3,0.001,100,52.72596057168787
107,3,0.001,200,44.64205649822086
108,3,0.001,300,34.137067857647594
109,3,0.001,500,30.131760279963768
110,3,0.01,50,63.2608765543337
111,3,0.01,100,51.0834669159073
112,3,0.01,200,48.07458052338936
113,3,0.01,300,36.21612497189886
114,3,0.01,500,29.539395887974003
115,3,0.1,50,53.938102165077126
116,3,0.1,100,47.5721209053393
117,3,0.1,200,40.043946738348524
118,3,0.1,300,30.142942033286804
119,3,0.1,500,27.473890977841084
120,3,1.0,50,38.89397260967387
121,3,1.0,100,42.770737729395314
122,3,1.0,200,31.644436285380426
123,3,1.0,300,27.03055602308074
124,3,1.0,500,24.340758243764647
125,3,10.0,50,44.73769491127343
126,3,10.0,100,38.31164767072279
127,3,10.0,200,31.766367806824313
128,3,10.0,300,30.060372884784556
129,3,10.0,500,22.988177123205602
130,3,100.0,50,52.7782209184833
131,3,100.0,100,37.56896023280285
132,3,100.0,200,34.33213399170596
133,3,100.0,300,30.61690351344126
134,3,100.0,500,29.42038980871394
135,3,1000.0,50,64.35162042910692
136,3,1000.0,100,62.60467107764993
137,3,1000.0,200,61.30519123055715
138,3,1000.0,300,63.656093283178826
139,3,1000.0,500,60.79796265195753
140,4,0.001,50,54.775318087297315
141,4,0.001,100,55.78633289933933
142,4,0.001,200,42.93081474587146
143,4,0.001,300,40.33512866500902
144,4,0.001,500,29.630185803552855
145,4,0.01,50,67.11356239578683
146,4,0.01,100,48.6847673452021
147,4,0.01,200,42.7560289602926
148,4,0.01,300,37.6914495466827
149,4,0.01,500,30.559902431444282
150,4,0.1,50,61.74302739576902
151,4,0.1,100,48.928892250699654
152,4,0.1,200,36.91230412302801
153,4,0.1,300,31.33506960296775
154,4,0.1,500,25.588042506613593
155,4,1.0,50,41.0276412694877
156,4,1.0,100,35.03848238049711
157,4,1.0,200,30.331299232535905
158,4,1.0,300,29.190389745731473
159,4,1.0,500,23.178130737061075
160,4,10.0,50,45.00766840654201
161,4,10.0,100,40.6298138734966
162,4,10.0,200,31.965664993955556
