,rep,lv,alp,num_cell,error
0,0,1,0.01,50,119.61149324800105
1,0,1,0.01,100,106.98337546999124
2,0,1,0.01,200,85.79220272104857
3,0,1,0.01,500,44.581191841578494
4,0,1,0.1,50,119.60751932549734
5,0,1,0.1,100,107.06018236705941
6,0,1,0.1,200,85.78749995019716
7,0,1,0.1,500,44.383174734277496
8,0,1,1.0,50,119.58378841477484
9,0,1,1.0,100,107.1004661321959
10,0,1,1.0,200,85.97827026945012
11,0,1,1.0,500,44.389531466835905
12,0,1,10.0,50,119.64159226421981
13,0,1,10.0,100,107.05058709544403
14,0,1,10.0,200,85.90796926921251
15,0,1,10.0,500,44.516675289319366
16,0,2,0.01,50,90.16686547258028
17,0,2,0.01,100,61.65384279202854
18,0,2,0.01,200,32.805905622236196
19,0,2,0.01,500,12.080613525170453
20,0,2,0.1,50,89.30459038618446
21,0,2,0.1,100,62.89533701049366
22,0,2,0.1,200,37.121572625291684
23,0,2,0.1,500,17.068858544344316
24,0,2,1.0,50,106.53601523697056
25,0,2,1.0,100,95.8047165667258
26,0,2,1.0,200,62.600438431493316
27,0,2,1.0,500,22.4117823199176
28,0,2,10.0,50,118.31015899002655
29,0,2,10.0,100,98.01289796615856
30,0,2,10.0,200,62.7086710907045
31,0,2,10.0,500,23.089853745266193
32,0,4,0.01,50,24.37702182307442
33,0,4,0.01,100,20.337856769304626
34,0,4,0.01,200,16.544686465389336
35,0,4,0.01,500,11.409565984443455
36,0,4,0.1,50,23.352323088985038
37,0,4,0.1,100,19.88069742940476
38,0,4,0.1,200,15.583023571396822
39,0,4,0.1,500,10.748722976418144
40,0,4,1.0,50,33.937427836810365
41,0,4,1.0,100,26.48442188360065
42,0,4,1.0,200,21.209043369760938
43,0,4,1.0,500,13.572182991455886
44,0,4,10.0,50,52.50274658284722
45,0,4,10.0,100,29.558362417221996
46,0,4,10.0,200,21.998575684651048
47,0,4,10.0,500,13.927421038843224
48,1,1,0.01,50,119.4545803183503
49,1,1,0.01,100,107.03238619236124
50,1,1,0.01,200,85.70831395508938
51,1,1,0.01,500,44.310342152384436
52,1,1,0.1,50,119.54151296001847
53,1,1,0.1,100,106.90872318871624
54,1,1,0.1,200,85.73169063469618
55,1,1,0.1,500,44.98030837805214
56,1,1,1.0,50,119.60135334805693
57,1,1,1.0,100,106.92515668413813
58,1,1,1.0,200,85.77861315178257
59,1,1,1.0,500,44.72706037352536
60,1,1,10.0,50,119.56566115177115
61,1,1,10.0,100,107.03975887140277
62,1,1,10.0,200,85.99449758891593
63,1,1,10.0,500,44.90984613066472
64,1,2,0.01,50,89.17851713584714
65,1,2,0.01,100,61.51947283852551
66,1,2,0.01,200,31.77569729619899
67,1,2,0.01,500,12.156551249480668
68,1,2,0.1,50,90.08597717734199
69,1,2,0.1,100,62.62788999669582
70,1,2,0.1,200,37.23485667004794
71,1,2,0.1,500,16.958922292368804
72,1,2,1.0,50,106.55051128706933
73,1,2,1.0,100,95.35970106698872
74,1,2,1.0,200,63.12490992775714
75,1,2,1.0,500,21.88491840573065
76,1,2,10.0,50,118.57747890544206
77,1,2,10.0,100,98.25631204378328
78,1,2,10.0,200,63.060307354043445
79,1,2,10.0,500,22.98707955719046
80,1,4,0.01,50,24.47707376393604
81,1,4,0.01,100,20.579129437123733
82,1,4,0.01,200,16.56548884072627
83,1,4,0.01,500,11.64342097556213
84,1,4,0.1,50,23.837555286841447
85,1,4,0.1,100,19.603873185472057
86,1,4,0.1,200,15.918881300529618
87,1,4,0.1,500,10.65324453441802
88,1,4,1.0,50,33.88057316616156
89,1,4,1.0,100,26.351812791809046
90,1,4,1.0,200,21.0199911240578
91,1,4,1.0,500,13.456037784219461
92,1,4,10.0,50,50.81276756300634
93,1,4,10.0,100,29.098394201484393
94,1,4,10.0,200,22.307169387010784
95,1,4,10.0,500,13.754945871183553
96,2,1,0.01,50,119.49250008578659
97,2,1,0.01,100,107.04487406873852
98,2,1,0.01,200,85.75435698536766
99,2,1,0.01,500,44.708390353481384
100,2,1,0.1,50,119.61329193379292
101,2,1,0.1,100,107.09279553556037
102,2,1,0.1,200,85.74619280312515
103,2,1,0.1,500,44.78237477052652
104,2,1,1.0,50,119.57023393789787
105,2,1,1.0,100,107.22767164869201
106,2,1,1.0,200,85.79910304883364
107,2,1,1.0,500,44.68165219331767
108,2,1,10.0,50,119.53825404571481
109,2,1,10.0,100,107.13684527542365
110,2,1,10.0,200,86.00647382987756
111,2,1,10.0,500,44.72394395650838
112,2,2,0.01,50,89.40689567751438
113,2,2,0.01,100,61.2824008489272
114,2,2,0.01,200,32.34090144932846
115,2,2,0.01,500,12.058809338401206
116,2,2,0.1,50,89.23053762193365
117,2,2,0.1,100,62.60234677361321
118,2,2,0.1,200,37.38863499180323
119,2,2,0.1,500,17.18133722965193
120,2,2,1.0,50,106.6060891414506
121,2,2,1.0,100,95.61728891435405
122,2,2,1.0,200,62.39271651578211
123,2,2,1.0,500,22.535591204607037
124,2,2,10.0,50,118.36268590343886
125,2,2,10.0,100,97.7979365905395
126,2,2,10.0,200,63.197714533707114
127,2,2,10.0,500,23.646610286456507
128,2,4,0.01,50,24.218436001618723
129,2,4,0.01,100,20.511455963549466
130,2,4,0.01,200,16.621342536328434
131,2,4,0.01,500,11.392364494718276
132,2,4,0.1,50,23.407004819140603
133,2,4,0.1,100,19.885373557276996
134,2,4,0.1,200,16.031862005557382
135,2,4,0.1,500,10.675028523534328
136,2,4,1.0,50,34.651205894547005
137,2,4,1.0,100,26.96468898215399
138,2,4,1.0,200,21.432513844360876
139,2,4,1.0,500,13.264186102625667
140,2,4,10.0,50,54.48262327860919
141,2,4,10.0,100,28.940298979084154
142,2,4,10.0,200,21.835370859290304
143,2,4,10.0,500,13.927200001142591
144,3,1,0.01,50,119.50538141112416
145,3,1,0.01,100,107.02881738724508
146,3,1,0.01,200,85.87383061796919
147,3,1,0.01,500,43.998856572986355
148,3,1,0.1,50,119.61482543088088
149,3,1,0.1,100,107.09144447768067
150,3,1,0.1,200,86.23164479750831
151,3,1,0.1,500,44.554227042323014
152,3,1,1.0,50,119.50165693977861
153,3,1,1.0,100,107.09852894432572
154,3,1,1.0,200,86.10847950294773
155,3,1,1.0,500,44.29069010297044
156,3,1,10.0,50,119.64052035459297
157,3,1,10.0,100,107.34600715762812
158,3,1,10.0,200,85.75672069937775
159,3,1,10.0,500,44.54897639236419
160,3,2,0.01,50,89.24093609686956
161,3,2,0.01,100,61.591297273074815
162,3,2,0.01,200,32.28517816800149
163,3,2,0.01,500,11.692830221762852
164,3,2,0.1,50,89.62275473789613
165,3,2,0.1,100,62.645731557246016
166,3,2,0.1,200,36.582671927785384
167,3,2,0.1,500,17.24219380539786
168,3,2,1.0,50,106.60709313918409
169,3,2,1.0,100,95.1774767021096
170,3,2,1.0,200,62.68265478971688
171,3,2,1.0,500,22.28818398718876
172,3,2,10.0,50,118.2264179160035
173,3,2,10.0,100,98.00330767596412
174,3,2,10.0,200,63.049426928826776
175,3,2,10.0,500,23.317489212866352
176,3,4,0.01,50,24.357873621998575
177,3,4,0.01,100,20.876195907600355
178,3,4,0.01,200,16.42538249181557
179,3,4,0.01,500,11.585045191742955
180,3,4,0.1,50,24.03332066141007
181,3,4,0.1,100,19.30108621337445
182,3,4,0.1,200,16.057495168690828
183,3,4,0.1,500,10.584014289955878
184,3,4,1.0,50,34.073487355836924
185,3,4,1.0,100,26.801472065480077
186,3,4,1.0,200,21.124316774414055
187,3,4,1.0,500,13.77620654905857
188,3,4,10.0,50,50.23435802785726
189,3,4,10.0,100,28.874291943873008
190,3,4,10.0,200,22.354039012002875
191,3,4,10.0,500,14.016573496420815
192,4,1,0.01,50,119.47664477949702
193,4,1,0.01,100,106.92419655841172
194,4,1,0.01,200,85.88326702276989
195,4,1,0.01,500,43.87088771578423
196,4,1,0.1,50,119.6196270317025
197,4,1,0.1,100,107.08518637353869
198,4,1,0.1,200,85.9598988698486
199,4,1,0.1,500,44.20414146422382
200,4,1,1.0,50,119.47931686875276
201,4,1,1.0,100,107.0235685078572
202,4,1,1.0,200,85.87224142427519
203,4,1,1.0,500,44.128511240500494
204,4,1,10.0,50,119.5336175342535
205,4,1,10.0,100,106.98940905625902
206,4,1,10.0,200,85.68526399617947
207,4,1,10.0,500,44.87696791560339
208,4,2,0.01,50,88.3509892458495
209,4,2,0.01,100,61.29821330915787
210,4,2,0.01,200,32.814394360309116
211,4,2,0.01,500,11.900910228891025
212,4,2,0.1,50,89.53407061063326
213,4,2,0.1,100,62.5335077414829
214,4,2,0.1,200,37.11018394471912
215,4,2,0.1,500,16.56983698873504
216,4,2,1.0,50,106.60994130240938
217,4,2,1.0,100,95.47428725646569
218,4,2,1.0,200,63.05253666033571
219,4,2,1.0,500,22.520797103678603
220,4,2,10.0,50,118.4890406083753
221,4,2,10.0,100,97.67096600058436
222,4,2,10.0,200,63.46078866511231
223,4,2,10.0,500,22.917211389714485
224,4,4,0.01,50,24.394811550756522
225,4,4,0.01,100,19.90746999502406
226,4,4,0.01,200,16.37760182451072
227,4,4,0.01,500,11.45131894973136
228,4,4,0.1,50,23.543600663495557
229,4,4,0.1,100,19.824435613037974
230,4,4,0.1,200,15.923445784153289
231,4,4,0.1,500,10.67517253370022
232,4,4,1.0,50,34.44234447709118
233,4,4,1.0,100,27.14200041716726
234,4,4,1.0,200,21.45451920570919
235,4,4,1.0,500,13.555778560645416
236,4,4,10.0,50,51.67310218518836
237,4,4,10.0,100,28.647165903250013
238,4,4,10.0,200,21.58639158088156
239,4,4,10.0,500,14.051325855618794
240,5,1,0.01,50,119.61402086918939
241,5,1,0.01,100,107.24942299214116
242,5,1,0.01,200,86.05037458073393
243,5,1,0.01,500,44.2573989458282
244,5,1,0.1,50,119.54453459674819
245,5,1,0.1,100,106.95673665092184
246,5,1,0.1,200,86.00131759077796
247,5,1,0.1,500,44.519635915235725
248,5,1,1.0,50,119.69768698743347
249,5,1,1.0,100,106.90154232129387
250,5,1,1.0,200,85.28191413774555
251,5,1,1.0,500,44.32050125348159
252,5,1,10.0,50,119.62193598953853
253,5,1,10.0,100,106.92298138692838
254,5,1,10.0,200,86.14137869729535
255,5,1,10.0,500,45.1524142104628
256,5,2,0.01,50,89.105652987095
257,5,2,0.01,100,61.48450805184341
258,5,2,0.01,200,32.732528102731294
259,5,2,0.01,500,12.124368395528013
260,5,2,0.1,50,89.48696312176486
261,5,2,0.1,100,62.71619234063691
262,5,2,0.1,200,36.5908889499051
263,5,2,0.1,500,17.34567662440972
264,5,2,1.0,50,106.45064287470846
265,5,2,1.0,100,95.15660149770876
266,5,2,1.0,200,62.78954154478901
267,5,2,1.0,500,22.288777624663695
268,5,2,10.0,50,118.53545433531167
269,5,2,10.0,100,98.42229394116515
270,5,2,10.0,200,62.843266208783945
271,5,2,10.0,500,23.256353351104
272,5,4,0.01,50,24.5504846280311
273,5,4,0.01,100,20.531769210312042
274,5,4,0.01,200,16.2605666797796
275,5,4,0.01,500,11.50961946284252
276,5,4,0.1,50,23.4579164819173
277,5,4,0.1,100,19.77121281100546
278,5,4,0.1,200,15.893332521728734
279,5,4,0.1,500,10.561235702058891
280,5,4,1.0,50,34.66605452461689
281,5,4,1.0,100,26.471109512532013
282,5,4,1.0,200,21.311321326633216
283,5,4,1.0,500,13.454093871633953
284,5,4,10.0,50,53.0238707785934
285,5,4,10.0,100,28.551814645261228
286,5,4,10.0,200,21.998708773780862
287,5,4,10.0,500,13.713221520051654
288,6,1,0.01,50,119.54709286284124
289,6,1,0.01,100,106.99313546380885
290,6,1,0.01,200,85.78796304863768
291,6,1,0.01,500,43.843909787398715
292,6,1,0.1,50,119.48602843708841
293,6,1,0.1,100,107.06365661530796
294,6,1,0.1,200,86.00123779381953
295,6,1,0.1,500,44.220725683281756
296,6,1,1.0,50,119.50826182196474
297,6,1,1.0,100,107.04944660626357
298,6,1,1.0,200,86.1866117767751
299,6,1,1.0,500,44.53195329077315
300,6,1,10.0,50,119.60896830025565
301,6,1,10.0,100,107.01002817310233
302,6,1,10.0,200,86.09964838609663
303,6,1,10.0,500,45.039574959478884
304,6,2,0.01,50,90.25010579702669
305,6,2,0.01,100,61.31221211994804
306,6,2,0.01,200,31.755380790300137
307,6,2,0.01,500,11.642184610024723
308,6,2,0.1,50,89.54119236250826
309,6,2,0.1,100,62.39174911896428
310,6,2,0.1,200,37.12015041953884
311,6,2,0.1,500,16.970777077897335
312,6,2,1.0,50,106.30474330048096
313,6,2,1.0,100,94.67873647693627
314,6,2,1.0,200,62.84799594278769
315,6,2,1.0,500,22.688301765840084
316,6,2,10.0,50,118.52176302239401
317,6,2,10.0,100,97.81190635817882
318,6,2,10.0,200,63.46463893421319
319,6,2,10.0,500,23.054842124635027
320,6,4,0.01,50,24.61070727420529
321,6,4,0.01,100,20.707820167042126
322,6,4,0.01,200,16.443618273959576
323,6,4,0.01,500,11.500076293692237
324,6,4,0.1,50,24.22105646779297
325,6,4,0.1,100,19.68880698089172
326,6,4,0.1,200,16.16314172495999
327,6,4,0.1,500,10.826409186071706
328,6,4,1.0,50,33.90458248977787
329,6,4,1.0,100,26.390335036243766
330,6,4,1.0,200,21.32547890593848
331,6,4,1.0,500,13.947341660186945
332,6,4,10.0,50,49.75095772899646
333,6,4,10.0,100,28.62550013742425
334,6,4,10.0,200,22.202977759177074
335,6,4,10.0,500,13.942122988501918
336,7,1,0.01,50,119.56097444636852
337,7,1,0.01,100,107.06168384318859
338,7,1,0.01,200,85.93515701706637
339,7,1,0.01,500,44.31592502458808
340,7,1,0.1,50,119.6561926948448
341,7,1,0.1,100,107.1689888231421
342,7,1,0.1,200,85.89805988612144
343,7,1,0.1,500,44.453535360309345
344,7,1,1.0,50,119.53930086436576
345,7,1,1.0,100,107.14040056627657
346,7,1,1.0,200,85.77831174616185
347,7,1,1.0,500,44.49966691996187
348,7,1,10.0,50,119.58791274674071
349,7,1,10.0,100,107.08713990408425
350,7,1,10.0,200,86.03110739976377
351,7,1,10.0,500,44.68248766552163
352,7,2,0.01,50,89.61746888594156
353,7,2,0.01,100,61.587856465588075
354,7,2,0.01,200,32.368447955295416
355,7,2,0.01,500,11.951907585828529
356,7,2,0.1,50,89.33032988248763
357,7,2,0.1,100,63.09822327399142
358,7,2,0.1,200,36.96949577707917
359,7,2,0.1,500,16.93164918639477
360,7,2,1.0,50,106.50405148961993
361,7,2,1.0,100,95.6594875003422
362,7,2,1.0,200,62.94687144145909
363,7,2,1.0,500,22.01467492765701
364,7,2,10.0,50,118.53022058846015
365,7,2,10.0,100,97.62455780671576
366,7,2,10.0,200,63.241378648944625
367,7,2,10.0,500,22.907320629875976
368,7,4,0.01,50,24.793349171026794
369,7,4,0.01,100,20.945722098580344
370,7,4,0.01,200,16.584713761783853
371,7,4,0.01,500,11.52985421186984
372,7,4,0.1,50,23.799584758566183
373,7,4,0.1,100,19.536323071625723
374,7,4,0.1,200,15.811923412319905
375,7,4,0.1,500,10.702365107605159
376,7,4,1.0,50,33.95548593639917
377,7,4,1.0,100,26.616604264802664
378,7,4,1.0,200,21.263695196953776
379,7,4,1.0,500,13.538065191782868
380,7,4,10.0,50,52.56957267142004
381,7,4,10.0,100,28.750416031190795
382,7,4,10.0,200,22.21493630602092
383,7,4,10.0,500,14.136630241157025
384,8,1,0.01,50,119.53732256454835
385,8,1,0.01,100,107.22283685823184
386,8,1,0.01,200,85.85596549403591
387,8,1,0.01,500,44.35017525897399
388,8,1,0.1,50,119.55476985336027
389,8,1,0.1,100,107.04539407427622
390,8,1,0.1,200,85.91174079052269
391,8,1,0.1,500,44.362973154940775
392,8,1,1.0,50,119.60842506435118
393,8,1,1.0,100,106.78739922657279
394,8,1,1.0,200,85.83046946022404
395,8,1,1.0,500,44.6139943204741
396,8,1,10.0,50,119.52977694532488
397,8,1,10.0,100,107.16777076765474
398,8,1,10.0,200,85.89543872575761
399,8,1,10.0,500,44.99882306573168
400,8,2,0.01,50,89.61670004747263
401,8,2,0.01,100,61.39888309618494
