rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,1,0.01,50,2,2,205.16751464226408
0,1,0.01,50,2,4,221.00784820326572
0,1,0.01,50,2,8,227.86008832713006
0,1,0.01,50,4,2,206.69436529827593
0,1,0.01,50,4,4,233.5100488808013
0,1,0.01,50,4,8,239.73626426992104
0,1,0.01,50,8,2,205.36261654817486
0,1,0.01,50,8,4,239.19818683051886
0,1,0.01,50,8,8,245.17086709904316
0,1,0.01,100,2,2,205.80884848795077
0,1,0.01,100,2,4,225.85108723221455
0,1,0.01,100,2,8,232.02499329836473
0,1,0.01,100,4,2,213.78083918776937
0,1,0.01,100,4,4,237.0604166854045
0,1,0.01,100,4,8,242.36225848179262
0,1,0.01,100,8,2,216.04183133694423
0,1,0.01,100,8,4,241.7707333042037
0,1,0.01,100,8,8,246.89793367506164
0,1,0.01,200,2,2,206.86529493357585
0,1,0.01,200,2,4,228.00783880879635
0,1,0.01,200,2,8,234.56731407618636
0,1,0.01,200,4,2,214.65548796996782
0,1,0.01,200,4,4,236.31507407630022
0,1,0.01,200,4,8,244.0050417660608
0,1,0.01,200,8,2,217.04700583163665
0,1,0.01,200,8,4,239.26288774113263
0,1,0.01,200,8,8,244.7133666493598
0,1,0.01,500,2,2,196.4385264967904
0,1,0.01,500,2,4,220.5779281413208
0,1,0.01,500,2,8,228.64234020116663
0,1,0.01,500,4,2,202.1652891621069
0,1,0.01,500,4,4,233.32814864892495
0,1,0.01,500,4,8,242.9773091683479
0,1,0.01,500,8,2,199.99568413846143
0,1,0.01,500,8,4,216.67965606584693
0,1,0.01,500,8,8,226.2051777736965
0,1,0.1,50,2,2,191.6344067379203
0,1,0.1,50,2,4,201.91442946158796
0,1,0.1,50,2,8,206.90244944114923
0,1,0.1,50,4,2,192.4329392182934
0,1,0.1,50,4,4,210.55794092883247
0,1,0.1,50,4,8,214.5959205989849
0,1,0.1,50,8,2,190.19045041416106
0,1,0.1,50,8,4,213.9560038983634
0,1,0.1,50,8,8,222.05996716399878
0,1,0.1,100,2,2,182.53106374915595
0,1,0.1,100,2,4,197.94397638516412
0,1,0.1,100,2,8,204.7110480774207
0,1,0.1,100,4,2,189.11103775313364
0,1,0.1,100,4,4,204.57630721365328
0,1,0.1,100,4,8,213.94171240958678
0,1,0.1,100,8,2,189.89680262360258
0,1,0.1,100,8,4,209.12655754900223
0,1,0.1,100,8,8,219.7107785042611
0,1,0.1,200,2,2,169.99428436544255
0,1,0.1,200,2,4,189.45773256719926
0,1,0.1,200,2,8,198.66685746757682
0,1,0.1,200,4,2,176.68877426351858
0,1,0.1,200,4,4,196.3501236843558
0,1,0.1,200,4,8,213.31705021804237
0,1,0.1,200,8,2,176.4646948498265
0,1,0.1,200,8,4,193.22030453933456
0,1,0.1,200,8,8,202.55598645918036
0,1,0.1,500,2,2,105.42428905888708
0,1,0.1,500,2,4,164.22591820487895
0,1,0.1,500,2,8,177.90465601359944
0,1,0.1,500,4,2,123.49883990959142
0,1,0.1,500,4,4,178.08063673668173
0,1,0.1,500,4,8,199.82598779883529
0,1,0.1,500,8,2,101.23047916942957
