,rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,0,1,0.001,100,1,1,2559.741326121101
1,0,1,0.001,100,1,3,2580.602191151983
2,0,1,0.001,100,2,1,577.9934594731487
3,0,1,0.001,100,2,3,2883.8599045846113
4,0,1,0.001,100,4,1,314.02900201448745
5,0,1,0.001,100,4,3,4745.062281526279
6,0,1,0.001,300,1,1,485.50716281733935
7,0,1,0.001,300,1,3,1089.062476283728
8,0,1,0.001,300,2,1,264.2992894152031
9,0,1,0.001,300,2,3,1696.1394664815757
10,0,1,0.001,300,4,1,281.5300083562754
11,0,1,0.001,300,4,3,2644.9491173387755
12,0,1,0.001,500,1,1,202.31034576122101
13,0,1,0.001,500,1,3,531.6789271305128
14,0,1,0.001,500,2,1,216.415329215162
15,0,1,0.001,500,2,3,1130.2776846019065
16,0,1,0.001,500,4,1,184.1102587023732
17,0,1,0.001,500,4,3,2031.4945527332031
18,0,1,0.01,100,1,1,1353.5611911145502
19,0,1,0.01,100,1,3,2581.162298600683
20,0,1,0.01,100,2,1,392.41529110856993
21,0,1,0.01,100,2,3,2787.34349393142
22,0,1,0.01,100,4,1,278.52423593424083
23,0,1,0.01,100,4,3,3155.051503049603
24,0,1,0.01,300,1,1,197.65596914476828
25,0,1,0.01,300,1,3,501.2087780592189
26,0,1,0.01,300,2,1,233.77428196399268
27,0,1,0.01,300,2,3,1203.0289153246906
28,0,1,0.01,300,4,1,216.07700820168077
29,0,1,0.01,300,4,3,2036.879115547817
30,0,1,0.01,500,1,1,150.7077379404273
31,0,1,0.01,500,1,3,422.394675680946
32,0,1,0.01,500,2,1,167.07729095918955
33,0,1,0.01,500,2,3,864.3691907219265
34,0,1,0.01,500,4,1,200.38024905617732
35,0,1,0.01,500,4,3,1489.1429996226111
36,0,2,0.001,100,1,1,472.59866105800586
37,0,2,0.001,100,1,3,512.5170144515433
38,0,2,0.001,100,2,1,228.10621843888333
39,0,2,0.001,100,2,3,1023.0594434679456
40,0,2,0.001,100,4,1,208.65419692946656
41,0,2,0.001,100,4,3,1156.1020417163338
42,0,2,0.001,300,1,1,111.73220339849735
43,0,2,0.001,300,1,3,335.8937067242744
44,0,2,0.001,300,2,1,124.71440280768745
