,rep,lv,alp,num_cell,cell_size,sparse_freq,error
0,0,1,0.001,50,1,1,3042.3752287455136
1,0,1,0.001,50,1,2,6580.876056043638
2,0,1,0.001,50,1,4,6841.1552656600625
3,0,1,0.001,50,1,6,7157.648009205037
4,0,1,0.001,50,1,8,7538.594242244217
5,0,1,0.001,50,2,1,4402.123084170251
6,0,1,0.001,50,2,2,3373.7101016085576
7,0,1,0.001,50,2,4,15167.74438158113
8,0,1,0.001,50,2,6,13437.04554269541
9,0,1,0.001,50,2,8,10815.976122112466
10,0,1,0.001,50,4,1,892.8963360176945
11,0,1,0.001,50,4,2,2501.738416497919
12,0,1,0.001,50,4,4,18890.56538075639
13,0,1,0.001,50,4,6,25334.879942039563
14,0,1,0.001,50,4,8,64149.52384912476
15,0,1,0.001,50,6,1,789.8373780261956
16,0,1,0.001,50,6,2,2057.440426143503
17,0,1,0.001,50,6,4,26623.27387523226
18,0,1,0.001,50,6,6,47346.921061551104
19,0,1,0.001,50,6,8,58796.12482308852
20,0,1,0.001,50,8,1,380.437124829018
21,0,1,0.001,50,8,2,2549.628717144555
22,0,1,0.001,50,8,4,29018.056122434875
23,0,1,0.001,50,8,6,74888.48473883347
24,0,1,0.001,50,8,8,99015.11813798122
25,0,1,0.001,100,1,1,1284.992854645392
26,0,1,0.001,100,1,2,2661.196538858744
27,0,1,0.001,100,1,4,4983.610965023002
28,0,1,0.001,100,1,6,3142.0137029926877
29,0,1,0.001,100,1,8,4117.071054581171
30,0,1,0.001,100,2,1,563.1620876900007
31,0,1,0.001,100,2,2,1797.1807449861021
32,0,1,0.001,100,2,4,6903.093036398463
33,0,1,0.001,100,2,6,9395.458220132075
34,0,1,0.001,100,2,8,13396.264493789562
35,0,1,0.001,100,4,1,490.83751372092433
36,0,1,0.001,100,4,2,2084.589415283599
37,0,1,0.001,100,4,4,30460.49046404136
38,0,1,0.001,100,4,6,45226.95229165784
39,0,1,0.001,100,4,8,45058.36638572458
40,0,1,0.001,100,6,1,336.29945155071044
41,0,1,0.001,100,6,2,2707.680008007181
42,0,1,0.001,100,6,4,33461.05621424172
43,0,1,0.001,100,6,6,53195.78326042655
44,0,1,0.001,100,6,8,74157.20224852601
45,0,1,0.001,100,8,1,303.1236820548828
46,0,1,0.001,100,8,2,2685.101742587637
47,0,1,0.001,100,8,4,40233.90708785379
48,0,1,0.001,100,8,6,72319.6815288383
49,0,1,0.001,100,8,8,119882.57570258352
50,0,1,0.001,200,1,1,765.5286562839982
51,0,1,0.001,200,1,2,1687.1530340544657
52,0,1,0.001,200,1,4,1549.9952891719265
53,0,1,0.001,200,1,6,1825.9976206361991
54,0,1,0.001,200,1,8,1283.136186620883
55,0,1,0.001,200,2,1,401.55244784689665
56,0,1,0.001,200,2,2,1685.1159349047998
57,0,1,0.001,200,2,4,6739.770585204224
58,0,1,0.001,200,2,6,9549.240114579181
59,0,1,0.001,200,2,8,11304.844608069432
60,0,1,0.001,200,4,1,329.6292244166622
61,0,1,0.001,200,4,2,3252.6267645079324
62,0,1,0.001,200,4,4,22389.766667648346
63,0,1,0.001,200,4,6,36666.479245535185
64,0,1,0.001,200,4,8,44516.00911634783
65,0,1,0.001,200,6,1,334.294805693396
66,0,1,0.001,200,6,2,3074.563480971102
67,0,1,0.001,200,6,4,43205.58489882028
68,0,1,0.001,200,6,6,61440.44493509792
69,0,1,0.001,200,6,8,68546.09341497898
70,0,1,0.001,200,8,1,329.4295258578344
71,0,1,0.001,200,8,2,3148.3461352955774
72,0,1,0.001,200,8,4,42429.212416239396
73,0,1,0.001,200,8,6,84121.8367031311
74,0,1,0.001,200,8,8,109054.79330020718
75,0,1,0.001,300,1,1,435.8270451842256
76,0,1,0.001,300,1,2,919.5414997109281
77,0,1,0.001,300,1,4,1154.8270040953328
78,0,1,0.001,300,1,6,1153.749265826757
79,0,1,0.001,300,1,8,1037.3599617733882
80,0,1,0.001,300,2,1,413.69235292138114
81,0,1,0.001,300,2,2,1236.5527108109861
82,0,1,0.001,300,2,4,5152.315775376358
83,0,1,0.001,300,2,6,8930.325220383742
84,0,1,0.001,300,2,8,8791.252564015645
85,0,1,0.001,300,4,1,303.22005190864746
86,0,1,0.001,300,4,2,1940.386187957412
87,0,1,0.001,300,4,4,18440.839049129852
88,0,1,0.001,300,4,6,25613.701957121903
89,0,1,0.001,300,4,8,26666.422121999985
90,0,1,0.001,300,6,1,283.9694406928506
91,0,1,0.001,300,6,2,2332.595606807143
92,0,1,0.001,300,6,4,26389.207617741013
93,0,1,0.001,300,6,6,47034.8613984443
94,0,1,0.001,300,6,8,58418.298404814355
95,0,1,0.001,300,8,1,297.59298290690884
96,0,1,0.001,300,8,2,2186.815741155106
97,0,1,0.001,300,8,4,39403.8558954935
98,0,1,0.001,300,8,6,80193.23859580683
99,0,1,0.001,300,8,8,86871.94734999408
100,0,1,0.001,500,1,1,213.52947399060506
101,0,1,0.001,500,1,2,524.1938970053242
102,0,1,0.001,500,1,4,611.7011332760745
103,0,1,0.001,500,1,6,812.9183764084089
104,0,1,0.001,500,1,8,805.349599361006
105,0,1,0.001,500,2,1,233.12138545026875
106,0,1,0.001,500,2,2,1054.0737259746377
107,0,1,0.001,500,2,4,2116.5816017334864
108,0,1,0.001,500,2,6,3127.1481751297083
109,0,1,0.001,500,2,8,3649.044956386968
110,0,1,0.001,500,4,1,235.227561399962
111,0,1,0.001,500,4,2,1424.8038575756896
112,0,1,0.001,500,4,4,5391.193522962839
113,0,1,0.001,500,4,6,10590.833305073096
114,0,1,0.001,500,4,8,15814.311456372565
115,0,1,0.001,500,6,1,216.32135122339884
116,0,1,0.001,500,6,2,1684.9013312520544
117,0,1,0.001,500,6,4,9867.630330616068
118,0,1,0.001,500,6,6,19876.713097376898
119,0,1,0.001,500,6,8,25582.09827486895
120,0,1,0.001,500,8,1,223.05972670417205
121,0,1,0.001,500,8,2,1722.819936103001
122,0,1,0.001,500,8,4,9805.631314034172
123,0,1,0.001,500,8,6,13773.328782445893
124,0,1,0.001,500,8,8,19217.73281461981
125,0,1,0.01,50,1,1,3290.2710509077774
126,0,1,0.01,50,1,2,4402.1692957558935
127,0,1,0.01,50,1,4,3841.8080619613015
128,0,1,0.01,50,1,6,4352.518763308073
129,0,1,0.01,50,1,8,5290.843609828256
130,0,1,0.01,50,2,1,1151.0876077424232
131,0,1,0.01,50,2,2,2393.257198128919
132,0,1,0.01,50,2,4,4706.612755002764
133,0,1,0.01,50,2,6,8897.053030170986
134,0,1,0.01,50,2,8,5880.702843869146
135,0,1,0.01,50,4,1,480.1909830512242
136,0,1,0.01,50,4,2,1323.8809028389564
