,rep,lv,alp,num_cell,error
0,0,1,0.001,50,202.69484236033495
1,0,1,0.001,100,169.63777140611316
2,0,1,0.001,200,142.31480903399836
3,0,1,0.001,300,111.35523155288905
4,0,1,0.001,500,84.4172045510338
5,0,1,0.01,50,191.6164850412533
6,0,1,0.01,100,160.78873531868228
7,0,1,0.01,200,134.31751198730663
8,0,1,0.01,300,108.08751149844574
9,0,1,0.01,500,84.97176320857034
10,0,1,0.1,50,158.47773072633254
11,0,1,0.1,100,141.57057065144798
12,0,1,0.1,200,123.18829722014068
13,0,1,0.1,300,100.0267962217131
14,0,1,0.1,500,59.396376203988616
15,0,1,1.0,50,156.49336657769408
16,0,1,1.0,100,145.2362017894357
17,0,1,1.0,200,137.82441954756445
18,0,1,1.0,300,121.22426476056854
19,0,1,1.0,500,67.13211539671661
20,0,1,10.0,50,168.5872453601513
21,0,1,10.0,100,156.71980201961333
22,0,1,10.0,200,147.76125716339732
23,0,1,10.0,300,126.18266945701859
24,0,1,10.0,500,84.66968604990092
25,0,1,100.0,50,157.30951710997334
26,0,1,100.0,100,143.73210571587842
27,0,1,100.0,200,136.66767798205086
28,0,1,100.0,300,128.3987765388227
29,0,1,100.0,500,109.34904692185413
30,0,1,1000.0,50,156.51164235668998
31,0,1,1000.0,100,144.03151746021032
32,0,1,1000.0,200,145.00621286475317
33,0,1,1000.0,300,145.78164036210686
34,0,1,1000.0,500,145.78164036210686
35,0,2,0.001,50,173.05324312246378
36,0,2,0.001,100,123.0041722818002
37,0,2,0.001,200,83.30401124697447
38,0,2,0.001,300,69.72113112376746
39,0,2,0.001,500,47.52912884897122
40,0,2,0.01,50,149.25570021621843
41,0,2,0.01,100,119.33828480263999
42,0,2,0.01,200,80.33342322144284
43,0,2,0.01,300,73.79260877664628
44,0,2,0.01,500,43.97262183175914
45,0,2,0.1,50,129.60676012680477
46,0,2,0.1,100,103.18114036488923
47,0,2,0.1,200,65.76399948012572
48,0,2,0.1,300,41.93340429235617
49,0,2,0.1,500,24.885789630479998
50,0,2,1.0,50,138.17587215437328
51,0,2,1.0,100,125.05728830525551
52,0,2,1.0,200,91.83096932394162
53,0,2,1.0,300,59.15097039111576
54,0,2,1.0,500,22.39253094092734
55,0,2,10.0,50,161.4081130693272
56,0,2,10.0,100,154.42860267665353
57,0,2,10.0,200,97.35509795607823
58,0,2,10.0,300,48.82081873251983
59,0,2,10.0,500,25.001973519199737
60,0,2,100.0,50,153.35621896922584
61,0,2,100.0,100,147.27875266853815
62,0,2,100.0,200,110.51266885865326
63,0,2,100.0,300,80.22692553085477
64,0,2,100.0,500,46.92624609533329
65,0,2,1000.0,50,150.35402786869184
66,0,2,1000.0,100,143.77311111319062
67,0,2,1000.0,200,140.40825258208645
68,0,2,1000.0,300,145.38721676377145
69,0,2,1000.0,500,144.76476094499586
70,0,4,0.001,50,44.49792837292454
71,0,4,0.001,100,42.80725092133819
72,0,4,0.001,200,37.76720546691045
73,0,4,0.001,300,34.758476315309636
74,0,4,0.001,500,32.698110175345576
75,0,4,0.01,50,50.47163240397101
76,0,4,0.01,100,48.31419403456333
77,0,4,0.01,200,32.93927162568014
78,0,4,0.01,300,28.206157526866086
79,0,4,0.01,500,19.548252418581566
80,0,4,0.1,50,46.064192392105696
81,0,4,0.1,100,48.87053506225701
82,0,4,0.1,200,30.123436856119817
83,0,4,0.1,300,25.179287548837728
84,0,4,0.1,500,17.39182747829379
85,0,4,1.0,50,114.34681168266462
86,0,4,1.0,100,104.53181950173183
87,0,4,1.0,200,42.43739380171494
88,0,4,1.0,300,26.52734628063432
89,0,4,1.0,500,21.681663040942325
90,0,4,10.0,50,138.28471736941856
91,0,4,10.0,100,125.84239402445023
92,0,4,10.0,200,45.79287150877511
93,0,4,10.0,300,29.42179318601239
94,0,4,10.0,500,22.063707240739266
95,0,4,100.0,50,154.43521546677673
96,0,4,100.0,100,122.28612006679174
97,0,4,100.0,200,53.597208563580764
98,0,4,100.0,300,41.00797220015451
99,0,4,100.0,500,33.98923544397576
100,0,4,1000.0,50,135.37126906341598
101,0,4,1000.0,100,130.719746377221
102,0,4,1000.0,200,134.53367645893132
103,0,4,1000.0,300,131.85987896728236
104,0,4,1000.0,500,125.29891397810752
105,1,1,0.001,50,189.99426813712515
106,1,1,0.001,100,181.77781595554188
107,1,1,0.001,200,139.46835699205894
108,1,1,0.001,300,124.0737510323002
109,1,1,0.001,500,86.73013061437025
110,1,1,0.01,50,193.51179735563136
111,1,1,0.01,100,181.07239770916428
112,1,1,0.01,200,136.41155395302317
113,1,1,0.01,300,114.81312464409545
114,1,1,0.01,500,78.02402481691009
115,1,1,0.1,50,157.5680616770843
116,1,1,0.1,100,144.0734004384437
117,1,1,0.1,200,122.44653897341317
118,1,1,0.1,300,98.75602860669845
119,1,1,0.1,500,58.624391965747705
120,1,1,1.0,50,145.83791157388816
121,1,1,1.0,100,145.69664317594996
122,1,1,1.0,200,135.7041735040165
123,1,1,1.0,300,118.75389542293058
124,1,1,1.0,500,73.96021653041858
125,1,1,10.0,50,157.73282436887177
126,1,1,10.0,100,153.7212385521254
127,1,1,10.0,200,144.34857683122618
128,1,1,10.0,300,129.5792436102124
129,1,1,10.0,500,80.11981689970496
130,1,1,100.0,50,166.95766496160653
131,1,1,100.0,100,155.64364357896363
132,1,1,100.0,200,143.24495259826247
133,1,1,100.0,300,131.41669410743478
134,1,1,100.0,500,99.19159339689594
135,1,1,1000.0,50,145.2297220897539
136,1,1,1000.0,100,144.34461730623374
137,1,1,1000.0,200,145.78164036210686
138,1,1,1000.0,300,145.78164036210686
139,1,1,1000.0,500,145.78164036210686
140,1,2,0.001,50,137.57120664251954
141,1,2,0.001,100,110.13649034491227
142,1,2,0.001,200,87.35982236493302
143,1,2,0.001,300,78.2585994285565
144,1,2,0.001,500,47.555571702503094
145,1,2,0.01,50,148.5961850850813
146,1,2,0.01,100,116.63306366061279
147,1,2,0.01,200,89.94310542191333
148,1,2,0.01,300,58.757241121379465
149,1,2,0.01,500,50.514874320708664
150,1,2,0.1,50,127.7017422441078
151,1,2,0.1,100,105.47779194527286
152,1,2,0.1,200,80.4189202640589
153,1,2,0.1,300,48.40429922544775
154,1,2,0.1,500,22.693656936200306
155,1,2,1.0,50,139.47427725510303
156,1,2,1.0,100,124.06553452820616
157,1,2,1.0,200,89.73029977189411
158,1,2,1.0,300,57.36884182750838
159,1,2,1.0,500,24.323273929531823
160,1,2,10.0,50,157.94536020061562
161,1,2,10.0,100,144.28077609083147
162,1,2,10.0,200,108.6927180639828
163,1,2,10.0,300,52.430271675550145
164,1,2,10.0,500,24.67429639287884
165,1,2,100.0,50,158.20369156585807
166,1,2,100.0,100,140.25169134877322
167,1,2,100.0,200,115.2421392508908
168,1,2,100.0,300,84.73307847757297
169,1,2,100.0,500,42.92781297770846
170,1,2,1000.0,50,149.0208132605453
171,1,2,1000.0,100,146.88819099467005
172,1,2,1000.0,200,144.1530842519308
173,1,2,1000.0,300,141.14102782249796
174,1,2,1000.0,500,145.7191314107884
175,1,4,0.001,50,56.8132496853005
176,1,4,0.001,100,58.43015316241367
177,1,4,0.001,200,36.819425881307026
178,1,4,0.001,300,29.081088764753666
179,1,4,0.001,500,24.283742726462478
180,1,4,0.01,50,69.21259270245938
181,1,4,0.01,100,38.431765689218444
182,1,4,0.01,200,42.639024497826526
183,1,4,0.01,300,34.483644965794866
184,1,4,0.01,500,21.274464821039512
185,1,4,0.1,50,49.72583457603021
186,1,4,0.1,100,38.3985303910667
187,1,4,0.1,200,28.343784213837896
188,1,4,0.1,300,28.374152565115352
189,1,4,0.1,500,17.314479692128707
190,1,4,1.0,50,106.98474578541399
191,1,4,1.0,100,77.01271294850403
192,1,4,1.0,200,45.118976708529196
193,1,4,1.0,300,32.39383749248329
194,1,4,1.0,500,20.804987598807294
195,1,4,10.0,50,157.82507463643373
196,1,4,10.0,100,104.7861935442004
197,1,4,10.0,200,42.869128928521896
198,1,4,10.0,300,31.7360156847809
199,1,4,10.0,500,22.095969871015498
200,1,4,100.0,50,138.77858635717888
201,1,4,100.0,100,111.93824134543522
202,1,4,100.0,200,46.763866172375586
203,1,4,100.0,300,36.80392644220168
204,1,4,100.0,500,34.8183890085372
205,1,4,1000.0,50,128.4799274680967
206,1,4,1000.0,100,130.04874850954786
207,1,4,1000.0,200,132.2535011465618
208,1,4,1000.0,300,122.75533904040863
209,1,4,1000.0,500,129.70628094459178
210,2,1,0.001,50,194.12781527743826
211,2,1,0.001,100,156.05958390286952
212,2,1,0.001,200,146.0766289071873
213,2,1,0.001,300,120.71974742262277
214,2,1,0.001,500,78.31699962796463
215,2,1,0.01,50,193.412649882573
216,2,1,0.01,100,159.22010915377467
217,2,1,0.01,200,134.67711715778307
218,2,1,0.01,300,110.078555674143
219,2,1,0.01,500,77.85417118514964
220,2,1,0.1,50,169.1975581439081
221,2,1,0.1,100,149.4893602062544
222,2,1,0.1,200,116.40274828327351
223,2,1,0.1,300,99.574114897137
224,2,1,0.1,500,61.339847044036766
225,2,1,1.0,50,141.69651692760812
226,2,1,1.0,100,148.16353182699658
227,2,1,1.0,200,130.50295982548016
228,2,1,1.0,300,120.2536364557267
229,2,1,1.0,500,73.32207471679246
230,2,1,10.0,50,150.45594414472103
231,2,1,10.0,100,158.37233251989008
232,2,1,10.0,200,148.24240359805125
233,2,1,10.0,300,127.37175587777695
234,2,1,10.0,500,86.550211562668
235,2,1,100.0,50,153.39687935497832
236,2,1,100.0,100,158.89628133906402
237,2,1,100.0,200,147.23658544742958
238,2,1,100.0,300,132.29930447145352
239,2,1,100.0,500,102.12123484656288
240,2,1,1000.0,50,149.57201801173704
241,2,1,1000.0,100,144.0014605445791
242,2,1,1000.0,200,144.95958674005848
243,2,1,1000.0,300,145.78164036210686
244,2,1,1000.0,500,145.78164036210686
245,2,2,0.001,50,147.8776020073471
246,2,2,0.001,100,127.72297934181861
247,2,2,0.001,200,75.57168903621269
248,2,2,0.001,300,75.6766886226429
249,2,2,0.001,500,51.08418589337357
250,2,2,0.01,50,134.26250003673596
251,2,2,0.01,100,132.93657840157564
252,2,2,0.01,200,83.42224254197224
253,2,2,0.01,300,66.85169928505614
254,2,2,0.01,500,46.89211742717556
255,2,2,0.1,50,123.65666627405689
256,2,2,0.1,100,115.09794641035639
257,2,2,0.1,200,73.36779376976061
258,2,2,0.1,300,43.71234821220744
259,2,2,0.1,500,22.254848065711066
260,2,2,1.0,50,142.03986334227932
261,2,2,1.0,100,129.6255456252308
262,2,2,1.0,200,87.77866492952381
263,2,2,1.0,300,45.58999083548432
264,2,2,1.0,500,24.589156835934084
265,2,2,10.0,50,149.91946782435235
266,2,2,10.0,100,158.4089942942316
267,2,2,10.0,200,97.63204982695225
268,2,2,10.0,300,65.89638901423815
269,2,2,10.0,500,22.379568651914024
270,2,2,100.0,50,160.33078936504478
271,2,2,100.0,100,145.52281769366152
272,2,2,100.0,200,110.24279558049052
273,2,2,100.0,300,74.77822412584528
274,2,2,100.0,500,50.136416739000715
275,2,2,1000.0,50,143.87678719795187
276,2,2,1000.0,100,145.51370787684723
277,2,2,1000.0,200,142.69102098469497
278,2,2,1000.0,300,145.32934234263593
279,2,2,1000.0,500,144.51838902740448
280,2,4,0.001,50,49.82360295297585
281,2,4,0.001,100,49.2594714682781
282,2,4,0.001,200,34.42864882482976
283,2,4,0.001,300,38.98224510700603
284,2,4,0.001,500,28.727406935892443
285,2,4,0.01,50,56.664186779099005
286,2,4,0.01,100,36.045890289986694
287,2,4,0.01,200,31.529942928524104
288,2,4,0.01,300,36.49055468335807
289,2,4,0.01,500,23.718372417981893
290,2,4,0.1,50,52.854168731832225
291,2,4,0.1,100,40.76561624384143
292,2,4,0.1,200,35.55077256217323
293,2,4,0.1,300,27.387880587582433
294,2,4,0.1,500,18.276624591688698
295,2,4,1.0,50,110.46622657649739
296,2,4,1.0,100,60.778083539115464
297,2,4,1.0,200,40.45961602309617
298,2,4,1.0,300,29.980132180570333
299,2,4,1.0,500,19.268815992516462
300,2,4,10.0,50,140.11156002660468
301,2,4,10.0,100,115.18542742081878
302,2,4,10.0,200,39.426577222216515
303,2,4,10.0,300,29.937498540448782
304,2,4,10.0,500,21.723937141167163
305,2,4,100.0,50,158.0537358202636
306,2,4,100.0,100,105.28552535078505
307,2,4,100.0,200,49.93784870833817
308,2,4,100.0,300,41.070119488166306
309,2,4,100.0,500,35.21793787294213
310,2,4,1000.0,50,140.3890799369598
311,2,4,1000.0,100,121.37764410145853
312,2,4,1000.0,200,131.2891463251462
313,2,4,1000.0,300,130.68957245321872
314,2,4,1000.0,500,125.49202278173667
315,3,1,0.001,50,178.35234817216815
316,3,1,0.001,100,165.17562541105133
317,3,1,0.001,200,148.14163710195365
318,3,1,0.001,300,123.74741561054891
319,3,1,0.001,500,84.39858334603433
320,3,1,0.01,50,193.5461742217326
321,3,1,0.01,100,158.29080746793394
322,3,1,0.01,200,137.6362306300216
323,3,1,0.01,300,108.2448359130515
324,3,1,0.01,500,74.5602932709411
325,3,1,0.1,50,156.79819530542417
326,3,1,0.1,100,138.2066953214267
327,3,1,0.1,200,112.49829934196298
328,3,1,0.1,300,92.94469210869957
329,3,1,0.1,500,69.01941992462251
330,3,1,1.0,50,161.64129172791635
331,3,1,1.0,100,152.07583564790278
332,3,1,1.0,200,135.01750724325245
333,3,1,1.0,300,117.33070321746048
334,3,1,1.0,500,85.68847048352002
335,3,1,10.0,50,160.88743221491578
336,3,1,10.0,100,160.96083334136705
337,3,1,10.0,200,143.42117956260412
338,3,1,10.0,300,131.78482321907643
339,3,1,10.0,500,78.29130595482049
340,3,1,100.0,50,150.58606173994815
341,3,1,100.0,100,151.3378477051786
342,3,1,100.0,200,136.66543816736737
343,3,1,100.0,300,127.67356612170043
344,3,1,100.0,500,102.57391466613835
345,3,1,1000.0,50,151.67217252052896
346,3,1,1000.0,100,145.5932103590815
347,3,1,1000.0,200,145.5294359549878
348,3,1,1000.0,300,145.70726678108883
349,3,1,1000.0,500,145.78164036210686
350,3,2,0.001,50,128.33766555421593
351,3,2,0.001,100,127.159719674336
352,3,2,0.001,200,89.9726026186626
353,3,2,0.001,300,75.39379190594968
354,3,2,0.001,500,50.246278265329025
355,3,2,0.01,50,145.852765368393
356,3,2,0.01,100,125.46492968238503
357,3,2,0.01,200,76.1047660086626
358,3,2,0.01,300,72.08205303888124
359,3,2,0.01,500,50.482992465071284
360,3,2,0.1,50,121.28377156098041
361,3,2,0.1,100,90.997042141641
362,3,2,0.1,200,67.17993749062204
363,3,2,0.1,300,47.53565250620973
364,3,2,0.1,500,26.616175153301437
365,3,2,1.0,50,135.89682675723677
366,3,2,1.0,100,124.16059103754675
367,3,2,1.0,200,94.69445771191482
368,3,2,1.0,300,40.011714286913836
369,3,2,1.0,500,21.52652704454152
370,3,2,10.0,50,157.50674096827362
371,3,2,10.0,100,154.717112307142
372,3,2,10.0,200,128.64753912476434
373,3,2,10.0,300,56.10305661595796
374,3,2,10.0,500,25.292676303112113
375,3,2,100.0,50,148.71277783834205
376,3,2,100.0,100,148.79453628083124
377,3,2,100.0,200,113.64582822724252
378,3,2,100.0,300,65.11053699129099
379,3,2,100.0,500,46.04952640405721
380,3,2,1000.0,50,147.97141995029017
381,3,2,1000.0,100,143.09135889364313
382,3,2,1000.0,200,139.34710100139776
383,3,2,1000.0,300,139.29573286692965
384,3,2,1000.0,500,145.54634026737918
385,3,4,0.001,50,49.10291346923713
386,3,4,0.001,100,49.8828543597161
387,3,4,0.001,200,43.53194718652091
388,3,4,0.001,300,37.08783418030214
389,3,4,0.001,500,28.035846790587346
390,3,4,0.01,50,43.14774081048533
