,rep,lv,alp,num_cell,error
0,0,1,0.001,100,117.4846233637826
1,0,1,0.001,300,82.54796405017677
2,0,1,0.001,500,49.75044564939818
3,0,1,0.01,100,116.93201725568792
4,0,1,0.01,300,77.62112627710884
5,0,1,0.01,500,52.02745386660956
6,0,2,0.001,100,88.44503934488397
7,0,2,0.001,300,30.749403135755305
8,0,2,0.001,500,28.29807519758401
9,0,2,0.01,100,77.39645557295495
10,0,2,0.01,300,33.11372852730087
11,0,2,0.01,500,27.54447040101759
12,0,4,0.001,100,40.06173975778036
13,0,4,0.001,300,32.52791438654213
14,0,4,0.001,500,28.760351122051137
15,0,4,0.01,100,41.807641843959736
16,0,4,0.01,300,31.327093510439614
17,0,4,0.01,500,29.92645828962113
18,1,1,0.001,100,117.58613296336095
19,1,1,0.001,300,82.91204280870635
20,1,1,0.001,500,51.64170447300505
21,1,1,0.01,100,117.7842959090699
22,1,1,0.01,300,81.91292224871981
23,1,1,0.01,500,52.239086530600005
24,1,2,0.001,100,79.59233328304734
25,1,2,0.001,300,32.080548651871126
26,1,2,0.001,500,30.146241347130747
27,1,2,0.01,100,69.99915350139678
28,1,2,0.01,300,34.02777680419391
29,1,2,0.01,500,25.18430203514389
30,1,4,0.001,100,45.355694196490084
31,1,4,0.001,300,33.10807028523943
32,1,4,0.001,500,24.469939170377295
33,1,4,0.01,100,48.552484607311676
34,1,4,0.01,300,30.554394059883403
35,1,4,0.01,500,31.345278710828303
36,2,1,0.001,100,116.77741352077432
37,2,1,0.001,300,82.93077824797821
38,2,1,0.001,500,52.15665465939733
39,2,1,0.01,100,116.43788779779426
40,2,1,0.01,300,77.34793219868708
41,2,1,0.01,500,50.053481646192594
42,2,2,0.001,100,71.69149232071865
43,2,2,0.001,300,35.82132415199264
44,2,2,0.001,500,24.57594331974838
45,2,2,0.01,100,84.11806914167697
46,2,2,0.01,300,35.408835016359944
47,2,2,0.01,500,25.112771215690536
48,2,4,0.001,100,46.96481750249085
49,2,4,0.001,300,31.74106209142043
50,2,4,0.001,500,28.256266883876584
51,2,4,0.01,100,39.40496798036225
52,2,4,0.01,300,32.16410633706563
53,2,4,0.01,500,27.447590028405962
54,3,1,0.001,100,120.52596233970603
55,3,1,0.001,300,77.68236870509337
56,3,1,0.001,500,50.66090704416204
57,3,1,0.01,100,118.07685471798149
58,3,1,0.01,300,74.52978258424405
59,3,1,0.01,500,51.42297958348585
60,3,2,0.001,100,88.40595824990456
61,3,2,0.001,300,37.03656177794513
62,3,2,0.001,500,23.626861886197688
63,3,2,0.01,100,71.98490224861918
64,3,2,0.01,300,36.39509551386629
65,3,2,0.01,500,25.056757669563847
66,3,4,0.001,100,40.48770163198271
67,3,4,0.001,300,33.26908229204674
68,3,4,0.001,500,25.730225193367385
69,3,4,0.01,100,45.72297706266206
70,3,4,0.01,300,32.093226470315216
71,3,4,0.01,500,29.567833264697708
72,4,1,0.001,100,114.89938249246717
73,4,1,0.001,300,80.27349916056365
74,4,1,0.001,500,47.200524697040876
75,4,1,0.01,100,123.81473481856409
76,4,1,0.01,300,85.71000639482227
77,4,1,0.01,500,49.6053536384615
78,4,2,0.001,100,68.74180682539978
79,4,2,0.001,300,27.06402908693496
80,4,2,0.001,500,25.649859661744284
81,4,2,0.01,100,73.70740362846436
82,4,2,0.01,300,31.06556393701945
83,4,2,0.01,500,25.32539879573392
84,4,4,0.001,100,43.145972984090264
85,4,4,0.001,300,34.608657639202804
86,4,4,0.001,500,26.801003221308708
87,4,4,0.01,100,43.846271983572
88,4,4,0.01,300,38.54366832577046
89,4,4,0.01,500,29.176825464549303
90,5,1,0.001,100,116.57098052189427
91,5,1,0.001,300,79.76333965292591
92,5,1,0.001,500,53.64846599435496
93,5,1,0.01,100,112.83515257662755
94,5,1,0.01,300,78.33704498591338
95,5,1,0.01,500,59.78709541987251
96,5,2,0.001,100,82.37965259852584
97,5,2,0.001,300,43.489256887299504
98,5,2,0.001,500,24.481595443121662
99,5,2,0.01,100,70.80278319890168
100,5,2,0.01,300,34.61079031622287
101,5,2,0.01,500,23.135020881463085
102,5,4,0.001,100,40.815405706670916
103,5,4,0.001,300,32.13565175556559
104,5,4,0.001,500,28.095069665186163
105,5,4,0.01,100,46.62809418006636
106,5,4,0.01,300,35.267768996651895
107,5,4,0.01,500,27.582446893681933
108,6,1,0.001,100,117.21500974654467
109,6,1,0.001,300,73.9253290733463
110,6,1,0.001,500,49.30933954155727
111,6,1,0.01,100,120.34637960973338
112,6,1,0.01,300,74.90345804638781
113,6,1,0.01,500,58.103569055102184
114,6,2,0.001,100,72.53949094019048
115,6,2,0.001,300,29.58881028778366
116,6,2,0.001,500,26.056230572712064
117,6,2,0.01,100,77.49887192022813
118,6,2,0.01,300,29.671156555841854
119,6,2,0.01,500,27.928017681666866
120,6,4,0.001,100,42.26358670183153
121,6,4,0.001,300,36.06247899036022
122,6,4,0.001,500,27.01584326030168
123,6,4,0.01,100,44.61489428582982
124,6,4,0.01,300,32.15551427352221
125,6,4,0.01,500,32.64028189541298
126,7,1,0.001,100,116.81105619112141
127,7,1,0.001,300,82.07098311324577
128,7,1,0.001,500,53.03856884195259
129,7,1,0.01,100,118.21402871030124
130,7,1,0.01,300,78.99736403943184
131,7,1,0.01,500,54.977070783136135
132,7,2,0.001,100,73.32124897435305
133,7,2,0.001,300,27.801723002838894
134,7,2,0.001,500,25.321614937564863
135,7,2,0.01,100,70.39150563043614
136,7,2,0.01,300,37.35015952853682
137,7,2,0.01,500,23.659688982784076
138,7,4,0.001,100,41.24293504443577
139,7,4,0.001,300,30.55699453761107
140,7,4,0.001,500,26.758865398723113
141,7,4,0.01,100,43.20472590545911
142,7,4,0.01,300,35.879013672986744
143,7,4,0.01,500,27.121249072835433
144,8,1,0.001,100,121.04963828756708
145,8,1,0.001,300,77.20070489843424
146,8,1,0.001,500,50.277155845342264
147,8,1,0.01,100,118.90457318216588
148,8,1,0.01,300,78.09814639133765
149,8,1,0.01,500,60.05004713925193
150,8,2,0.001,100,78.82348143299892
151,8,2,0.001,300,31.871255495613855
152,8,2,0.001,500,25.317697317309193
153,8,2,0.01,100,63.92335748648553
154,8,2,0.01,300,43.68605307515606
155,8,2,0.01,500,23.547656853622964
156,8,4,0.001,100,44.12730549224533
157,8,4,0.001,300,33.28240850198766
158,8,4,0.001,500,27.9408291257983
159,8,4,0.01,100,47.80591447823803
160,8,4,0.01,300,32.75511607495783
