,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,102.78226489857772
1,0,100,2,2,0.001,1744.4218345957477
2,0,100,2,5,0.001,2484.4663735507643
3,0,100,5,1,0.001,110.7744851542995
4,0,100,5,2,0.001,2128.5156173894807
5,0,100,5,5,0.001,6931.588331379432
6,0,100,7,1,0.001,115.22346252143537
7,0,100,7,2,0.001,1616.946437255285
8,0,100,7,5,0.001,7781.641563053676
9,0,200,2,1,0.001,120.85220494498259
10,0,200,2,2,0.001,1290.575888583873
11,0,200,2,5,0.001,3241.286822140066
12,0,200,5,1,0.001,131.57230458965108
13,0,200,5,2,0.001,1624.0824297187644
14,0,200,5,5,0.001,7021.322404582423
15,0,200,7,1,0.001,120.40260720732799
16,0,200,7,2,0.001,1453.5550755381232
17,0,200,7,5,0.001,7709.606767306209
18,0,500,2,1,0.001,136.63473026817547
19,0,500,2,2,0.001,895.5519031480725
20,0,500,2,5,0.001,1357.2276588504908
21,0,500,5,1,0.001,125.42206577299608
22,0,500,5,2,0.001,1627.5371881497033
23,0,500,5,5,0.001,2509.0438723706898
24,0,500,7,1,0.001,154.08989743177708
25,0,500,7,2,0.001,1482.8462618181532
26,0,500,7,5,0.001,4079.696448732247
27,0,100,2,1,0.01,117.20959950718273
28,0,100,2,2,0.01,572.8413684841797
29,0,100,2,5,0.01,1146.4206821899675
30,0,100,5,1,0.01,117.75615350521045
31,0,100,5,2,0.01,383.0577782435446
32,0,100,5,5,0.01,2322.552893135838
33,0,100,7,1,0.01,107.53463845646989
34,0,100,7,2,0.01,970.1636731834689
35,0,100,7,5,0.01,1792.876330380934
36,0,200,2,1,0.01,81.14119339899136
37,0,200,2,2,0.01,314.5250189151256
38,0,200,2,5,0.01,1190.4557605737052
39,0,200,5,1,0.01,91.62755333951084
40,0,200,5,2,0.01,369.45906163885735
41,0,200,5,5,0.01,2167.187576277229
42,0,200,7,1,0.01,93.35336731612688
43,0,200,7,2,0.01,361.2533513878976
44,0,200,7,5,0.01,1436.6770088374774
45,0,500,2,1,0.01,48.34614891670908
46,0,500,2,2,0.01,35.019996553926305
47,0,500,2,5,0.01,21.409693204447983
48,0,500,5,1,0.01,52.13656269261092
49,0,500,5,2,0.01,12.452944486202181
50,0,500,5,5,0.01,20.510570141492813
51,0,500,7,1,0.01,60.888264570929564
52,0,500,7,2,0.01,12.791673210015963
53,0,500,7,5,0.01,19.091152604535427
54,0,100,2,1,0.1,50.92713107718432
55,0,100,2,2,0.1,72.14366031963655
56,0,100,2,5,0.1,156.65590214865185
57,0,100,5,1,0.1,53.586144049559394
58,0,100,5,2,0.1,52.678812742569924
59,0,100,5,5,0.1,32.8363333088345
60,0,100,7,1,0.1,67.35953402769896
61,0,100,7,2,0.1,81.77013518212121
62,0,100,7,5,0.1,23.669224380542367
63,0,200,2,1,0.1,32.60536765521778
64,0,200,2,2,0.1,61.70819244329655
65,0,200,2,5,0.1,26.30609858441829
66,0,200,5,1,0.1,34.656221752342184
67,0,200,5,2,0.1,24.32786657773045
68,0,200,5,5,0.1,21.615660235093056
69,0,200,7,1,0.1,29.724499845723447
70,0,200,7,2,0.1,20.867967561171263
71,0,200,7,5,0.1,21.917191786052573
72,0,500,2,1,0.1,15.617689390352533
73,0,500,2,2,0.1,13.34315250360168
74,0,500,2,5,0.1,18.11656872565839
75,0,500,5,1,0.1,13.880048823186511
76,0,500,5,2,0.1,14.646770157510572
77,0,500,5,5,0.1,21.306837224983095
78,0,500,7,1,0.1,13.584178535954054
79,0,500,7,2,0.1,14.67176533266096
80,0,500,7,5,0.1,21.395908223271444
81,0,100,2,1,1.0,33.351143963528635
82,0,100,2,2,1.0,28.298280700430404
83,0,100,2,5,1.0,27.0403314850426
84,0,100,5,1,1.0,31.687685485213702
85,0,100,5,2,1.0,29.609082953224277
86,0,100,5,5,1.0,22.772474138142847
87,0,100,7,1,1.0,29.602476087771016
88,0,100,7,2,1.0,24.432465755602582
89,0,100,7,5,1.0,23.706395729511726
90,0,200,2,1,1.0,23.91173039972122
91,0,200,2,2,1.0,20.451132704340328
92,0,200,2,5,1.0,20.913817883350802
93,0,200,5,1,1.0,23.754965082517693
94,0,200,5,2,1.0,19.70736527599969
95,0,200,5,5,1.0,22.729431030109858
96,0,200,7,1,1.0,25.888715696947326
97,0,200,7,2,1.0,19.556971373405666
98,0,200,7,5,1.0,23.13205160645098
99,0,500,2,1,1.0,14.086917948711273
100,0,500,2,2,1.0,15.452164442319988
101,0,500,2,5,1.0,19.68417678991379
102,0,500,5,1,1.0,13.762011870288411
103,0,500,5,2,1.0,17.301660930003305
104,0,500,5,5,1.0,22.50177167330672
105,0,500,7,1,1.0,13.753034487941141
106,0,500,7,2,1.0,17.535755151262116
107,0,500,7,5,1.0,22.749288079114635
108,0,100,2,1,10.0,31.353046085937283
109,0,100,2,2,10.0,27.428397066821102
110,0,100,2,5,10.0,25.458771610146876
111,0,100,5,1,10.0,32.31320250913227
112,0,100,5,2,10.0,24.717032350219544
113,0,100,5,5,10.0,24.387953326213378
114,0,100,7,1,10.0,30.473525604750566
115,0,100,7,2,10.0,23.189877815055624
116,0,100,7,5,10.0,24.846699576780086
117,0,200,2,1,10.0,24.75003599467534
118,0,200,2,2,10.0,21.15991757538514
119,0,200,2,5,10.0,22.1021618123737
120,0,200,5,1,10.0,22.67849065300209
121,0,200,5,2,10.0,20.91055203914831
122,0,200,5,5,10.0,23.848118429205815
123,0,200,7,1,10.0,22.72483235327484
124,0,200,7,2,10.0,20.616490542523778
125,0,200,7,5,10.0,24.574369289205016
126,0,500,2,1,10.0,16.355396037161377
127,0,500,2,2,10.0,19.138514098000783
128,0,500,2,5,10.0,21.26676508659258
129,0,500,5,1,10.0,17.28317541662586
130,0,500,5,2,10.0,19.860834269274974
131,0,500,5,5,10.0,23.722609088720166
132,0,500,7,1,10.0,16.805799616057058
133,0,500,7,2,10.0,20.04609073223867
134,0,500,7,5,10.0,24.371670820507585
135,0,100,2,1,100.0,30.022763983135057
136,0,100,2,2,100.0,26.717972703946998
137,0,100,2,5,100.0,25.870242065105167
138,0,100,5,1,100.0,30.61891477053091
139,0,100,5,2,100.0,27.01553862624588
140,0,100,5,5,100.0,26.450904628751527
141,0,100,7,1,100.0,28.958938758883367
142,0,100,7,2,100.0,25.260142038129636
143,0,100,7,5,100.0,26.857472838357946
144,0,200,2,1,100.0,23.895539542231663
145,0,200,2,2,100.0,23.90657892034266
146,0,200,2,5,100.0,24.945515953769263
147,0,200,5,1,100.0,24.884469653358018
148,0,200,5,2,100.0,23.70522813760014
149,0,200,5,5,100.0,25.629635417101376
150,0,200,7,1,100.0,24.780429133384384
151,0,200,7,2,100.0,23.570460732840495
152,0,200,7,5,100.0,26.541851036701452
153,0,500,2,1,100.0,23.250626749632577
154,0,500,2,2,100.0,22.167556719651248
155,0,500,2,5,100.0,23.641366277888867
156,0,500,5,1,100.0,23.25513075024827
157,0,500,5,2,100.0,22.837039480574262
158,0,500,5,5,100.0,25.710737945368475
159,0,500,7,1,100.0,23.464095746855307
160,0,500,7,2,100.0,22.83841392282803
161,0,500,7,5,100.0,26.267708091014097
162,0,100,2,1,1000.0,46.10856078588697
163,0,100,2,2,1000.0,32.446001070924225
164,0,100,2,5,1000.0,31.204709161022194
165,0,100,5,1,1000.0,37.88219121537027
166,0,100,5,2,1000.0,32.31589888311649
167,0,100,5,5,1000.0,30.181788004744643
168,0,100,7,1,1000.0,37.461633084699656
169,0,100,7,2,1000.0,30.21447686435833
170,0,100,7,5,1000.0,30.33711917722533
171,0,200,2,1,1000.0,35.31882325076572
172,0,200,2,2,1000.0,30.16588550176106
173,0,200,2,5,1000.0,29.503765465436825
174,0,200,5,1,1000.0,37.086423654997844
175,0,200,5,2,1000.0,29.022212026869585
176,0,200,5,5,1000.0,29.613548129396957
177,0,200,7,1,1000.0,38.845407737286486
178,0,200,7,2,1000.0,29.696137746152733
179,0,200,7,5,1000.0,30.589622810572344
180,0,500,2,1,1000.0,37.17091443045198
181,0,500,2,2,1000.0,29.854860076513162
182,0,500,2,5,1000.0,28.59626346247722
183,0,500,5,1,1000.0,37.340647133165675
184,0,500,5,2,1000.0,29.67468732090452
185,0,500,5,5,1000.0,29.24702536792482
186,0,500,7,1,1000.0,41.47853526671986
187,0,500,7,2,1000.0,29.838495258684482
188,0,500,7,5,1000.0,29.779259792207583
189,1,100,2,1,0.001,111.1995807920125
190,1,100,2,2,0.001,1500.6999013929524
191,1,100,2,5,0.001,3189.0345627977754
192,1,100,5,1,0.001,122.99162992794844
193,1,100,5,2,0.001,3028.7795303415446
194,1,100,5,5,0.001,6651.027957896431
195,1,100,7,1,0.001,122.74413487266763
196,1,100,7,2,0.001,1533.0578509879565
197,1,100,7,5,0.001,8436.430063199434
198,1,200,2,1,0.001,112.23241696685861
199,1,200,2,2,0.001,1932.5321549573475
200,1,200,2,5,0.001,2922.4115985283333
201,1,200,5,1,0.001,156.35784858101013
202,1,200,5,2,0.001,2319.6773858991355
203,1,200,5,5,0.001,5897.034319050424
204,1,200,7,1,0.001,105.90469628146222
205,1,200,7,2,0.001,1604.9620166818022
206,1,200,7,5,0.001,7115.0864971703995
207,1,500,2,1,0.001,117.21986974012101
208,1,500,2,2,0.001,840.2504901038757
209,1,500,2,5,0.001,1774.116698155773
210,1,500,5,1,0.001,181.62695334718748
211,1,500,5,2,0.001,1924.203540679489
212,1,500,5,5,0.001,2778.8538736057044
213,1,500,7,1,0.001,161.73864401620312
214,1,500,7,2,0.001,1621.1465896516015
