,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,118.55240248376556
1,0,100,2,2,0.001,1517.2577009730944
2,0,100,2,5,0.001,2642.888028961151
3,0,100,5,1,0.001,122.69840693542743
4,0,100,5,2,0.001,1334.3870784532787
5,0,100,5,5,0.001,8903.229972662462
6,0,100,7,1,0.001,119.48204291365292
7,0,100,7,2,0.001,1501.57648470228
8,0,100,7,5,0.001,5200.281951071828
9,0,200,2,1,0.001,115.20552047803459
10,0,200,2,2,0.001,755.1818431341063
11,0,200,2,5,0.001,2665.3779852286366
12,0,200,5,1,0.001,146.9408409987617
13,0,200,5,2,0.001,1985.781853236454
14,0,200,5,5,0.001,6853.809130385033
15,0,200,7,1,0.001,121.12518188880763
16,0,200,7,2,0.001,1225.4872779665989
17,0,200,7,5,0.001,7927.819828044036
18,0,500,2,1,0.001,111.35669713445353
19,0,500,2,2,0.001,860.2447054123206
20,0,500,2,5,0.001,1476.0239826636728
21,0,500,5,1,0.001,157.65906992222793
22,0,500,5,2,0.001,1632.263745065241
23,0,500,5,5,0.001,3733.0918255304236
24,0,500,7,1,0.001,150.89749951099193
25,0,500,7,2,0.001,1397.2850202976733
26,0,500,7,5,0.001,6783.895952531088
27,0,100,2,1,0.01,103.2624686287904
28,0,100,2,2,0.01,390.7822700785926
29,0,100,2,5,0.01,1764.1637334596983
30,0,100,5,1,0.01,120.29042703569078
31,0,100,5,2,0.01,326.66881913305514
32,0,100,5,5,0.01,983.8819403361781
33,0,100,7,1,0.01,131.28015651134325
34,0,100,7,2,0.01,479.357041747726
35,0,100,7,5,0.01,3170.559073914179
36,0,200,2,1,0.01,94.06542054798389
37,0,200,2,2,0.01,322.76452524170725
38,0,200,2,5,0.01,866.3857646875737
39,0,200,5,1,0.01,81.54415886258847
40,0,200,5,2,0.01,267.9344507327903
41,0,200,5,5,0.01,969.1779648048116
42,0,200,7,1,0.01,86.53384799314149
43,0,200,7,2,0.01,522.4730043375615
44,0,200,7,5,0.01,758.1972960224982
45,0,500,2,1,0.01,58.18469925383649
46,0,500,2,2,0.01,37.21864774716248
47,0,500,2,5,0.01,40.4906198103008
48,0,500,5,1,0.01,46.58703470768083
49,0,500,5,2,0.01,13.034655986491133
50,0,500,5,5,0.01,20.261573357379188
51,0,500,7,1,0.01,57.680971001310546
52,0,500,7,2,0.01,12.795186510284903
53,0,500,7,5,0.01,18.677678291962874
54,0,100,2,1,0.1,52.962859285294854
55,0,100,2,2,0.1,80.07406163142305
56,0,100,2,5,0.1,91.23243639320859
57,0,100,5,1,0.1,39.85195990365485
58,0,100,5,2,0.1,62.975588276685194
59,0,100,5,5,0.1,380.31416682563423
60,0,100,7,1,0.1,54.88516490854376
61,0,100,7,2,0.1,97.34140499730917
62,0,100,7,5,0.1,124.77166180913409
63,0,200,2,1,0.1,41.81149488730684
64,0,200,2,2,0.1,30.65145375500622
65,0,200,2,5,0.1,24.051853829255414
66,0,200,5,1,0.1,28.42649163523652
67,0,200,5,2,0.1,22.80711738658137
68,0,200,5,5,0.1,21.67796607361031
69,0,200,7,1,0.1,30.256757714123484
70,0,200,7,2,0.1,21.180920462190134
71,0,200,7,5,0.1,21.83733672659955
72,0,500,2,1,0.1,16.170865207974234
73,0,500,2,2,0.1,13.372297575729842
74,0,500,2,5,0.1,18.038369776244625
75,0,500,5,1,0.1,14.291355300454716
76,0,500,5,2,0.1,14.481761400447276
77,0,500,5,5,0.1,21.296755348982355
78,0,500,7,1,0.1,14.41440435388217
79,0,500,7,2,0.1,15.148119797282629
80,0,500,7,5,0.1,21.506203766841285
81,0,100,2,1,1.0,27.30345535888584
82,0,100,2,2,1.0,26.23890823404216
83,0,100,2,5,1.0,23.766743115236817
84,0,100,5,1,1.0,28.945147466060426
85,0,100,5,2,1.0,23.949259777324478
86,0,100,5,5,1.0,23.3236517889635
87,0,100,7,1,1.0,29.615748982963407
88,0,100,7,2,1.0,28.510035088335574
89,0,100,7,5,1.0,23.52911725119751
90,0,200,2,1,1.0,25.803022729349667
91,0,200,2,2,1.0,21.25598751428145
92,0,200,2,5,1.0,20.653784792853877
93,0,200,5,1,1.0,23.52878770033
94,0,200,5,2,1.0,20.005279761841432
95,0,200,5,5,1.0,22.55294942222346
96,0,200,7,1,1.0,23.00405334718393
97,0,200,7,2,1.0,19.6018747129942
98,0,200,7,5,1.0,23.209464099804777
99,0,500,2,1,1.0,14.360343459355695
100,0,500,2,2,1.0,15.349435033581347
101,0,500,2,5,1.0,19.682884831325662
102,0,500,5,1,1.0,13.288130740298834
103,0,500,5,2,1.0,17.319149664376855
104,0,500,5,5,1.0,22.491826629116385
105,0,500,7,1,1.0,13.233063645642115
106,0,500,7,2,1.0,17.724363181045646
107,0,500,7,5,1.0,22.854230169025918
108,0,100,2,1,10.0,30.43325941055637
109,0,100,2,2,10.0,28.502986676679686
110,0,100,2,5,10.0,24.104080664426558
111,0,100,5,1,10.0,36.22740913773906
112,0,100,5,2,10.0,23.28699286280064
113,0,100,5,5,10.0,23.98928561413667
114,0,100,7,1,10.0,33.496521486269565
115,0,100,7,2,10.0,22.837353030398983
116,0,100,7,5,10.0,24.77198788225963
117,0,200,2,1,10.0,24.135704282106257
118,0,200,2,2,10.0,20.232174665057745
119,0,200,2,5,10.0,21.955950565924795
120,0,200,5,1,10.0,22.104432356002466
121,0,200,5,2,10.0,20.697511834847532
122,0,200,5,5,10.0,23.85686161066003
123,0,200,7,1,10.0,23.767409172511876
124,0,200,7,2,10.0,20.807390900279184
125,0,200,7,5,10.0,24.519367642177432
126,0,500,2,1,10.0,16.438470356655625
127,0,500,2,2,10.0,19.15795290223092
128,0,500,2,5,10.0,21.118044419575718
129,0,500,5,1,10.0,15.8866445785287
130,0,500,5,2,10.0,19.855957682716905
131,0,500,5,5,10.0,23.665671335192336
132,0,500,7,1,10.0,16.581718471451083
133,0,500,7,2,10.0,20.128703208779545
134,0,500,7,5,10.0,24.235137422147705
135,0,100,2,1,100.0,32.538145970857215
136,0,100,2,2,100.0,28.25960766036417
137,0,100,2,5,100.0,24.41272766916988
138,0,100,5,1,100.0,28.140697044620417
139,0,100,5,2,100.0,24.66653973727243
140,0,100,5,5,100.0,26.295847129467482
141,0,100,7,1,100.0,29.89853786046415
