,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,105.56323219347026
1,0,100,2,2,0.001,2231.0085385922516
2,0,100,2,5,0.001,3234.73376469056
3,0,100,5,1,0.001,127.06835426025265
4,0,100,5,2,0.001,1678.9314374823264
5,0,100,5,5,0.001,6065.050526751484
6,0,100,7,1,0.001,129.33921452006723
7,0,100,7,2,0.001,1445.865214198612
8,0,100,7,5,0.001,8000.20817507636
9,0,200,2,1,0.001,144.2796572143464
10,0,200,2,2,0.001,1365.3063145149708
11,0,200,2,5,0.001,2011.8281780608202
12,0,200,5,1,0.001,134.22606743205012
13,0,200,5,2,0.001,1281.0900662361155
14,0,200,5,5,0.001,6459.97137658126
15,0,200,7,1,0.001,137.0389049314843
16,0,200,7,2,0.001,1695.8245172673353
17,0,200,7,5,0.001,7044.980727811478
18,0,500,2,1,0.001,132.84048247974872
19,0,500,2,2,0.001,1150.6176472043192
20,0,500,2,5,0.001,1902.08762734925
21,0,500,5,1,0.001,137.66464685367177
22,0,500,5,2,0.001,1301.6937407121845
23,0,500,5,5,0.001,5347.066322668319
24,0,500,7,1,0.001,133.0458465976476
25,0,500,7,2,0.001,2124.792128586326
26,0,500,7,5,0.001,4092.4042204835687
27,0,100,2,1,0.01,101.77504853787559
28,0,100,2,2,0.01,618.3554626266884
29,0,100,2,5,0.01,815.3832989849102
30,0,100,5,1,0.01,128.31552168370752
31,0,100,5,2,0.01,434.1174171269788
32,0,100,5,5,0.01,769.6481360305584
33,0,100,7,1,0.01,99.31852062402687
34,0,100,7,2,0.01,585.1504462901268
35,0,100,7,5,0.01,2093.892867573017
36,0,200,2,1,0.01,82.03048975769586
37,0,200,2,2,0.01,318.1336242442861
38,0,200,2,5,0.01,808.9135519663454
39,0,200,5,1,0.01,79.94745025526339
40,0,200,5,2,0.01,350.6731261261813
41,0,200,5,5,0.01,335.1552816068501
42,0,200,7,1,0.01,94.25364657179094
43,0,200,7,2,0.01,534.7847922074554
44,0,200,7,5,0.01,876.3655504531345
45,0,500,2,1,0.01,41.46353242375628
46,0,500,2,2,0.01,20.84021354057356
47,0,500,2,5,0.01,15.334909503021915
48,0,500,5,1,0.01,65.54295429246028
49,0,500,5,2,0.01,12.51757205433379
50,0,500,5,5,0.01,20.581472772809942
51,0,500,7,1,0.01,43.94364394734943
52,0,500,7,2,0.01,12.847279962736339
53,0,500,7,5,0.01,18.872647989144333
54,0,100,2,1,0.1,59.5477883503922
55,0,100,2,2,0.1,91.05028806809109
56,0,100,2,5,0.1,90.11460130219062
57,0,100,5,1,0.1,53.18753444242031
58,0,100,5,2,0.1,101.52918663028576
