,repetition,num_cell,cell_size,sparse_freq,alpha,error
0,0,100,2,1,0.001,111.35676627277375
1,0,100,2,2,0.001,1297.463624501491
2,0,100,2,5,0.001,2180.0682585421996
3,0,100,5,1,0.001,111.58041646253214
4,0,100,5,2,0.001,1698.1605865697431
5,0,100,5,5,0.001,5877.766511060578
6,0,100,7,1,0.001,118.125140967508
7,0,100,7,2,0.001,1163.9774041067944
8,0,100,7,5,0.001,5649.528675035511
9,0,200,2,1,0.001,115.42076208147802
10,0,200,2,2,0.001,1014.2029038323328
11,0,200,2,5,0.001,2269.441388043039
12,0,200,5,1,0.001,125.35770268321099
13,0,200,5,2,0.001,2035.229493906911
14,0,200,5,5,0.001,6552.8295156227005
15,0,200,7,1,0.001,122.61523549589471
16,0,200,7,2,0.001,1273.4377000010204
17,0,200,7,5,0.001,6444.546769979362
18,0,500,2,1,0.001,117.28655088966876
19,0,500,2,2,0.001,963.3438519790783
20,0,500,2,5,0.001,1362.4793254649683
21,0,500,5,1,0.001,151.45421982878727
22,0,500,5,2,0.001,1280.073983505978
23,0,500,5,5,0.001,3152.5423999215154
24,0,500,7,1,0.001,151.51065062175616
25,0,500,7,2,0.001,1971.111431839665
26,0,500,7,5,0.001,4016.00153537655
27,0,100,2,1,0.01,95.27864922090289
28,0,100,2,2,0.01,618.0583367752951
29,0,100,2,5,0.01,1505.303865330836
30,0,100,5,1,0.01,127.32323954646796
31,0,100,5,2,0.01,335.228893440273
32,0,100,5,5,0.01,3452.8873421245285
33,0,100,7,1,0.01,113.2834292736001
34,0,100,7,2,0.01,477.07910604739675
35,0,100,7,5,0.01,1845.8415373667947
36,0,200,2,1,0.01,76.11035515581368
37,0,200,2,2,0.01,470.00568876939235
38,0,200,2,5,0.01,779.8602464146658
39,0,200,5,1,0.01,94.16126898177762
40,0,200,5,2,0.01,222.79341595513563
41,0,200,5,5,0.01,1106.7989564747813
42,0,200,7,1,0.01,105.73782977174298
43,0,200,7,2,0.01,457.03502335523535
44,0,200,7,5,0.01,2097.5344424095124
45,0,500,2,1,0.01,52.69328208073221
46,0,500,2,2,0.01,36.35045678527857
47,0,500,2,5,0.01,37.376588716325635
48,0,500,5,1,0.01,59.67909797698179
49,0,500,5,2,0.01,13.454686017504649
50,0,500,5,5,0.01,20.6100357875768
51,0,500,7,1,0.01,35.03078224190798
