,compress_samp,alpha,repetition,error
0,100,0.001,0,145.371247935399
1,200,0.001,0,145.32109264719574
2,500,0.001,0,145.21894661153036
3,100,0.01,0,145.38833042904585
4,200,0.01,0,145.3206950377836
5,500,0.01,0,145.2016914012957
6,100,0.1,0,145.3856198992909
7,200,0.1,0,145.34912386915508
8,500,0.1,0,145.21717402036265
9,100,1.0,0,145.46115958936528
10,200,1.0,0,145.32717831952914
11,500,1.0,0,145.25100371014017
12,100,10.0,0,145.55787899842383
13,200,10.0,0,145.5295613555849
14,500,10.0,0,145.531720738308
15,100,100.0,0,145.78164036210686
16,200,100.0,0,145.78164036210686
17,500,100.0,0,145.78164036210686
18,100,1000.0,0,145.78164036210686
19,200,1000.0,0,145.78164036210686
20,500,1000.0,0,145.78164036210686
21,100,0.001,1,145.39763525407596
22,200,0.001,1,145.30145542452473
23,500,0.001,1,145.1987806420443
24,100,0.01,1,145.39759359168326
25,200,0.01,1,145.31795007626337
26,500,0.01,1,145.21957297816618
27,100,0.1,1,145.4134279287394
28,200,0.1,1,145.3259446012399
29,500,0.1,1,145.22505718944805
30,100,1.0,1,145.4462746088587
31,200,1.0,1,145.34295083231873
32,500,1.0,1,145.26527994704614
33,100,10.0,1,145.48358027022726
34,200,10.0,1,145.4982391621169
35,500,10.0,1,145.5278041004648
36,100,100.0,1,145.78164036210686
37,200,100.0,1,145.78164036210686
38,500,100.0,1,145.78164036210686
39,100,1000.0,1,145.78164036210686
40,200,1000.0,1,145.78164036210686
41,500,1000.0,1,145.78164036210686
42,100,0.001,2,145.40086450376208
43,200,0.001,2,145.33665283770887
44,500,0.001,2,145.19904687855862
45,100,0.01,2,145.4249041474661
46,200,0.01,2,145.33802707900287
47,500,0.01,2,145.21546014341118
48,100,0.1,2,145.39566973923985
49,200,0.1,2,145.31537522523044
50,500,0.1,2,145.20980764447086
51,100,1.0,2,145.47286937791048
52,200,1.0,2,145.37715185826826
53,500,1.0,2,145.26153139763974
54,100,10.0,2,145.5190618334254
55,200,10.0,2,145.51628821683263
56,500,10.0,2,145.5138893776679
57,100,100.0,2,145.78164036210686
58,200,100.0,2,145.78164036210686
59,500,100.0,2,145.78164036210686
60,100,1000.0,2,145.78164036210686
61,200,1000.0,2,145.78164036210686
62,500,1000.0,2,145.78164036210686
63,100,0.001,3,145.40276996434264
64,200,0.001,3,145.2828106454905
65,500,0.001,3,145.19250097658505
66,100,0.01,3,145.3902126095291
67,200,0.01,3,145.32878374634956
68,500,0.01,3,145.23616654951138
69,100,0.1,3,145.4172998556737
70,200,0.1,3,145.30735120938178
71,500,0.1,3,145.22379235265953
72,100,1.0,3,145.38364322152697
73,200,1.0,3,145.33822267156592
74,500,1.0,3,145.26516994690456
75,100,10.0,3,145.58594171594257
76,200,10.0,3,145.50151604248032
77,500,10.0,3,145.49953374145096
78,100,100.0,3,145.78164036210686
79,200,100.0,3,145.78164036210686
80,500,100.0,3,145.78164036210686
81,100,1000.0,3,145.78164036210686
82,200,1000.0,3,145.78164036210686
83,500,1000.0,3,145.78164036210686
84,100,0.001,4,145.44090024813212
85,200,0.001,4,145.3239093535039
86,500,0.001,4,145.2104067433838
87,100,0.01,4,145.4028091962781
88,200,0.01,4,145.29702407193153
89,500,0.01,4,145.19087166945118
90,100,0.1,4,145.33889022179974
91,200,0.1,4,145.3059466945246
92,500,0.1,4,145.23360560430055
93,100,1.0,4,145.4404254255404
94,200,1.0,4,145.36036266629375
95,500,1.0,4,145.27793530690573
96,100,10.0,4,145.48278962758903
97,200,10.0,4,145.50609512543332
98,500,10.0,4,145.50568364227718
99,100,100.0,4,145.78164036210686
100,200,100.0,4,145.78164036210686
101,500,100.0,4,145.78164036210686
102,100,1000.0,4,145.78164036210686
103,200,1000.0,4,145.78164036210686
104,500,1000.0,4,145.78164036210686
105,100,0.001,5,145.40587816736289
106,200,0.001,5,145.31935881321323
107,500,0.001,5,145.20939046092607
108,100,0.01,5,145.38793650377661
109,200,0.01,5,145.30885062314832
110,500,0.01,5,145.23584794297224
111,100,0.1,5,145.39924685728027
112,200,0.1,5,145.37297334719824
113,500,0.1,5,145.2324220108136
114,100,1.0,5,145.4340861827069
115,200,1.0,5,145.31032347883217
116,500,1.0,5,145.2480207990555
117,100,10.0,5,145.51582934063134
118,200,10.0,5,145.53925885164773
119,500,10.0,5,145.5019675900045
120,100,100.0,5,145.78164036210686
121,200,100.0,5,145.78164036210686
122,500,100.0,5,145.78164036210686
123,100,1000.0,5,145.78164036210686
124,200,1000.0,5,145.78164036210686
125,500,1000.0,5,145.78164036210686
126,100,0.001,6,145.42230259800453
127,200,0.001,6,145.29927307727817
128,500,0.001,6,145.20589472816744
129,100,0.01,6,145.41598978175918
130,200,0.01,6,145.31223234548608
131,500,0.01,6,145.21405430466137
132,100,0.1,6,145.39271673852377
133,200,0.1,6,145.30616458001037
134,500,0.1,6,145.2006882756122
135,100,1.0,6,145.46014368402126
136,200,1.0,6,145.33703535659072
137,500,1.0,6,145.24796421559756
138,100,10.0,6,145.56197836449363
139,200,10.0,6,145.50374160457082
140,500,10.0,6,145.49085541561672
141,100,100.0,6,145.78164036210686
142,200,100.0,6,145.78164036210686
143,500,100.0,6,145.78164036210686
144,100,1000.0,6,145.78164036210686
145,200,1000.0,6,145.78164036210686
146,500,1000.0,6,145.78164036210686
147,100,0.001,7,145.4419141681794
148,200,0.001,7,145.31065736290776
149,500,0.001,7,145.21822349996037
150,100,0.01,7,145.40144692002337
151,200,0.01,7,145.3464509523195
152,500,0.01,7,145.20764339544678
153,100,0.1,7,145.36696600893055
154,200,0.1,7,145.34153603007442
155,500,0.1,7,145.2233157500163
156,100,1.0,7,145.40455228272197
157,200,1.0,7,145.35233750861545
158,500,1.0,7,145.25964308499846
159,100,10.0,7,145.4954467522228
160,200,10.0,7,145.52239940775732
161,500,10.0,7,145.4938280651262
162,100,100.0,7,145.78164036210686
163,200,100.0,7,145.78164036210686
164,500,100.0,7,145.78164036210686
165,100,1000.0,7,145.78164036210686
166,200,1000.0,7,145.78164036210686
167,500,1000.0,7,145.78164036210686
168,100,0.001,8,145.42589987065838
169,200,0.001,8,145.3273567140533
170,500,0.001,8,145.20373440174828
171,100,0.01,8,145.35144943304917
172,200,0.01,8,145.35087896022887
173,500,0.01,8,145.21579410558468
174,100,0.1,8,145.3899555861788
175,200,0.1,8,145.34335666482517
176,500,0.1,8,145.2319083650521
177,100,1.0,8,145.4566559251978
178,200,1.0,8,145.35031533694698
179,500,1.0,8,145.2595667444903
180,100,10.0,8,145.53226336615805
181,200,10.0,8,145.54411971863658
182,500,10.0,8,145.50603934132144
183,100,100.0,8,145.78164036210686
184,200,100.0,8,145.78164036210686
185,500,100.0,8,145.78164036210686
186,100,1000.0,8,145.78164036210686
187,200,1000.0,8,145.78164036210686
188,500,1000.0,8,145.78164036210686
189,100,0.001,9,145.39714707333866
190,200,0.001,9,145.32334681321177
191,500,0.001,9,145.21299278175564
192,100,0.01,9,145.4342109807381
193,200,0.01,9,145.2862174020671
194,500,0.01,9,145.2043779915698
195,100,0.1,9,145.3642331404859
196,200,0.1,9,145.3271190095046
197,500,0.1,9,145.2108440627396
198,100,1.0,9,145.47502649862614
199,200,1.0,9,145.3349129487427
200,500,1.0,9,145.24390604117627
201,100,10.0,9,145.54666820348788
202,200,10.0,9,145.5344078356813
203,500,10.0,9,145.48889241152378
204,100,100.0,9,145.78164036210686
205,200,100.0,9,145.78164036210686
206,500,100.0,9,145.78164036210686
207,100,1000.0,9,145.78164036210686
208,200,1000.0,9,145.78164036210686
209,500,1000.0,9,145.78164036210686
