,classical_samp,alpha,repetition,error
0,100,0.001,0,145.33604286281738
1,200,0.001,0,145.35053342670264
2,500,0.001,0,145.2039901731208
3,100,0.01,0,145.48087541084294
4,200,0.01,0,145.33924601962408
5,500,0.01,0,145.2021902157091
6,100,0.1,0,145.4694915480297
7,200,0.1,0,145.29931103888808
8,500,0.1,0,145.20897299146347
9,100,1.0,0,145.45016722193657
10,200,1.0,0,145.33394719319418
11,500,1.0,0,145.2802131301489
12,100,10.0,0,145.5141975134464
13,200,10.0,0,145.51158891983187
14,500,10.0,0,145.50323781245422
15,100,100.0,0,145.78164036210686
16,200,100.0,0,145.78164036210686
17,500,100.0,0,145.78164036210686
18,100,1000.0,0,145.78164036210686
19,200,1000.0,0,145.78164036210686
20,500,1000.0,0,145.78164036210686
21,100,0.001,1,145.4034889897093
22,200,0.001,1,145.2873687209283
23,500,0.001,1,145.2206601117385
24,100,0.01,1,145.43288783732862
25,200,0.01,1,145.27993796296653
26,500,0.01,1,145.21319710572018
27,100,0.1,1,145.46916331819017
28,200,0.1,1,145.32766891805016
29,500,0.1,1,145.22075035673313
30,100,1.0,1,145.43055807145927
31,200,1.0,1,145.34245109277023
32,500,1.0,1,145.25340940190273
33,100,10.0,1,145.51691873527525
34,200,10.0,1,145.53386464835447
35,500,10.0,1,145.50284607648732
36,100,100.0,1,145.78164036210686
37,200,100.0,1,145.78164036210686
38,500,100.0,1,145.78164036210686
39,100,1000.0,1,145.78164036210686
40,200,1000.0,1,145.78164036210686
41,500,1000.0,1,145.78164036210686
42,100,0.001,2,145.4665057589681
43,200,0.001,2,145.3143569316632
44,500,0.001,2,145.20587733574047
45,100,0.01,2,145.40584274838605
46,200,0.01,2,145.28828889937253
47,500,0.01,2,145.2216970520024
48,100,0.1,2,145.4582466821726
49,200,0.1,2,145.33531223741883
50,500,0.1,2,145.2062967771815
51,100,1.0,2,145.4197118689625
52,200,1.0,2,145.34669302159875
53,500,1.0,2,145.27198988251345
54,100,10.0,2,145.52553019448274
55,200,10.0,2,145.52793129721428
56,500,10.0,2,145.51094749351958
57,100,100.0,2,145.78164036210686
58,200,100.0,2,145.78164036210686
59,500,100.0,2,145.78164036210686
60,100,1000.0,2,145.78164036210686
61,200,1000.0,2,145.78164036210686
62,500,1000.0,2,145.78164036210686
63,100,0.001,3,145.45428880394107
64,200,0.001,3,145.2954130183652
65,500,0.001,3,145.21072031668092
66,100,0.01,3,145.35190458907275
67,200,0.01,3,145.29988817460392
68,500,0.01,3,145.19694952446454
69,100,0.1,3,145.4324552872536
70,200,0.1,3,145.31897295674733
71,500,0.1,3,145.19648768744548
72,100,1.0,3,145.4600736962667
73,200,1.0,3,145.34770992859845
74,500,1.0,3,145.25975337924484
75,100,10.0,3,145.48698349690085
76,200,10.0,3,145.53841563715145
77,500,10.0,3,145.50295577572115
78,100,100.0,3,145.78164036210686
79,200,100.0,3,145.78164036210686
80,500,100.0,3,145.78164036210686
81,100,1000.0,3,145.78164036210686
82,200,1000.0,3,145.78164036210686
83,500,1000.0,3,145.78164036210686
84,100,0.001,4,145.3848105346457
85,200,0.001,4,145.2956345573136
86,500,0.001,4,145.21169175300346
87,100,0.01,4,145.43501381993818
88,200,0.01,4,145.3296575553564
89,500,0.01,4,145.21407932343035
90,100,0.1,4,145.42524135688367
91,200,0.1,4,145.33992848095266
92,500,0.1,4,145.2101249301699
93,100,1.0,4,145.39879226858537
94,200,1.0,4,145.35144323670264
95,500,1.0,4,145.28468779124432
96,100,10.0,4,145.4655001431277
97,200,10.0,4,145.56118197910507
98,500,10.0,4,145.51523571312347
99,100,100.0,4,145.78164036210686
