,classical_samp,alpha,repetition,error
0,50,0.001,0,60.11954857847677
1,100,0.001,0,54.674264656626654
2,200,0.001,0,43.82252297500363
3,500,0.001,0,26.052288893281027
4,50,0.01,0,65.08419635005059
5,100,0.01,0,56.047936282432104
6,200,0.01,0,46.46721758171611
7,500,0.01,0,31.861186192612198
8,50,0.1,0,61.954964949410375
9,100,0.1,0,52.44915949660508
10,200,0.1,0,38.231467294425435
11,500,0.1,0,26.115296666916002
12,50,1.0,0,46.08680069771581
13,100,1.0,0,40.13873502416641
14,200,1.0,0,32.291836801317324
15,500,1.0,0,23.819447251607173
16,50,10.0,0,48.11936638821454
17,100,10.0,0,42.567461143556145
18,200,10.0,0,29.43494326929298
19,500,10.0,0,24.757160106568545
20,50,100.0,0,42.408549011223315
21,100,100.0,0,39.00141251050241
22,200,100.0,0,33.96320260424734
23,500,100.0,0,29.25523981142215
24,50,1000.0,0,66.30751043992481
25,100,1000.0,0,65.69961328033204
26,200,1000.0,0,64.76240982793321
27,500,1000.0,0,63.559233407906014
28,50,0.001,1,61.78695450873796
29,100,0.001,1,50.386020648231224
30,200,0.001,1,41.081860935987194
31,500,0.001,1,30.332906704591075
32,50,0.01,1,60.18400138503427
33,100,0.01,1,55.62529515023809
34,200,0.01,1,42.975630440994124
35,500,0.01,1,30.899242951039252
36,50,0.1,1,59.52904519001352
37,100,0.1,1,41.8162674332865
38,200,0.1,1,33.85979386139964
39,500,0.1,1,24.84798722275837
40,50,1.0,1,49.412444554655714
41,100,1.0,1,39.751610555924636
42,200,1.0,1,31.822993624619283
43,500,1.0,1,23.435574410587368
44,50,10.0,1,40.83467423506678
45,100,10.0,1,38.309559611144614
46,200,10.0,1,32.40793205338951
47,500,10.0,1,23.55426861194984
48,50,100.0,1,42.02858555803223
49,100,100.0,1,35.643916466133795
50,200,100.0,1,32.79276002375498
51,500,100.0,1,30.447857466369424
52,50,1000.0,1,67.21668404181953
53,100,1000.0,1,60.52305645027895
54,200,1000.0,1,66.46156505552385
55,500,1000.0,1,63.83644052985502
56,50,0.001,2,61.32097397538997
57,100,0.001,2,59.14046981048583
58,200,0.001,2,40.8690190306506
59,500,0.001,2,28.802945500628365
60,50,0.01,2,67.41311971129464
61,100,0.01,2,54.829741943670946
62,200,0.01,2,42.52205623845232
63,500,0.01,2,27.724827516629368
64,50,0.1,2,55.30442891849882
65,100,0.1,2,47.154262705762946
66,200,0.1,2,33.11261030184756
67,500,0.1,2,25.15311927288964
68,50,1.0,2,44.956509874231486
69,100,1.0,2,37.28645189727248
70,200,1.0,2,34.055866477360865
71,500,1.0,2,24.362481811170582
72,50,10.0,2,39.73040734973169
73,100,10.0,2,42.126357510409186
74,200,10.0,2,30.641641872169917
75,500,10.0,2,23.350028738750314
76,50,100.0,2,47.88470401411402
77,100,100.0,2,42.9852659783177
78,200,100.0,2,34.456646220860584
79,500,100.0,2,30.664014748577255
80,50,1000.0,2,69.95078958069709
81,100,1000.0,2,63.48068994817474
82,200,1000.0,2,65.91608094756845
83,500,1000.0,2,63.53789482502836
84,50,0.001,3,57.64446411707745
85,100,0.001,3,50.554640629934745
86,200,0.001,3,44.453091680718856
87,500,0.001,3,29.790578860261213
88,50,0.01,3,65.19215506383338
89,100,0.01,3,46.29308651578019
90,200,0.01,3,42.86561693412796
91,500,0.01,3,29.29553305626195
92,50,0.1,3,58.75353229492958
93,100,0.1,3,51.757996577014346
94,200,0.1,3,39.1526317270789
95,500,0.1,3,25.27219824781016
96,50,1.0,3,39.138868933688975
97,100,1.0,3,37.22250902703948
98,200,1.0,3,33.25129330359099
99,500,1.0,3,21.062117597631246
100,50,10.0,3,46.754887652826326
101,100,10.0,3,41.956730932731084
102,200,10.0,3,33.70064829514025
103,500,10.0,3,23.012710463009423
104,50,100.0,3,40.247468350740036
105,100,100.0,3,40.67412434553166
106,200,100.0,3,30.834514286423147
107,500,100.0,3,31.423540044736114
108,50,1000.0,3,63.50507019711686
109,100,1000.0,3,62.97667954838273
110,200,1000.0,3,66.33679006815073
111,500,1000.0,3,65.23543554835693
112,50,0.001,4,66.55800055743012
113,100,0.001,4,51.98566287418033
114,200,0.001,4,44.52238067153709
115,500,0.001,4,28.959646395777213
116,50,0.01,4,61.88773661809622
117,100,0.01,4,52.533346609175595
118,200,0.01,4,43.324041257563294
119,500,0.01,4,29.442167208065896
120,50,0.1,4,63.59035093689663
121,100,0.1,4,48.47863202480651
122,200,0.1,4,37.10421760463437
123,500,0.1,4,23.98562496767363
124,50,1.0,4,43.68816825455644
125,100,1.0,4,39.400204823357576
126,200,1.0,4,30.86956768617721
127,500,1.0,4,22.376060399146787
128,50,10.0,4,52.14578286533434
129,100,10.0,4,40.815123560106585
130,200,10.0,4,33.883940674702664
131,500,10.0,4,26.094947178005626
132,50,100.0,4,46.51501471763907
133,100,100.0,4,39.200660891589145
134,200,100.0,4,31.769489020227972
135,500,100.0,4,29.462214002820733
136,50,1000.0,4,52.530219240880335
137,100,1000.0,4,64.47820182609526
138,200,1000.0,4,61.84624722888442
139,500,1000.0,4,58.34169797752274
