,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,100,2,1,127.2601149334912
1,0,0.001,100,2,2,1235.2166551790094
2,0,0.001,100,2,5,3109.8667878231267
3,0,0.001,100,5,1,114.06291608840112
4,0,0.001,100,5,2,2561.8905800677426
5,0,0.001,100,5,5,9027.113038195477
6,0,0.001,100,7,1,117.37904908659064
7,0,0.001,100,7,2,1811.182302271422
8,0,0.001,100,7,5,5956.878104714972
9,0,0.001,200,2,1,130.17160770441453
10,0,0.001,200,2,2,1227.2999703594794
11,0,0.001,200,2,5,2375.553840513569
12,0,0.001,200,5,1,113.91435308932283
13,0,0.001,200,5,2,2056.3183068109192
14,0,0.001,200,5,5,9623.32033469388
15,0,0.001,200,7,1,133.82981280150543
16,0,0.001,200,7,2,1508.0664700028499
17,0,0.001,200,7,5,7264.965023408631
18,0,0.001,500,2,1,120.1670546445014
19,0,0.001,500,2,2,1037.4853821428574
20,0,0.001,500,2,5,1529.6727584486475
21,0,0.001,500,5,1,170.2917832159993
22,0,0.001,500,5,2,1621.0172256078176
23,0,0.001,500,5,5,3122.4685290908155
24,0,0.001,500,7,1,118.81767241506898
25,0,0.001,500,7,2,1333.1805417527596
26,0,0.001,500,7,5,6208.03529351899
27,0,0.01,100,2,1,109.429250198855
28,0,0.01,100,2,2,818.6500974994495
29,0,0.01,100,2,5,1111.526669581624
30,0,0.01,100,5,1,113.03150187498483
31,0,0.01,100,5,2,387.4319649598384
32,0,0.01,100,5,5,729.9135037316726
33,0,0.01,100,7,1,123.15966173879836
34,0,0.01,100,7,2,1234.3754944941088
35,0,0.01,100,7,5,2509.8006227726064
36,0,0.01,200,2,1,82.41321973695929
37,0,0.01,200,2,2,273.52935731948907
38,0,0.01,200,2,5,681.8769054407792
39,0,0.01,200,5,1,87.43470586453458
40,0,0.01,200,5,2,362.91908233480297
41,0,0.01,200,5,5,421.6768524337023
42,0,0.01,200,7,1,82.52612632337696
43,0,0.01,200,7,2,537.5733929930107
44,0,0.01,200,7,5,990.2207567167756
45,0,0.01,500,2,1,64.30278873192158
46,0,0.01,500,2,2,26.181072107911902
47,0,0.01,500,2,5,160.00023652708174
48,0,0.01,500,5,1,69.21172435869269
49,0,0.01,500,5,2,12.55136968344728
50,0,0.01,500,5,5,20.462157306509752
51,0,0.01,500,7,1,48.43960282303129
52,0,0.01,500,7,2,12.439536042480691
53,0,0.01,500,7,5,18.794873319081535
54,0,0.1,100,2,1,52.468251042019986
55,0,0.1,100,2,2,87.87089094855136
56,0,0.1,100,2,5,97.17581118473852
57,0,0.1,100,5,1,48.224239989360626
58,0,0.1,100,5,2,81.84364837986664
59,0,0.1,100,5,5,24.161692022114178
60,0,0.1,100,7,1,53.51729141004446
61,0,0.1,100,7,2,84.66201986070092
62,0,0.1,100,7,5,22.7428919046496
63,0,0.1,200,2,1,43.730878882782186
64,0,0.1,200,2,2,42.30323547195121
65,0,0.1,200,2,5,28.035661672641176
66,0,0.1,200,5,1,35.891767365216474
67,0,0.1,200,5,2,33.74767845022937
68,0,0.1,200,5,5,21.72402531571345
69,0,0.1,200,7,1,29.67159868517678
70,0,0.1,200,7,2,31.021674695169573
71,0,0.1,200,7,5,21.566586311810575
72,0,0.1,500,2,1,16.421587118982107
73,0,0.1,500,2,2,13.096057893763314
74,0,0.1,500,2,5,18.24396162459507
75,0,0.1,500,5,1,14.02470661592932
76,0,0.1,500,5,2,14.638294158327641
77,0,0.1,500,5,5,21.25802216066236
78,0,0.1,500,7,1,13.89536241916634
79,0,0.1,500,7,2,14.655961781142548
80,0,0.1,500,7,5,21.53644931137615
81,0,1.0,100,2,1,30.287681797014702
82,0,1.0,100,2,2,32.16653578306898
83,0,1.0,100,2,5,26.829610422294092
84,0,1.0,100,5,1,30.70854981175984
85,0,1.0,100,5,2,23.64475437822562
86,0,1.0,100,5,5,22.854568435375615
87,0,1.0,100,7,1,33.09250152956789
88,0,1.0,100,7,2,24.886359613941355
89,0,1.0,100,7,5,23.168849844951087
90,0,1.0,200,2,1,24.135839970406174
91,0,1.0,200,2,2,21.172965232954855
92,0,1.0,200,2,5,21.19311380594392
93,0,1.0,200,5,1,24.663294696280808
94,0,1.0,200,5,2,19.9980223907419
95,0,1.0,200,5,5,22.565921699476533
96,0,1.0,200,7,1,22.956190877380415
97,0,1.0,200,7,2,19.494897785578903
98,0,1.0,200,7,5,22.903698057775298
99,0,1.0,500,2,1,14.425131951125698
100,0,1.0,500,2,2,15.698839159778386
101,0,1.0,500,2,5,19.63538145499296
102,0,1.0,500,5,1,13.496196884672438
103,0,1.0,500,5,2,17.423475185069652
104,0,1.0,500,5,5,22.41182312352197
105,0,1.0,500,7,1,13.48830731410732
106,0,1.0,500,7,2,17.675673068399977
107,0,1.0,500,7,5,22.795803082397583
108,0,10.0,100,2,1,31.147750597316918
109,0,10.0,100,2,2,25.37487734359821
110,0,10.0,100,2,5,23.466298831877875
111,0,10.0,100,5,1,28.605599824385717
112,0,10.0,100,5,2,23.939756469959626
113,0,10.0,100,5,5,24.512486869626535
114,0,10.0,100,7,1,31.003058655775945
115,0,10.0,100,7,2,24.742991204567204
116,0,10.0,100,7,5,24.47543257050899
117,0,10.0,200,2,1,23.11209340609044
118,0,10.0,200,2,2,21.504462048579974
119,0,10.0,200,2,5,21.472788092339666
120,0,10.0,200,5,1,22.85988127408743
121,0,10.0,200,5,2,20.761559773781826
122,0,10.0,200,5,5,23.776926219532992
123,0,10.0,200,7,1,22.172565776632148
124,0,10.0,200,7,2,20.976411589026082
125,0,10.0,200,7,5,24.55666289616217
126,0,10.0,500,2,1,16.330726445247002
127,0,10.0,500,2,2,18.570175949709267
128,0,10.0,500,2,5,21.094884383969074
129,0,10.0,500,5,1,16.021005669228032
130,0,10.0,500,5,2,19.800820654235576
131,0,10.0,500,5,5,23.662583738275565
132,0,10.0,500,7,1,16.993252565842948
133,0,10.0,500,7,2,20.029746140479617
134,0,10.0,500,7,5,24.23434493184066
135,0,100.0,100,2,1,28.964111155278605
136,0,100.0,100,2,2,27.48646900420388
137,0,100.0,100,2,5,25.585325681830813
138,0,100.0,100,5,1,29.013344095865175
139,0,100.0,100,5,2,24.150025905640195
140,0,100.0,100,5,5,25.645425619859655
141,0,100.0,100,7,1,30.00854117460172
142,0,100.0,100,7,2,25.8698139811467
143,0,100.0,100,7,5,26.611998332609595
144,0,100.0,200,2,1,26.167086139915977
145,0,100.0,200,2,2,24.80782789650024
146,0,100.0,200,2,5,25.295982645163985
147,0,100.0,200,5,1,24.12251057555019
148,0,100.0,200,5,2,23.79989227614001
149,0,100.0,200,5,5,25.880215906778783
150,0,100.0,200,7,1,24.815682820625657
151,0,100.0,200,7,2,23.408211613598038
152,0,100.0,200,7,5,26.611945651925076
153,0,100.0,500,2,1,23.2360885105041
154,0,100.0,500,2,2,22.819580210559774
155,0,100.0,500,2,5,23.120737687601878
156,0,100.0,500,5,1,23.623440162910004
157,0,100.0,500,5,2,22.818922556899373
158,0,100.0,500,5,5,25.845827479495572
159,0,100.0,500,7,1,23.43336214432348
160,0,100.0,500,7,2,23.235502809244668
161,0,100.0,500,7,5,26.26092249131803
162,0,1000.0,100,2,1,48.17613664124473
163,0,1000.0,100,2,2,31.832105889494184
164,0,1000.0,100,2,5,31.94636268283011
165,0,1000.0,100,5,1,40.84658261098071
166,0,1000.0,100,5,2,31.28935626855808
167,0,1000.0,100,5,5,29.93672013451971
168,0,1000.0,100,7,1,38.72893255569565
169,0,1000.0,100,7,2,33.1654556744573
170,0,1000.0,100,7,5,31.385651271763262
171,0,1000.0,200,2,1,37.20990183368452
172,0,1000.0,200,2,2,30.482494217798436
173,0,1000.0,200,2,5,28.402451333007043
174,0,1000.0,200,5,1,41.19325128056167
175,0,1000.0,200,5,2,30.60674678690797
176,0,1000.0,200,5,5,29.407173309324147
177,0,1000.0,200,7,1,42.97736408057968
178,0,1000.0,200,7,2,29.89276426165373
179,0,1000.0,200,7,5,29.54886266176942
180,0,1000.0,500,2,1,39.40143359974103
181,0,1000.0,500,2,2,30.232612245126322
182,0,1000.0,500,2,5,28.130457120673487
183,0,1000.0,500,5,1,35.82598058658062
184,0,1000.0,500,5,2,28.85732004821771
185,0,1000.0,500,5,5,29.509017223753517
186,0,1000.0,500,7,1,38.33151091392289
187,0,1000.0,500,7,2,29.66531192200376
188,0,1000.0,500,7,5,30.347562189719405
