,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,100,2,1,143.28970033501142
1,0,0.001,100,2,2,1404.7369341936092
2,0,0.001,100,2,5,2171.5244886995665
3,0,0.001,100,5,1,144.5326448985928
4,0,0.001,100,5,2,2317.5112147311643
5,0,0.001,100,5,5,8550.667622071405
6,0,0.001,100,7,1,135.61711963483177
7,0,0.001,100,7,2,1279.428226744669
8,0,0.001,100,7,5,6369.920061096017
9,0,0.001,200,2,1,128.71281608005
10,0,0.001,200,2,2,1193.5902774096419
11,0,0.001,200,2,5,2891.6877217215265
12,0,0.001,200,5,1,148.52236973188536
13,0,0.001,200,5,2,1943.6651583979303
14,0,0.001,200,5,5,5095.068155261686
15,0,0.001,200,7,1,141.82702176883458
16,0,0.001,200,7,2,1560.254454879148
17,0,0.001,200,7,5,7768.606058705275
18,0,0.001,500,2,1,152.80766704579563
19,0,0.001,500,2,2,975.9286059331672
20,0,0.001,500,2,5,2235.1761289688397
21,0,0.001,500,5,1,158.8090750587192
22,0,0.001,500,5,2,1179.730634690541
23,0,0.001,500,5,5,1989.7049970911478
24,0,0.001,500,7,1,167.7325830730842
25,0,0.001,500,7,2,1578.5277923228823
26,0,0.001,500,7,5,5914.021226597602
27,0,0.01,100,2,1,122.0109231806235
28,0,0.01,100,2,2,639.137649635381
29,0,0.01,100,2,5,1558.3172310866944
30,0,0.01,100,5,1,116.39848693228525
31,0,0.01,100,5,2,503.61827897139494
32,0,0.01,100,5,5,1824.9628782106136
33,0,0.01,100,7,1,140.7890838187059
34,0,0.01,100,7,2,713.8035986952721
35,0,0.01,100,7,5,2213.7855089188315
36,0,0.01,200,2,1,115.92568398524743
37,0,0.01,200,2,2,419.79591429887375
38,0,0.01,200,2,5,593.6905173715809
39,0,0.01,200,5,1,110.18202710161661
40,0,0.01,200,5,2,375.20331201767505
41,0,0.01,200,5,5,518.1669483410986
42,0,0.01,200,7,1,127.05072496493108
43,0,0.01,200,7,2,524.4121833871843
44,0,0.01,200,7,5,1312.711201026018
45,0,0.01,500,2,1,101.64817297338664
46,0,0.01,500,2,2,118.86140941480062
47,0,0.01,500,2,5,86.89110121175928
48,0,0.01,500,5,1,98.19704760802165
49,0,0.01,500,5,2,86.66850657909376
50,0,0.01,500,5,5,85.12955301621062
51,0,0.01,500,7,1,102.92190015679434
52,0,0.01,500,7,2,86.70444545397625
53,0,0.01,500,7,5,85.19144629731913
54,0,0.1,100,2,1,81.53856611628905
55,0,0.1,100,2,2,133.23551722303645
56,0,0.1,100,2,5,115.10893457587206
57,0,0.1,100,5,1,84.76590715539879
58,0,0.1,100,5,2,124.32374099203001
59,0,0.1,100,5,5,89.80553112897461
60,0,0.1,100,7,1,89.74590341429419
61,0,0.1,100,7,2,137.99020352823112
62,0,0.1,100,7,5,88.880817770687
63,0,0.1,200,2,1,83.36803703089406
64,0,0.1,200,2,2,86.26953150154418
65,0,0.1,200,2,5,93.68597394584013
66,0,0.1,200,5,1,85.37052888307429
67,0,0.1,200,5,2,86.28928923673372
68,0,0.1,200,5,5,84.87652074831927
69,0,0.1,200,7,1,84.58561444021953
70,0,0.1,200,7,2,86.8658626032679
71,0,0.1,200,7,5,84.65292532141203
72,0,0.1,500,2,1,87.17891534000178
73,0,0.1,500,2,2,86.69610769940877
74,0,0.1,500,2,5,85.76577672536892
75,0,0.1,500,5,1,87.24352429557112
76,0,0.1,500,5,2,86.39364595722928
77,0,0.1,500,5,5,84.82527320530295
78,0,0.1,500,7,1,86.81744679122123
79,0,0.1,500,7,2,86.23324421110487
80,0,0.1,500,7,5,84.73324261115029
81,0,1.0,100,2,1,79.36120933784497
82,0,1.0,100,2,2,85.38108295053686
83,0,1.0,100,2,5,84.79595930609366
84,0,1.0,100,5,1,82.87295973165693
85,0,1.0,100,5,2,83.68874614453625
86,0,1.0,100,5,5,84.30640641679835
87,0,1.0,100,7,1,77.80047018904195
88,0,1.0,100,7,2,84.0936160244775
