,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,50,2,1,104.28981633545949
1,0,0.001,50,2,2,1248.47268073018
2,0,0.001,50,2,5,2057.307309423139
3,0,0.001,50,5,1,142.19134499405172
4,0,0.001,50,5,2,3311.9689992408116
5,0,0.001,50,5,5,6970.533646775727
6,0,0.001,50,7,1,150.13222885999738
7,0,0.001,50,7,2,1064.1614531151029
8,0,0.001,50,7,5,5702.003955212514
9,0,0.001,100,2,1,98.7740392125435
10,0,0.001,100,2,2,1171.829557540117
11,0,0.001,100,2,5,2660.2812375882922
12,0,0.001,100,5,1,113.93592617554897
13,0,0.001,100,5,2,2168.443358248887
14,0,0.001,100,5,5,10131.375519563006
15,0,0.001,100,7,1,137.33045851075377
16,0,0.001,100,7,2,1919.2502283227768
17,0,0.001,100,7,5,5696.409713211674
18,0,0.001,200,2,1,131.6054402490717
19,0,0.001,200,2,2,1192.1862359941924
20,0,0.001,200,2,5,2871.5694018542927
21,0,0.001,200,5,1,127.87423236740435
22,0,0.001,200,5,2,1516.6513006425737
23,0,0.001,200,5,5,6193.077260600636
24,0,0.001,200,7,1,116.15856471231955
25,0,0.001,200,7,2,1320.1211191968553
26,0,0.001,200,7,5,3847.5816463252822
27,0,0.001,500,2,1,139.0936878712293
28,0,0.001,500,2,2,979.8085332684799
29,0,0.001,500,2,5,1457.2145212971006
30,0,0.001,500,5,1,129.05844986706907
31,0,0.001,500,5,2,1238.1566311142014
32,0,0.001,500,5,5,5896.10995166756
33,0,0.001,500,7,1,139.36269482051014
34,0,0.001,500,7,2,1611.5753719317156
35,0,0.001,500,7,5,5103.532581493128
36,0,0.01,50,2,1,101.5470282687693
37,0,0.01,50,2,2,939.63094226117
38,0,0.01,50,2,5,1956.0616043193586
39,0,0.01,50,5,1,135.86869166957555
40,0,0.01,50,5,2,266.2014697858509
41,0,0.01,50,5,5,2593.145224772874
42,0,0.01,50,7,1,119.27534083706092
43,0,0.01,50,7,2,429.85778237561067
44,0,0.01,50,7,5,2462.9329600790093
45,0,0.01,100,2,1,83.76520746939792
46,0,0.01,100,2,2,568.3857736660362
47,0,0.01,100,2,5,709.9545838713059
48,0,0.01,100,5,1,116.41182115371149
49,0,0.01,100,5,2,421.8773595987014
50,0,0.01,100,5,5,2562.674555175364
51,0,0.01,100,7,1,113.5843274346674
52,0,0.01,100,7,2,683.1609042538116
53,0,0.01,100,7,5,1860.399243316045
54,0,0.01,200,2,1,81.72783227344127
55,0,0.01,200,2,2,394.6937508611341
56,0,0.01,200,2,5,756.6045266126747
57,0,0.01,200,5,1,97.22370751116789
58,0,0.01,200,5,2,274.5579537068994
59,0,0.01,200,5,5,266.1117627670845
60,0,0.01,200,7,1,87.90580454946452
61,0,0.01,200,7,2,415.84988456210374
62,0,0.01,200,7,5,825.9356702268358
63,0,0.01,500,2,1,62.29658520875282
64,0,0.01,500,2,2,54.70785344041577
65,0,0.01,500,2,5,104.2129739100986
66,0,0.01,500,5,1,51.92013428423014
67,0,0.01,500,5,2,12.819842520017188
68,0,0.01,500,5,5,20.403030150228457
69,0,0.01,500,7,1,51.95919499114977
70,0,0.01,500,7,2,12.67116723441492
71,0,0.01,500,7,5,18.77325771142848
72,0,0.1,50,2,1,64.78390951475821
73,0,0.1,50,2,2,101.347395102688
74,0,0.1,50,2,5,205.02686258693248
75,0,0.1,50,5,1,80.33133114391795
76,0,0.1,50,5,2,118.36944552690171
77,0,0.1,50,5,5,175.71811792921136
78,0,0.1,50,7,1,58.58680418661921
79,0,0.1,50,7,2,107.48451138788185
80,0,0.1,50,7,5,300.6360081695787
81,0,0.1,100,2,1,56.964148718178805
82,0,0.1,100,2,2,76.09198915213338
83,0,0.1,100,2,5,145.81361987468654
84,0,0.1,100,5,1,38.85707855413533
85,0,0.1,100,5,2,101.16753198081845
86,0,0.1,100,5,5,22.56610390617384
87,0,0.1,100,7,1,58.87118919467635
88,0,0.1,100,7,2,80.00300008768797
89,0,0.1,100,7,5,254.06370391804998
90,0,0.1,200,2,1,36.36602538989418
91,0,0.1,200,2,2,35.733520714824316
92,0,0.1,200,2,5,30.823605683739572
93,0,0.1,200,5,1,26.709464489091037
94,0,0.1,200,5,2,21.68406928858724
95,0,0.1,200,5,5,21.76791669325051
96,0,0.1,200,7,1,31.565727644399985
97,0,0.1,200,7,2,21.071317159394066
98,0,0.1,200,7,5,21.737299820268202
99,0,0.1,500,2,1,18.89894306752215
100,0,0.1,500,2,2,13.71457539295568
101,0,0.1,500,2,5,17.97924494902154
102,0,0.1,500,5,1,13.250889972662739
103,0,0.1,500,5,2,14.698138878145054
104,0,0.1,500,5,5,21.42529201227341
105,0,0.1,500,7,1,14.29595606629457
106,0,0.1,500,7,2,14.638106688670925
107,0,0.1,500,7,5,21.170047900534655
108,0,1.0,50,2,1,37.89363688378816
109,0,1.0,50,2,2,38.28670704945663
110,0,1.0,50,2,5,60.86158504293921
111,0,1.0,50,5,1,42.710761667531706
112,0,1.0,50,5,2,34.464148591666714
113,0,1.0,50,5,5,30.016778759440733
114,0,1.0,50,7,1,37.86273271827071
115,0,1.0,50,7,2,43.93127212690101
116,0,1.0,50,7,5,26.237877380957197
117,0,1.0,100,2,1,33.541151190937875
118,0,1.0,100,2,2,26.946497883704705
119,0,1.0,100,2,5,25.73860737938274
120,0,1.0,100,5,1,29.86523545664878
121,0,1.0,100,5,2,25.02972886133902
122,0,1.0,100,5,5,22.916556305397542
123,0,1.0,100,7,1,28.909240269815648
124,0,1.0,100,7,2,26.270990214884655
125,0,1.0,100,7,5,23.41269633569514
126,0,1.0,200,2,1,23.244840177096517
127,0,1.0,200,2,2,20.259330694817024
128,0,1.0,200,2,5,20.493365107742978
129,0,1.0,200,5,1,23.621983968416238
130,0,1.0,200,5,2,19.444811503895078
131,0,1.0,200,5,5,22.701588462920014
132,0,1.0,200,7,1,21.60936534755343
133,0,1.0,200,7,2,19.73170860104396
134,0,1.0,200,7,5,22.894703002187192
135,0,1.0,500,2,1,15.11697104777948
136,0,1.0,500,2,2,15.326249058010244
137,0,1.0,500,2,5,19.800992851420492
138,0,1.0,500,5,1,12.983754470587225
139,0,1.0,500,5,2,17.72156643037504
140,0,1.0,500,5,5,22.446173684953326
141,0,1.0,500,7,1,13.514849346236419
142,0,1.0,500,7,2,17.762915338567698
143,0,1.0,500,7,5,22.80033800113834
144,0,10.0,50,2,1,44.38569816984525
145,0,10.0,50,2,2,32.51334756610667
146,0,10.0,50,2,5,27.49724595402214
147,0,10.0,50,5,1,36.27818818320056
148,0,10.0,50,5,2,28.83633809142805
149,0,10.0,50,5,5,26.13990535724474
150,0,10.0,50,7,1,37.68760072773502
151,0,10.0,50,7,2,30.498153802174393
