,rep,alp,num_cell,cell_sz,sparse_freq,error
0,0,0.001,50,2,1,107.96683082476723
1,0,0.001,50,2,2,2046.0051280381854
2,0,0.001,50,2,5,3840.42962124104
3,0,0.001,50,5,1,131.45985939449093
4,0,0.001,50,5,2,3039.6786543461653
5,0,0.001,50,5,5,9014.825894892067
6,0,0.001,50,7,1,143.07523573260258
7,0,0.001,50,7,2,1096.7971030503536
8,0,0.001,50,7,5,5228.500536464708
9,0,0.001,100,2,1,124.5687932729607
10,0,0.001,100,2,2,996.7983533154268
11,0,0.001,100,2,5,2921.923224440907
12,0,0.001,100,5,1,122.30740974224634
13,0,0.001,100,5,2,2495.013348395528
14,0,0.001,100,5,5,9812.39760538799
15,0,0.001,100,7,1,139.9434035351911
16,0,0.001,100,7,2,1693.5711911906567
17,0,0.001,100,7,5,7327.078088470411
18,0,0.001,200,2,1,104.4557304168446
19,0,0.001,200,2,2,1221.6745741660184
20,0,0.001,200,2,5,3392.8297430705043
21,0,0.001,200,5,1,125.19093669141886
22,0,0.001,200,5,2,2049.8832258312013
23,0,0.001,200,5,5,9850.203806188385
24,0,0.001,200,7,1,132.41418015713307
25,0,0.001,200,7,2,1439.374439109284
26,0,0.001,200,7,5,5301.755680666669
27,0,0.001,500,2,1,105.65044400855082
28,0,0.001,500,2,2,883.180815602196
29,0,0.001,500,2,5,2449.1345213075865
30,0,0.001,500,5,1,145.61713162924076
31,0,0.001,500,5,2,1633.0470847784295
32,0,0.001,500,5,5,5238.196376145348
33,0,0.001,500,7,1,146.85136719271097
34,0,0.001,500,7,2,1697.0202769144516
35,0,0.001,500,7,5,6354.288787305134
36,0,0.01,50,2,1,97.43859602382645
37,0,0.01,50,2,2,541.1435166243512
38,0,0.01,50,2,5,1173.110398751397
39,0,0.01,50,5,1,121.18727254296937
40,0,0.01,50,5,2,586.5970113117615
41,0,0.01,50,5,5,1719.6802443991214
42,0,0.01,50,7,1,136.84727053125684
43,0,0.01,50,7,2,616.2463880815438
44,0,0.01,50,7,5,2028.6777359069624
45,0,0.01,100,2,1,88.5995084624767
46,0,0.01,100,2,2,577.7666618629852
47,0,0.01,100,2,5,579.481787718241
48,0,0.01,100,5,1,109.19607801702404
49,0,0.01,100,5,2,462.7369690982733
50,0,0.01,100,5,5,2146.220773899099
51,0,0.01,100,7,1,136.5689806779689
52,0,0.01,100,7,2,514.1654547356098
53,0,0.01,100,7,5,2070.1161219926385
54,0,0.01,200,2,1,108.85062000111375
55,0,0.01,200,2,2,447.996408163373
56,0,0.01,200,2,5,371.6561968143366
57,0,0.01,200,5,1,117.63620730943605
58,0,0.01,200,5,2,449.8542979561533
59,0,0.01,200,5,5,1075.9913788327124
60,0,0.01,200,7,1,88.49223023957471
61,0,0.01,200,7,2,430.3021895284216
62,0,0.01,200,7,5,1828.7906129341854
63,0,0.01,500,2,1,71.85695640652331
64,0,0.01,500,2,2,144.85304576428604
65,0,0.01,500,2,5,25.630815839766253
66,0,0.01,500,5,1,49.48369543068638
67,0,0.01,500,5,2,12.55396843811986
68,0,0.01,500,5,5,20.52682548093923
69,0,0.01,500,7,1,55.989012406912494
70,0,0.01,500,7,2,12.843302488898436
71,0,0.01,500,7,5,18.7897368391933
72,0,0.1,50,2,1,55.123859885551
73,0,0.1,50,2,2,120.22843995537808
74,0,0.1,50,2,5,288.50353688034335
75,0,0.1,50,5,1,70.88307208984246
76,0,0.1,50,5,2,140.11584908128447
77,0,0.1,50,5,5,133.9408970040073
78,0,0.1,50,7,1,68.2380688327199
79,0,0.1,50,7,2,120.85816189811312
80,0,0.1,50,7,5,268.8300424135813
81,0,0.1,100,2,1,50.05920447312337
82,0,0.1,100,2,2,83.79681492402376
83,0,0.1,100,2,5,103.37901482023814
84,0,0.1,100,5,1,53.069070916351684
85,0,0.1,100,5,2,83.7124723211254
86,0,0.1,100,5,5,28.015992760675807
87,0,0.1,100,7,1,42.829469576148874
88,0,0.1,100,7,2,90.71282638517623
89,0,0.1,100,7,5,27.410498883498715
90,0,0.1,200,2,1,30.491463450850517
91,0,0.1,200,2,2,66.66694542786794
92,0,0.1,200,2,5,25.823497769367393
93,0,0.1,200,5,1,35.47948086226879
94,0,0.1,200,5,2,22.67870619133274
95,0,0.1,200,5,5,21.5666716993639
96,0,0.1,200,7,1,31.946926428906227
97,0,0.1,200,7,2,21.198612460233175
98,0,0.1,200,7,5,21.945734180290483
99,0,0.1,500,2,1,16.966613990666556
100,0,0.1,500,2,2,13.280095984711165
101,0,0.1,500,2,5,17.882500611846957
102,0,0.1,500,5,1,14.949763181176975
103,0,0.1,500,5,2,14.441379849314801
104,0,0.1,500,5,5,21.31995397570034
105,0,0.1,500,7,1,13.438393936134437
106,0,0.1,500,7,2,14.89256263138134
107,0,0.1,500,7,5,21.350525964072936
108,0,1.0,50,2,1,50.60392987849262
109,0,1.0,50,2,2,31.861333244614755
110,0,1.0,50,2,5,59.25237487849784
111,0,1.0,50,5,1,34.4699300438085
112,0,1.0,50,5,2,55.23071978542618
113,0,1.0,50,5,5,25.79881990432272
114,0,1.0,50,7,1,35.96255300538789
115,0,1.0,50,7,2,42.81466487326151
116,0,1.0,50,7,5,36.5524205347031
117,0,1.0,100,2,1,30.100804159249694
118,0,1.0,100,2,2,33.58266674858199
119,0,1.0,100,2,5,28.596986699365853
120,0,1.0,100,5,1,31.960903234852303
121,0,1.0,100,5,2,23.469417740004925
122,0,1.0,100,5,5,22.87241886118819
123,0,1.0,100,7,1,38.49451634857314
124,0,1.0,100,7,2,24.637973597533524
125,0,1.0,100,7,5,23.519361331803385
126,0,1.0,200,2,1,23.376260920306155
127,0,1.0,200,2,2,20.900526062579974
128,0,1.0,200,2,5,21.854870868752105
129,0,1.0,200,5,1,23.5950923443351
130,0,1.0,200,5,2,19.97888368353119
131,0,1.0,200,5,5,22.564533318180274
132,0,1.0,200,7,1,22.46856031864739
133,0,1.0,200,7,2,19.937021256007693
134,0,1.0,200,7,5,22.913654891214858
135,0,1.0,500,2,1,14.699035196037253
136,0,1.0,500,2,2,15.402536178599373
137,0,1.0,500,2,5,19.40180307902337
138,0,1.0,500,5,1,13.723151064391507
139,0,1.0,500,5,2,17.544830117500744
140,0,1.0,500,5,5,22.44342944279835
141,0,1.0,500,7,1,12.261679407734414
142,0,1.0,500,7,2,17.69622297870378
143,0,1.0,500,7,5,22.855952704632497
144,0,10.0,50,2,1,46.61503890070675
145,0,10.0,50,2,2,36.648838897737534
146,0,10.0,50,2,5,29.908197455583828
147,0,10.0,50,5,1,38.66361277196859
148,0,10.0,50,5,2,33.21888259353939
149,0,10.0,50,5,5,25.405040101863342
150,0,10.0,50,7,1,37.66848955693383
151,0,10.0,50,7,2,28.060140395775576
152,0,10.0,50,7,5,25.638437452871568
153,0,10.0,100,2,1,30.40640873263903
154,0,10.0,100,2,2,27.237543921399684
155,0,10.0,100,2,5,23.469654160261356
156,0,10.0,100,5,1,29.20397414574777
157,0,10.0,100,5,2,22.94790404581097
158,0,10.0,100,5,5,24.451555842322016
159,0,10.0,100,7,1,29.033370530832755
160,0,10.0,100,7,2,24.281126290127858
161,0,10.0,100,7,5,24.79295252559923
162,0,10.0,200,2,1,25.22788451779804
163,0,10.0,200,2,2,20.73004184374456
164,0,10.0,200,2,5,21.808870893310107
165,0,10.0,200,5,1,23.123809309139506
166,0,10.0,200,5,2,20.980465610301238
167,0,10.0,200,5,5,23.988513606014127
168,0,10.0,200,7,1,25.561092855191394
169,0,10.0,200,7,2,21.075754437435346
170,0,10.0,200,7,5,24.575675497629582
171,0,10.0,500,2,1,17.014827507823558
172,0,10.0,500,2,2,18.79552263167467
173,0,10.0,500,2,5,20.936235708545716
174,0,10.0,500,5,1,16.107999048575845
175,0,10.0,500,5,2,19.933796398452277
176,0,10.0,500,5,5,23.723038591602997
177,0,10.0,500,7,1,16.608021045524143
178,0,10.0,500,7,2,20.10087267333251
179,0,10.0,500,7,5,24.190760059916315
180,0,100.0,50,2,1,35.078872866264454
181,0,100.0,50,2,2,30.36953503537457
182,0,100.0,50,2,5,33.58982034766751
183,0,100.0,50,5,1,34.99033811289011
184,0,100.0,50,5,2,28.198717997491922
185,0,100.0,50,5,5,26.718194535614103
186,0,100.0,50,7,1,40.27183659833217
187,0,100.0,50,7,2,29.481475885692095
188,0,100.0,50,7,5,26.912616269502433
189,0,100.0,100,2,1,28.501117971939827
190,0,100.0,100,2,2,27.103640829069004
191,0,100.0,100,2,5,24.71962455146525
192,0,100.0,100,5,1,30.738432350392063
193,0,100.0,100,5,2,24.747445330895218
194,0,100.0,100,5,5,26.286539293468188
195,0,100.0,100,7,1,26.562836094599234
196,0,100.0,100,7,2,24.068167762263634
197,0,100.0,100,7,5,26.91211593283574
198,0,100.0,200,2,1,26.76434092713214
199,0,100.0,200,2,2,23.80826281994386
200,0,100.0,200,2,5,24.639574967374067
201,0,100.0,200,5,1,24.422378541303225
202,0,100.0,200,5,2,23.739001126691978
203,0,100.0,200,5,5,25.468490992590528
204,0,100.0,200,7,1,25.344424619801774
205,0,100.0,200,7,2,23.41712927484858
206,0,100.0,200,7,5,26.718385583275627
207,0,100.0,500,2,1,22.679220883014295
208,0,100.0,500,2,2,22.38222619846177
209,0,100.0,500,2,5,23.403221234134698
210,0,100.0,500,5,1,23.83534135634106
211,0,100.0,500,5,2,23.259975428110128
212,0,100.0,500,5,5,25.583587915852547
213,0,100.0,500,7,1,23.611860216656527
214,0,100.0,500,7,2,22.947631967011873
215,0,100.0,500,7,5,26.34288251317745
216,0,1000.0,50,2,1,42.17706264460356
217,0,1000.0,50,2,2,37.09177227534327
218,0,1000.0,50,2,5,31.234463296427162
219,0,1000.0,50,5,1,39.9935462003101
220,0,1000.0,50,5,2,36.298436647331776
221,0,1000.0,50,5,5,31.78937487565299
222,0,1000.0,50,7,1,40.00274617485765
223,0,1000.0,50,7,2,33.434126927069514
224,0,1000.0,50,7,5,31.21395623219304
225,0,1000.0,100,2,1,39.186262636100416
226,0,1000.0,100,2,2,31.66481346600472
227,0,1000.0,100,2,5,30.449839521091125
228,0,1000.0,100,5,1,48.65440227323812
229,0,1000.0,100,5,2,29.99425847120528
230,0,1000.0,100,5,5,29.38756785478765
231,0,1000.0,100,7,1,42.74795031980797
232,0,1000.0,100,7,2,31.0236915083677
233,0,1000.0,100,7,5,30.560679001780013
234,0,1000.0,200,2,1,38.027237744125195
235,0,1000.0,200,2,2,30.1017759994579
236,0,1000.0,200,2,5,28.57677763315422
237,0,1000.0,200,5,1,36.99505469138035
238,0,1000.0,200,5,2,29.951640079691327
239,0,1000.0,200,5,5,29.978233350043734
240,0,1000.0,200,7,1,37.767976319286
241,0,1000.0,200,7,2,30.311668369116603
242,0,1000.0,200,7,5,30.019858748951947
243,0,1000.0,500,2,1,37.41527747222469
244,0,1000.0,500,2,2,29.803954717390415
245,0,1000.0,500,2,5,29.16723538653086
246,0,1000.0,500,5,1,36.91720132762328
247,0,1000.0,500,5,2,29.30369058496315
248,0,1000.0,500,5,5,29.7612206852074
249,0,1000.0,500,7,1,39.88440021009305
250,0,1000.0,500,7,2,29.984318858619975
251,0,1000.0,500,7,5,30.044862576462062
252,1,0.001,50,2,1,99.74862918073109
253,1,0.001,50,2,2,2120.715228265174
254,1,0.001,50,2,5,3007.197208292229
255,1,0.001,50,5,1,107.86715618320082
256,1,0.001,50,5,2,2555.460993054801
257,1,0.001,50,5,5,10057.96060920308
258,1,0.001,50,7,1,112.38199073868532
259,1,0.001,50,7,2,1138.5211680565153
260,1,0.001,50,7,5,3604.0818457644277
261,1,0.001,100,2,1,107.86070559143984
262,1,0.001,100,2,2,1216.6138582261833
263,1,0.001,100,2,5,2058.9595036790806
264,1,0.001,100,5,1,125.39868881872539
265,1,0.001,100,5,2,2849.62275372683
266,1,0.001,100,5,5,6050.392939878804
267,1,0.001,100,7,1,145.8446309133255
268,1,0.001,100,7,2,1390.3591669365728
269,1,0.001,100,7,5,7214.480289120008
270,1,0.001,200,2,1,112.93540283725848
271,1,0.001,200,2,2,1393.0771811326767
272,1,0.001,200,2,5,2194.6667907421684
273,1,0.001,200,5,1,118.99136409967295
274,1,0.001,200,5,2,1838.1450692309131
275,1,0.001,200,5,5,8150.388343061861
276,1,0.001,200,7,1,140.05837681718913
277,1,0.001,200,7,2,1947.723282438449
278,1,0.001,200,7,5,7535.306393871912
279,1,0.001,500,2,1,123.87470282222753
280,1,0.001,500,2,2,732.6669244837419
281,1,0.001,500,2,5,1838.0900719488848
